这些名字，一个比一个酷！: 酷!酷!名字酷!
是我杀老公的事吗 3月31日，江苏连云港一名女子在半夜接到一个电话，对方表示是周口市公安局的，称收到女子的一份协查文件，需要她带身份证过去一趟，有几个相关的问题需要跟她核实了解。女子意识到这是一个电信诈骗电话，开口和对方说是我杀人的那个事情吗，你怎么知道的。对方询问女子杀了谁，她称把老公杀了放进冰箱里。女子吓唬对方说再打电话来，就把其杀了放冰箱里，还劝说对方做个人，不要再做电信诈骗了。（星视频）星视频: 女子接到诈骗电话,吓唬骗子。
你的留言将以特别的方式出现在烈士墓前。思念跨山河，我们记得，他们就还活着。: 留言出现在烈士墓前
想对革命先烈说你们披荆斩棘换来的幸福，我们享受到了想对卫国戍边英烈说我们会好好爱护你浴血守卫的山河想对牺牲缉毒警说愿天下无毒清明，给英烈写句话，你的留言将被带到烈士墓前。致烈士我想对你说。评论区里写下你的留言: 想对卫国戍边英烈说幸福,留言将被带到烈士墓前。
刷到这条信息，很振奋2000多名学生徒步54公里祭英烈。[话筒]: 2000名学生徒步54公里祭英烈
法院正常应激反应 人工客服遭到客户刁难，甚至辱骂、威胁等情况非常普遍！有的客服往往只能吞下委屈，而有的客服则选择硬刚客户。记者在翻阅中国裁判文书网时恰巧发现一则人事争议案例。该案例显示，国内某快递公司一女客服在处理投诉时被客户辱骂，该员工当时怒不可遏，一时没忍住就骂了回去。事后，公司竟以辱骂客户为由直接解雇了这名员工。那么，公司这么做违法吗？该员工可以要求经济赔偿吗？一起来看看。因辱骂客户被解雇，要求公司赔30万叶某某于2003年5月8日入职广东中山某快递公司，任职客服，平均工资为9620元，双方已签订自2011年7月1日起的无固定期限劳动合同。叶某某在公司处最后工作至2020年1月8日。2019年12月22日，叶某某通过电话处理单号为的客户关于投递迟延投诉。公司通话录音显示该客户反映因为投递迟延赶不上调试，叶某某询问其需不需要先派过来给你、现在这个件还需不需要派时，该客户开始情绪激动，多次质疑公司收费为什么那么高并带有辱骂性语言，叶某某在回复中有我妈已经死了，你不用骂我妈、犯错的是我们公司，跟我们有什么关系，跟我妈有什么关系、你可以骂我，你骂我妈干嘛等内容。2020年1月8日，公司向叶某某出具《解除劳动合同通知书》因单号客户投诉客服类问题，核查通知结果属客服服务意识差，客服（叶某某）与收方客户沟通过程中未积极解决客户问题，导致客户情结激动，过程中还与客户发生争执，并出现辱骂性语言等服务态度恶劣的情况，根据《奖励与处罚管理规定》不论何种理由，辱骂客户的，为五类责任。公司决定与你解除劳动合同。不过，叶某某未签名。2020年1月9日，公司工会委员会出具《关于解除与叶某某的劳动合同的答复函》，显示其同意公司解除与叶某某之间的劳动合同的意见。公司《奖励与处罚管理规定40》第五条载明不论何种理由辱骂客户的，为五类责任，扣20分，公司将予以解除劳动合同，永不录用。2020年2月28日，中山市劳动人事争议仲裁委员会受理仲裁申请，叶某某请求裁决公司支付违法解除劳动关系赔偿金元等等。然而，仲裁委却不支持。叶某某不服，于是向中山市第二人民法院提起诉讼。一审判决公司赔偿30万中山市第二人民法院认为，虽然《奖励与处罚管理规定40》约定劳动者不论何种理由辱骂客户的，用人单位可以解除劳动合同，但通话录音显示叶某某在处理客户投诉时，由于客户多次辱骂其已故直系亲属，产生你要先去死的不当用语，属于事出有因，尚不违反职业道德和严重违反劳动纪律，公司适用前述约定认定叶某某辱骂客户并解除劳动合同，缺乏合理性依据，故法院认定公司违法解除劳动合同。叶某某于2003年5月8日入职，最后工作至2020年1月8日，平均工资9620元月，公司应支付叶某某违法解除劳动合同的赔偿金元（9620元月16个月2，应计算17个月，叶某某主张16个月)。综上，法院判决公司支付叶某某违法解除劳动合同的赔偿金元。显然，公司又不服了，向中山市中级人民法院提起上诉。公司声称叶某某是代表公司与客户的对话，叶某某与客户打招呼的第一句话你好，某某公司，说明其是代表公司，是履行职务行为。客户第一次骂脏话是在骂公司、骂快递延误，客户在随后的对话里明确向叶某某解释说明结合整句话的语境，我问你为什么收费那么高？第二个你可以明确看出指代的是公司，收费的是公司，不是叶某某个人，从而可以确信客户的解释是真实的叶某某则回应称，公司称并不是客户骂我本人完全是歪曲事实，客户是带有辱骂性质的粗口，作为公司不存在被辱骂直系亲属我只是态度不好，不存在辱骂对方的语言，同时我多次被爆粗口的客户骂哭我并没有严重违反公司规章制度，实际上是公司过度行使内部的管理权限，将我辞退没有事实和法律依据。法院尚未超出被辱骂后的正常应激反应中山市中级人民法院认为，国家公民享有人格尊严，即使如叶某某在公司中的热线客服岗位工作也有保有个人人格尊严的底线，企业员工个人人格尊严的价值并不低于企业形象价值和经营盈亏价值，叶某某在客服过程中被客户辱骂至亲后导致情绪激动，确实存在一些不当和不规范言语，但并没有与客户对骂，其言行尚未超出一个公民和一个公司员工被辱骂之后正常的应激反应，公司本可通过批评教育、停职待岗甚至降低工资待遇等方式对叶某某进行处理，但其采取了单方解除与叶某某的劳动合同的做法，其做法缺乏足够的正当性和合理性，一审法院的处理符合我国法律的基本原则和社会价值取向，处理妥当，法院予以维持。综上，中山市中级人民法院判决如下驳回上诉，维持原判。对此，公司还是不服，继续向广东省高级人民法院申请再审。广东省高级人民法院认为，虽然用人单位可以根据自身特点制定相应的公司规章制度，但是因用人单位的规章制度不仅是用人单位行使用工管理权的制度依据，亦关系到劳动者的切身利益，故用人单位所制定的公司规章制度在不违反法律强制性规定的基础上，还应不违反常理常情。尤其是对于解除劳动合同等针对劳动者最严厉的惩罚措施，应该区分不同情形、不同行为以及不同程度，谨慎对待。据案件特殊情况，叶某某系作为客服面对顾客辱骂其直系亲属时，产生了情绪波动并作出了一定的应激反应。结合涉案当时的录音情况，叶某某虽然有使用不规范语言，但尚属于针对辱骂语言的一般应对，尚未超出一般公民以及公司员工被辱骂后所作出的正常反应范围。故一、二审法院认定叶某某的行为尚未达到可以解除劳动合同的程度，并判令公司向叶某某支付违法解除劳动合同的赔偿金，并无不当，法院予以确认。综上，高院裁定如下驳回公司的再审申请。（每日经济新闻，当事人系化名）观察者网: 员工辱骂客户被解雇,公司解除劳动合同并解雇客服。
详戳中央政法委长安剑张继科刷屏，要查清三件事: 中央政法委长安剑张继科刷屏,要查清三件事。
捐赠篮球场让体育设施匮乏区域的孩子们也可以拥有自己的篮球场，快乐运动健康成长粉丝和偶像本人一样优秀，热爱你所热爱的！蔡徐坤@蔡徐坤: 蔡徐坤捐赠篮球场,帮助孩子们快乐运动,粉丝和偶像一样优秀。
4月2日（发布时间），中国台湾，台湾博主祭拜抗日英雄孙立人，其棺椁放地面三十多年只为能安葬安徽庐江武统: 台湾博主祭拜抗日英雄孙立人,棺<unk>放地30年,只为能安葬安徽庐江武统。
蔡徐坤粉丝篮球场公益项目: 蔡徐坤粉丝篮球场公益项目
周公子炫富有后续吗故宫大有后续吗？许小姐有后续吗？洋垃圾外教性侵中国女生有后续吗吗？这么多幼儿园等教育机构引进非法外教，媒体会报道吗？: 非法外教性侵中国女生后续问题待解。
让热爱持续的发光！！打篮球是蔡徐坤的爱好蔡徐坤粉丝就做了篮球场公益让偏远地区的孩子也能在球场上挥洒热爱[奋斗]强身健体[加油]希望大家都能健康快乐的成长: 蔡徐坤做篮球场公益,让偏远地区孩子在球场上挥洒热爱。
女孩儿卖头发，应该说是很常见的事情吧，不是每个家庭都很富裕，家庭不好的女孩，卖头发也是对家庭生活改善的一种尽力的方式，值得肯定。: 女孩卖头发值得肯定
大爷热心为在树下拍照的路人撒花 4月2日，天津，路人在疗养院外的海棠树下拍照，疗养院大爷隔墙帮忙撒花瓣雨，担心花瓣不够，大爷还自备花瓣。网友: 大爷在海棠树下拍照,众人帮忙撒花瓣雨。
4月2日，湖南，妈妈带着儿子生前最爱的玩具和食物，独自来看望离世儿子，泪流满面思念靠坟前入睡，画面心酸。网友泪崩了人生有很多无奈，愿安好。: 妈妈带着儿子生前玩具和食物独自看儿子,网友泪崩人生。
？ 据民政部网站消息，针对一位女网民关于母亲无理要求男方40万彩礼，不肯给我户口簿，能登记结婚吗的留言，民政部社会事务司3月30日回复称，婚姻登记机关可凭公安部门或有关户籍管理机构出具的加盖印章的户籍证明办理婚姻登记。这位网民3月22日在民政部网站留言称，因高价彩礼，母亲不肯给我户口簿，能登记结婚吗？其说母亲无理要求40万高价彩礼，并且坚决说不给这么多彩礼，就不同意我结婚。但男方给不出这么多钱。经过慎重思考，我想要与男方结婚，但现在母亲不肯给出户口簿。这种情况，有其他办法可以让我顺利登记结婚吗？我是真的很想与自己的挚爱结婚！民政部社会事务司3月30日回复称，《民政部办公厅关于贯彻执行婚姻登记条例若干问题的意见》规定关于户口簿问题，当事人无法出具居民户口簿的，婚姻登记机关可凭公安部门或有关户籍管理机构出具的加盖印章的户籍证明办理婚姻登记当事人属于集体户口的，婚姻登记机关可凭集体户口簿内本人的户口卡片或加盖单位印章的记载其户籍情况的户口簿复印件办理婚姻登记。当事人未办理落户手续的，户口迁出地或另一方当事人户口所在地的婚姻登记机关可凭公安部门或有关户籍管理机构出具的证明材料办理婚姻登记。: 民政部回应女子因40万彩礼拒绝办理婚姻登记问题,称当事人无法出具居民户口簿的户籍证明,可凭公安部门或户籍管理机构出具的证明办理婚姻登记的婚姻登记,当事人属于集体户口的。
篮球场联合公益进度反馈让热爱持续发光，点燃青春能量以公益传递温暖，筑梦孩童未来篮球场由蔡徐坤粉丝联合公益组通过为爱黔行公益@为爱黔行公益向贵州省黔东南从江县贯洞镇龙图村捐赠，目前已经建成篮球场和配套篮球架（捐赠价值元），完成挂牌仪式。作为村校共用的篮球场，为村里的孩子们和村民们提供了可以运动的空间，孩子们放学后经常到球场打篮球和锻炼，每到节假日，村里也会组织篮球赛事，丰富村民的文化生活。传递爱心，与坤同行，希望偏远地区的孩子们也能在球场自由挥洒热爱，从体育运动中收获快乐，保持健康的身体，积极向上地成长公益捐赠详情猫咪收纳盒剪辑: 篮球场联合公益进度反馈,向贵州黔东南从江县贯洞镇龙图村捐赠,已建成篮球场和篮球架。
据警方调查得知，嫌疑人通过调查死者经历得知其父亲是一名音乐老师，且家世不错。嫌疑人团伙就计划在死者3月初进入曼谷吞武里大学读大三时，引诱死者爱上其中一名嫌疑人。随后再通过绑架死者向其父亲勒索50万人民币的赎金。目前泰国警方已与中国警方进行协调，如果法院批准了故意谋杀罪的逮捕令，将在逮捕犯罪嫌疑人后引渡回泰国判刑。死者的尸体已被送去检验，核实是否受到性侵，同时至司法部相关部门也在收集，预计一周后知道结果。据嫌疑人居住社区的一家便利店工作人员透露，3月30日下午1点30分左右，3名嫌疑人进入便利店购买商品，但未见死者。警方猜测3名犯罪嫌疑人在该社区的住所内将死者杀害后才进行抛尸。此外，有目击者称，10多天前就有中国人进出嫌疑人的出租屋，除了3名嫌疑人外，还看到了一名中国女子，但不是死者。目击者认为，这名中国女人可能与案件有关，很可能是犯罪团伙引诱受害人的诱饵，也可能是出租屋的房东或者租车行的老板。之后调查人员将以这名女子为线索展开调查，并要求该女子接受审讯。: 嫌疑人通过调查死者经历,可能引诱中国女子。
4月3日从多个权威渠道了解到，因辩护人申请，原计划4月3日二审开庭的重庆姐弟坠亡案，延期到4月6日（本周四）开庭审理。两被害孩子的母亲陈美霖3月28日说，她从该案二审主办法官处了解到，3月27日该案召开庭前会议，整个庭前会议从早上9点半开始，直到下午6点半才结束。有权威人士此前告诉，二审开庭时间是暂定在4月3日，因为有被告人的辩护人申请，导致开庭时间可能会向后短暂延期。因辩护人申请，重庆姐弟坠亡案二审延期至4月6日开庭: 重庆姐弟坠亡案二审延期至4月6日
腾讯员工看的很开，自己来深圳只是赚钱的，存到200万就回老家。他说小时候比现在苦多了，对200万很满足。既然在深圳买不起房，回小县城也是一个选择，就怕这种思想会被老家人嚼舌根。: 腾讯员工:存到200万回老家,小时候比现在苦,对200万满足。买不起房,回小县城也是选择,怕被老家人嚼舌根。
8090年代，马斯克在中国: 马斯克在中国
哇，你不能相信你的眼睛: 不能相信你的眼睛
拼多多最近的炸店事件你们知道吗？简单来说就是一批不满意平台规则的人集中大量恶意下单，然后闪退单，同时辱骂品牌店客服，迫使这些品牌店不得不歇业。讲真，一个平台的发展过程中肯定是需要不断完善和修正规则的，拼多多现在所处的就是一个不破不立的阶段，只有逼退劣质商家，平台才能跨出新的一步。对于商家来说，如果不认可平台现行规则，破坏规则不是解决的办法，只能顺应规则或者放弃平台。当然作为消费者，更想看到的是一个能买到好东西，又能维护消费者权益的良性购物平台。: 电商平台需不断完善规则,逼退劣质商家,维护消费者权益。
你不干总会有人去干，站我来了！合肥: 不干总会有人去干,站我来了!
我刚才随手打开站，居然发现自己变成小会员了，我怎么也想不通[哆啦梦害怕][哆啦梦害怕]我不是大会员吗，应该没到期啊。结果白切黑告诉我。今天是愚人节！！哈哈哈我靠，我今天第一次被骗了！！顺便感谢小破站上期视频收益二十七块钱，我和白切黑吃了一顿黄焖鸡，才二十九哈哈哈！！: 小破站变成小会员,白切黑提醒警惕。愚人节被骗,吃黄焖鸡才二十九。
近四百万粉丝主回应站停更潮: 百万粉丝主回应站停更潮
马斯克将推特蓝鸟图标换成了数字货币标志柴犬的图片，网民在下面图回复。: 推特蓝鸟换数字货币标志
最近刷到一些拼多多的新闻，只想说现在平台和商家做生意都好难呀。幸好够意思兜底品牌损失了。还是希望少些恶意竞争，好的商家和平台一起携手前行，这样我们消费者的权益才最能被保护呀。看看后续结果吧: 商家与平台合作,保护消费者权益。
专治各种没动力！的微博直播今天中午12点，直播开骂！: 治治微博骂战
拼多多保护消费者遭攻击: 遭受攻击的拼多多保护消费者。
拼多多保护消费者遭攻击: 遭受攻击的拼多多保护消费者。
看热搜某条有感给大家看看微博的收益: 微博收益有感
拼多多保护消费者遭攻击: 遭受攻击的拼多多保护消费者。
拼多多保护消费者遭攻击: 遭受攻击的拼多多保护消费者。
拼多多保护消费者遭攻击: 遭受攻击的拼多多保护消费者。
拼多多保护消费者遭攻击: 遭受攻击的拼多多保护消费者。
据数据，由梁朝伟、王一博领衔主演的电影《无名》北美票房突破80万美元，截至目前，该片中国内地累计票房已达93亿元人民币。: 《无名》北美票房破80万美元,中国内地票房达93亿元。
《消失的她》愚人节整活，官方今天发布了一组主角消失的剧照，然后官博的编辑记录见证了越来越有眉目的过程[哆啦梦吃惊]《消失的她》将于6月22日上映。: 《消失的她》发布主角消失剧照
第十三届北影节公布天坛奖主竞赛单元入围影片，朱一龙@朱一龙倪妮@倪妮文咏珊@文咏珊主演电影《消失的她》入围。: 北影节公布主竞赛单元《消失的她》入围
直男不会谈恋爱，那是没遇到对的人全球精选: 全球精选:男男不恋爱
电影无名北美票房破80万美元: 电影《无名》北美票房破80万
成年人的恋爱，言简意赅全球精选: 成年恋爱言简意赅,全球精选。
铃芽之旅壁纸背景图大家看电影了吗[举手]: 铃芽之旅壁纸背景图
电影《长空之王》讲述雷宇（王一博）等优秀飞行员经历严苛选拔，正式成为了我国新一代试飞员，他们将在不断挑战战机和自我极限的过程中，一个个危机接踵而来的故事。(）米国、加拿大定档4月28日，与中国内地同步上映。: 电影《长空之王》讲述飞行员选拔经历,定档4月28日,与内地同步上映。
不如先期待下王俊凯待映电影《刺猬》颠覆形象，扮演自卑口吃的少年周正: 王俊凯期待新电影《刺猬》颠覆形象,扮演周正。
铃芽之旅电影铃芽之旅@电影铃芽之旅: 期待铃芽之旅电影
父母总是口是心非，明明是关心，一出口却变成了责备。张艺兴@张艺兴罗钢微博@罗钢微博4月28日，来影院看这对父子能否和解。: 张艺兴罗钢微博探讨和解问题
宇宙探索编辑部的叙事方式会让我觉得，未来的年轻人叛逆，虚无，对世界爱答不理，但会读诗，读好多诗，作画，就是玩儿，用色彩碰撞色彩，搞音乐，甩架子鼓，在音乐节上汗流浃背地嘶吼，或者拿串佛珠，坐如钟，去寺庙敲木鱼。这是对传统话语的挑战与反叛，是对权威的挑衅，我们是弑父的一代，我们失语是因为语言无法承载澎湃的情感，我们耷拉个脸，只做自己感兴趣的事，然后做到极致，做到世界唯留下一片空白。: 宇宙探索编辑部的叙事方式,对年轻人的叛逆与反叛,读诗作画,搞音乐,拿串佛珠,坐如钟,去寺庙敲木鱼,这是对传统话语的挑战和反叛。
长空之王北美中国内地同步上映: 北美中国内地同步上映
《铃芽之旅》差点就叫《铃芽小姐来锁门》[哆啦夢害怕]哈哈哈哈哈哈哈哈吓坏日方很难不吓坏: 《铃芽之旅》吓坏日方
网盘见[笑]，4月27上映香港和澳门，有条件的先去香港和澳门电影院看吧[笑]估计网盘还得等: 4月27日,香港、澳门电影上映时间确定。
《深海》里《北戴河之歌》这段，南河跳舞的姿势是后面在大海中求救和游泳的姿势。: 《深海》中的南河跳舞
张艺兴@张艺兴坚持要用长沙话来演绎，正如他饰演的角色何岸所说长沙话蛮好的！月28日，: 张艺兴用长沙话演绎
王一博对高尔夫感兴趣我对王一博新电影《长空之王》感兴趣4月28日电影院见！: 王一博期待新电影《长空之王》上映
科幻电影《领航员》（1986）科幻布玛: 科幻电影《领航员》上映
龙马精神我的评分[星星][星星][星星][星星][半星]《龙马精神》是写给电影的一封情书，成龙饰演的老罗，是曾经无数武替的缩影，曾经他们的敬业、奉献精神，成就了一部部经典动作片，开创了一个香港电影黄金时代，后来，他们渐渐被替代。一个个高难度动作，勾起一代人的记忆，这层迷影情怀，贯穿整部电影。这部电影讲的也是成龙自己，你的时代已经过去跳下去容易，走下来难，虚虚实实之间，代入了很多成龙自己的情感，如果你喜欢成龙，看过很多他的电影，看到这些台词时，多少会有些心酸。尤其是吴京出演的那几场戏，多少有些悲情色彩，新老交接，时代更替，即便银幕里的角色再怎么释怀，你都能感受到那份落寞。这样的情感不止成龙一个人有，相信周星驰也有类似感悟，或者不用具体到哪个人，生活在那个时代的人都会这样。其实行行业业都是这样，新人换旧人，上过山顶就必然会有下坡路。我记得成龙说过，死在片场他的人生就会完美，下山的路，确实不好走。有了这层悲情的底色，整部电影也因此变得独特，成龙大哥掏心窝，告诉观众此刻他对亲人、对电影的感悟和态度，近70岁的他，仍希望每年都能给观众带来作品，我们又有什么理由不期待呢。: 成龙电影《龙马精神》写给观众,讲述成龙和吴京的感人故事。
大鹏在最新的访谈节目中说自己下一部电影《热烈》会很好更是谈到了王一博在电影中的表现很燃很炸，有一种非常好的爆发力。听起来就很是充满青春的一部电影，大鹏也说因为王一博，所以才有了热烈他觉得王一博非常适合自己的选角标准。光听着就很期待了，希望《热烈》早日上映呀: 大鹏谈电影王一博表现,期待《热烈》上映。
《宇宙探索编辑部》里的诗。由孙一通扮演者，也是影片的编剧王一通创作。: 《宇宙探索编辑部》中的诗,由编剧王一通创作。
再来看一下易烊千玺微电影《在集市上》！电影镜头感十足，台词演技: 易烊千玺主演微电影《在集市上》
1998年4月3日，《泰坦尼克号》内地上映2023年4月3日，《泰坦尼克号》再度重映这两天又可以去电影院重新启航了: 《泰坦尼克号》内地上映2023年4月3日重新上映
由负责发行，于2023年3月16日公映，次周25家影院上映，平均单馆产出票房2042澳元，次周票房收入澳元，环比跌幅64，累计票房收入澳元。: 负责发行2023年3月16日公映,单馆票房收入2042澳元。
《宇宙探索编辑部》其实可以从当代年轻人生活的角度，把电影简化成一个提问一个年轻人为什么要去死？老唐是中年人，但因为其寻找的是二十多岁的女儿自杀之因，所以某种意义上他也可以被视作当代年轻人困顿的一隅显影。火车上他因为列车声音太嘈杂被遮盖而失语的状态，活脱就是年轻人当下的状态，想说些什么，但是没有人想听，一开始就被嘈杂盖过了，那就算了吧，放弃预期，就没有失望。这也是晓晓这个角色的意义。一个年纪和老唐女儿差不多的女孩，当自己所有行李被不小心烧掉的时候，只是对着火堆说了一句，这样比刚刚暖和多了。这是一种向下的自由，淡漠得失，因为生活已经像火中的那团行李，救不出来了，努力伸手是更大的失望和痛楚，那就说个笑话，装出一副无所谓的样子，然后看着它烧个干净。这一幕比以往任何所谓讲述我们这一代的电影的，都更像那么回事儿，也是我今年最喜欢的一场戏之一。: 《宇宙探索编辑部》讲述年轻人当下的状态,老唐和她的故事被视作电影中的故事。
这世上，唯一能陪你走出伤痛的人，只有你自己。[月亮]——电影《铃芽之旅》: 陪你走出伤痛的人,只有你自己。电影《铃芽之旅》
本人看完宇宙探索编辑部后的暴言如下: 宇宙探索编辑部暴言
国外等《龙马精神》定档，像极了我们等进口片。: 《龙马精神》定档国外
十元新作品的题材好新鲜啊，她饰演了一位丢失女儿的母亲，也是一个有着精神支柱般偶像的追星族。女儿失踪时，沙织（石原里美饰）里正在参加她喜欢的偶像的演唱会，因为这件事以及她挑染过的头发，使她在媒体和网民口中变成了因为追星而对子女教育疏忽的母亲该作品讲述了因孩子失踪而逐渐崩坏的家庭，以及为了流量而偏向报道的媒体。以及吃瓜群众充斥互联网的无心言论造成伤害的现代社会的阴暗面。: 《丢失女儿的母亲》新作品讲述了因孩子失踪而逐渐崩坏的家庭和新闻媒体的阴暗面,沙织饰演追星族。
《了不起的夜晚》豆瓣61，高了: 《了不起的夜晚》豆瓣评分高
张译电影《小王子》配音剪辑: 译译电影《小王子》剪辑
《宇宙探索编辑部》大家都看了吗！之前有幸采访到孔导和通哥，在这里整理一些关于本片的趣闻给大家，周四也会再做一期影评视频1、硅胶外星人片中农民肖全旺把外星人尸体保存在冷柜中的情节，取材自2013年发生在山东滨州的一条真实新闻，新闻的主角李某后来因使用钢丝、骨胶制作假外星人并散播虚假消息，被当地警方以故意扰乱社会治安罪拘留五天。这条新闻，也是这部电影的起点。（图1图2，新闻链接放评论区）2、三件宇航服片中那件借给流浪的球剧组的宇航服，在现实中其实是从《流浪地球》剧组借来的，而《流浪地球》剧组则是从《疯狂的外星人》导演宁浩手中得到的这身宇航服。可谓是一部科幻，三代传承（图3）。3、郭帆郭帆和龚格尔对影片的帮扶不止宇航服，他俩也是电影的制片人，帮电影解决了很多大大小小的问题（不一一列举了）孔大山说郭导是自己淋过雨，所以总想替别人撑把伞。因为要写影评看了很多关于影片的采访，说实话看到这儿的时候有点泪目另外杨皓宇老师也在《流浪地球1》中饰演过角色，就是那个竭力插上插头后牺牲的硬件工程师，很多朋友应该都记得。（图7）4、两本书在设计男主角老唐这个角色时，孔导给了主演杨皓宇两本书，一本是周国平所著的《尼采》，另一本是史铁生的《病隙碎笔》。5、西游记影片英文标题是《西游记》的译名，片中的唐、孙二人正是对应了唐三藏和孙悟空两个角色。（这条线我们会在之后的视频里细讲）6、铁锅与气功孙一通头顶铁锅的造型来自于上世纪80年代到90年代席卷我国的气功热，而有趣的是，铁锅与孙悟空头上的紧箍咒也有着微妙的相似之处。（图4）7、诗影片中的诗都是王一通写的（除了《蜀道难》），一通也是电影的共同编剧，是个有才华的诗人、导演和写作者。8、片名《宇宙探索编辑部》的精神内核来源于1980年诞生的杂志《飞碟探索》，片名则来自于我们都爱的《编辑部的故事》，剧中人间指南杂志社隔壁那个从没露过面的杂志社，就叫宇宙探索编辑部（图5）9、宇宙功德箱宇宙功德箱的灵感来自于周星驰主演的电影《破坏之王》中的人人有功练功德箱。（图6）10、陨石猎人其人陨石猎人的扮演者本人真的是一名陨石猎人，除了跑到各地收集陨石，他还是一家石雕厂的老板，拥有自己的矿山，出演过某网大的反派角色并担任联合制片人，创作过十余首原创歌曲，还曾在人民大会堂登台演唱，是一个身份多元的神奇的人。对了，片中肖全旺的家在现实中其实就是陨石猎人自己的家。（图9）在院线电影竞争激烈的4月份，《宇宙探索编辑部》是一部气质独特的电影，希望它能走的更远，不过也希望没看但感兴趣的朋友赶紧去看！: 电影《宇宙探索编辑部》的影评和故事介绍。
电影《长空之王》真机参演，国之重器每一次试飞都是一次生死考验每一次落地都是一次安心，五一不看长空看什么看王牌试飞员雷宇，砺剑蓝天，护我长空从技术封锁的年代一路奋力追赶，如今中国制造的战斗机已成为大国空军的重要名片，为国家骄傲自豪，428我们大银幕不见不散王一博@王一博: 电影《长空之王》试飞员雷宇,为中国空军骄傲自豪。
看到狗狗们都能被妥善安置，真的特别感动，狗狗对大家是忠诚，大家用实际行动回报了可爱的狗哥们，看完《忠犬八公》已经哭成狗，狗狗不懂短暂分离与永远告别的区别，他只懂得忠诚与陪伴和等待，想过狗的我更能体会到这种难受。不会是豆瓣81高分电影，推荐大家去观看，看真诚的狗狗！: 狗狗对大家忠诚,推荐电影《忠犬八公》。
张译@张译每一次成功的角色塑造都离不开他的额头，真的受到了太多的伤害，电影《无价之宝》中，额头再次受伤，看到之后默默的心疼额头三秒钟，这种为了演戏，真打真拼精神让人感慨: 张译在《无价之宝》中受伤,打真拼精神。
来自投稿 1994年电影《夜访吸血鬼》，汤姆克鲁斯饰演莱斯特。: 汤姆克鲁斯主演电影《夜访吸血鬼》。
导演在拍摄途中多次被感动落泪 今天，中国版《忠犬八公》导演郝帅在社交平台发布了一张影片主角八筒和替身狗的合照，一共18只狗狗，每一只都非常可爱。在拍摄现场，小狗看到大狗表演倒地，以为是真的，着急求救惹哭众人！小狗哪懂演戏啊，它只会无条件爱你呀！: 《忠犬八公》导演发布18只狗狗合照
《忠犬八公》的18只狗演员，全都是肉狗市场买回来的。近日，导演郝帅发布了电影中所有狗狗的大合影。想不到，这些大银幕上的狗明星们，都有一个悲惨的过去。导演透露，这些狗狗原本已经被送到了肉狗市场，等待出售、宰杀。但剧组本着多救一只是一只的想法，尽可能地多买了几只小狗。可以看到，这些狗演员有的年纪已经很大了，有的则一脸的天真无邪，显然还是个小可爱。因为长得像片中的主角大黄，这些狗狗得以被救。因为一部电影，这些小可怜得以改变命运。回忆救狗的过程，导演心里还是非常难受，肉狗市场里都是那种特别小的狗，我去找狗的过程特别崩溃，每一个都很可爱，但我不能全部带走唉拍完电影后，这些狗狗最终都被人领养了。: 《忠犬八公》狗演员名单曝光,导演建议多救一只狗。
