被爱才能像小孩像被人爱04小碗广州: 爱才能像小孩像被人爱04小碗广州
关晓彤这个裤子但凡换个人穿，我都觉得是灾难: 晓彤新裤子换个人穿
电影院过嘛，感觉如何？[污]: 电影院过感觉如何?
了解情况后将给予帮助 4月2日，重庆。网友发视频称，一女孩被家里人带去理发，结果在路边卖头发，女孩哭得非常伤心。4月4日，当地妇联工作人员表示，已经看到了视频，非常关心女孩的情况，了解后将视情况给予女孩帮助。巨浪视频@巨浪视频巨浪视频: 女孩被家人带去理发,在路边卖头发,妇联将帮助女孩。
和爬泰山结伴同行的男生谈恋爱了: 男生爬泰山谈恋爱
南京民航大学校花至少我们相遇了不是吗: 民航大学校花相遇
幸亏孙子多！ 4月2号，广西。一老人因患老年痴呆症，因太久不愿理发、洗澡身上有异味。被几个孙子把头发剃掉了也洗过澡了换上干净衣服。网友孙子小时候不洗澡不理发爷爷也是这么干的。: 老人患老年痴呆症,不愿理发、洗澡,被孙子剃光头、换上干净衣服。
隆重登场。超轻薄四曲折叠，薄至53毫米，轻至239克，折展之间，领启时代！: 超轻薄四曲折叠登场
这是怎么做到的全球精选: 怎么做到的全球精选
高启强这个动作很难相信他是坏人啊！: 张启强动作引争议
你不用担心我，哪里喝醉就在哪里睡: 不用担心我,哪里喝醉就在哪里睡。
穿这身出门被要了三次联系方式: 穿衣被要三次联系方式
这小玩法挺赛，可以研究一下: 小玩法挺赛,研究一下。
爸爸把女儿的夹克装饰了一番，看样子她很喜欢。(日常手工): 爸爸用夹克装饰女儿夹克
女孩偷溜进男宿舍陪男友，被主管发现后当场训斥。网友女生要学会自尊自爱。: 女孩偷溜进男宿舍陪男友,被训斥,女生要学会自尊自爱。
后腰好痒不知道是怎么了: 腰痒原因待解
躺在床上大脑里只有一个想法，怎么才能找到高富帅的男朋友（广东）: 找到高富帅的男朋友
遇到客人提出特殊要求怎么办？: 客人提出特殊要求怎么办?
2015年7月，中国新闻网转载金陵晚报报道2015年3月份国乒在德国参加比赛期间，张继科被发现曾经偷偷溜出酒店，和一群人一同离开，他们的目的地是赌场张继科赌博这些事，他的教练以及乒球管理人员应当知情，应当早在当时就严加管理。如果当时就严肃处理，可能也不会导致藏獒后来的疯狂举动，和如今巨额负债。张继科当时的教练是否对张继科的违法赌博行为进行了包庇？有网友曝料，在张继科欠赌债事件引发全网热议之前，曾经的男乒冠军、女乒教练孔令辉就曾经因赌博被开除国家队。在国乒队伍里，赌博前孔后继。2017年5月30日，新华社发布消息，时任中国乒乓球队女队主教练的孔令辉，被中国乒协停职，要求立刻回国接受进一步调查。当时女乒正在国外参加世乒赛，关键时刻要求主教练回国接受调查，是因为新加坡博彩公司控诉孔令辉欠款200多万，告到了香港高等法院。头顶光环的国球，背后赌博传闻不断，值得让人警醒。这两天，张继科事件连带刘国梁也上了热搜，这到底是空穴来风，还是另有深意？刘国梁虽然辟谣了假球事件，但不代表他对张继科、孔令辉赌博事件毫不知情。作为国乒教练，队内接连出现赌博事件，是否负有管理责任？张继科事件能否像李铁事件一样，拔出萝卜带出泥，牵扯出更多人？相信清者自清，浊者自浊。如果有人违法犯罪，坚决不能放过如果有人造谣诽谤，也要坚决打击。希望有关部门及时介入，查清事实。如果中国乒坛能借此机会进行整顿，不管能不能揪出大鱼，都对乒坛清朗有好处。（评论员邱延波）: 刘国梁质疑张继科赌博事件,呼吁有关部门介入调查。
公共场合这样礼貌吗？: 公共场合的礼貌问题
看来国外网红比我们还疯狂[哆啦梦害怕]专员: 国外网红比我们还疯狂
骗兄弟可以，别把自己也骗了，后面我忘了（总之连夜下载抖音: 诈骗兄弟,连夜下载抖音。
据说这是某个乡村小厂生产唇彩的视频: 乡村小厂生产唇彩?
满脸满身都是对礼物的渴望: 渴望礼遇
不知道这个小姐姐咋样了这次救援，有没有改进的空间？: 后续救援发现改进空间
出道即巅峰，可惜只有一部，据说是被骗了: 巅峰影片被骗
中国驻洛杉矶总领馆发言人中方坚决反对台湾当局领导人以过境为名搞台独分裂活动、破坏中美关系 问多家媒体报道，台湾地区领导人蔡英文将于4月4日至6日过境洛杉矶，其间将在里根图书馆发表公开演讲，同美国会众议长麦卡锡等美官员会面。请问发言人对此有何评论？答世界上只有一个中国，台湾是中国领土不可分割的一部分，中华人民共和国政府是代表全中国的唯一合法政府。一个中国原则是国际社会的普遍共识和国际关系基本准则，为1971年联合国大会第2758号决议所确认，也是美方在中美三个联合公报中作出的郑重承诺。近年来，美方领导人也多次公开表态不支持台独、不支持两个中国或一中一台。中方坚决反对任何形式的美台官方往来，坚决反对台湾当局领导人以任何名义、任何理由窜美，坚决反对美方违反一个中国原则，同台湾当局进行任何形式的接触。蔡英文以所谓过境之名行官方往来之实，会见、接触美政府官员、议员，并公开演讲，大搞政治作秀。台当局领导人赴美过境是假，谋求突破、宣扬台独是真。美方不顾中方严正交涉和反复警示，执意安排蔡英文过境，纵容支持台当局谋独行径，中方对此严正抗议，予以强烈谴责。麦卡锡众议长是美国会领导人，是美政府第三号人物。无论他以何种身份与名义同蔡会面，都是又一起严重违反一个中国原则和中美三个联合公报规定的行径，将极大伤害14亿中国人民的民族感情，向台独分裂势力发出严重错误信号，冲击中美关系政治基础，无益于地区和平安全稳定，不符合中美两国人民共同利益。麦卡锡众议长无视国际社会对一个中国原则的广泛支持，无视前车之鉴，执意打台湾牌，无疑将重蹈覆辙，进一步损害中美关系，只会更加坚定中国人民同仇敌忾、支持国家统一的坚强意志和决心。我们将密切跟踪事态发展，坚决有力捍卫国家主权和领土完整。台湾问题的历史经纬明明白白，两岸同属一个中国的事实和现状清清楚楚。台湾问题是中国核心利益中的核心，是中美关系政治基础中的基础，是中美关系第一条不可跨越的红线。中方敦促美方恪守在中美建交时所作严肃国际承诺，恪守一个中国原则和中美三个联合公报规定，停止任何形式的美台官方往来，停止升级美台实质关系，停止以台制华的错误做法。实现祖国完全统一是中华民族历史演进大势，也是全体中华儿女的共同意志和共同愿望。蔡英文等台独分裂分子逆历史潮流而动，不断倚美谋独，甘当一些势力以台制华的棋子，必将以失败告终，必将遭到历史的正义审判。希望领区各界人士看清美台一些政客无视中美两国人民根本利益、为谋取各自政治私利相互勾连的真实面目，尊重中国人民维护国家主权和领土完整、实现国家统一的愿望和努力。我们愿与热爱和平、秉持正义的各界朋友一道，坚决反对任何破坏中美关系和台海和平稳定的错误行径，共同维护中美关系健康稳定发展和两国人民的根本利益。（来源中华人民共和国驻洛杉矶总领事馆）: 中方坚决反对台湾当局领导人以过境为名搞台独,并强烈谴责美方在中美关系中的三个联合公报规定。
最近到底是怎么了，说法两极分化比较严重呀。不过我还是挺孙怡的，毕竟气质这一块，我很感冒，而且拿捏得很到位哈年的酸奶: 孙怡两极分化严重,但我还是挺孙怡。
这个标语挂在洞房里是不是有什么特殊的意义呢。: 洞房标语有特殊意义
青春的尽头从来不是十八岁: 青春的尽头,不是十八岁。
你打的算盘哥斯拉都听到了: 打的算盘哥斯拉都听到了
一个南方，一个北方，你猜！: 猜一个南方,一个北方。
流浪柬埔寨精神失常的中国女子黄安妮，广西博白人，出生于1999年，电信诈骗人员。不幸的是，因为神志不清无法行骗，被诈骗组织抛弃街头万幸的是，好像没有被嘎腰子: 中国女子在柬埔寨精神失常,被诈骗组织抛弃。
人生第一本绿本蟹蟹爸妈送的大玩具车车[彩虹屁]: 绿本蟹蟹爸妈送大玩具车
现在的年轻人啊，真是看不懂啊: 年轻人看不懂
今天是电影《泰坦尼克号》在内地上映25周年，同时，《泰坦尼克号》也将在内地院线开启重映。时隔25年和跨越时间、不惧生死的爱情感动了无数的观众。而小李子和凯特之间永恒的也是许多人心中的意难平，也许无关爱情这种才真的会永恒吧。: 《泰坦尼克号》内地上映25周年,小李子和凯特的爱情令人感动。
只有妈妈会解读我的表情包: 妈妈会解读我的表情包
我司目前最好用的两台拍摄车: 司司最好使用两台拍摄车
引诱死者爱上其中一人，再绑架她向其父亲勒索赎金 4月3日，据泰媒报道，22岁中国女留学生在泰惨遭绑架杀害，3名中国籍凶手于3月30日乘坐航班飞回成都，其中2人23岁，另1人24岁。据报道，嫌疑人通过调查死者经历，得知其父亲是一名音乐老师，且家世不错，就计划在死者进入曼谷吞武里大学读大三时，引诱死者爱上其中一人，随后再绑架她向其父亲勒索50万人民币赎金。目前泰国警方已与中国警方进行协调，如果法院批准了故意谋杀罪的逮捕令，将逮捕3人后，引渡回泰国判刑。九派新闻@九派新闻九派新闻: 中国女留学生泰国遭绑架杀害,嫌疑人通过调查死者经历,计划向死者父亲勒索赎金,引渡回泰国判刑。
不是哥们你怎么这么难考啊等九月我再来好好看看怎么个事的成都西南交通大学: 考试难,等待九月。
可以帮我清空购物车吗: 帮助清空购物车
被图书馆的善意感动到了！有趣善良的灵魂在图书馆扎堆: 图书馆善良的灵魂扎堆
安欣的豆浆怎么还越喝越多了: 安欣豆浆越喝越多
早知惊鸿一场何必情深一往: 知鸿一往无前
笑死！张大大直播间有人表演亲嘴，别太离谱了: 张大大直播间表演亲嘴
今天在航班上遇到一个素质很差的人！一个经济舱的乘客！想要我的联系方式！我委婉的拒绝了！我说手机今天没带。公司也规定不允许！他的态度立马就变了。一会说头晕想吐！一会让我拿毯子袋子！吃饭的时候不吃！刚收拾完！他说他饿了！一会又说，可以用下我的充电器吗！我说飞机上不允许使用充电宝。他对我的语气更不友好了！脸色特别生气的那种。我都不知道该咋办！这是我的职业！但是我希望大家不要为难我！: 航班上拒绝使用充电宝的乘客,因公司规定不允许,态度变了。
心思缜密，赶快跑[哆啦梦害怕]: 期待跑“哆啦梦害怕”
高手过招点到为止大小散的日常: 招到为止的日常
周六早上开着63上班，第一站必须是加油站洛阳: 开车63上班,第一站是加油站洛阳。
用纸做的，你愿意陪小朋友一起做吗？视频告白: 视频告白:愿意陪小朋友一起做吗?
为了给男友惊喜，真是煞费苦心: 惊喜给男友,煞费苦心
波多野结衣生涯初次当导演，森泽加奈来助阵。: 森泽加奈助森多野结衣导演
别人家的女儿气质太气质了: 别人家的女儿太气质了
其实也明白，人生嘛，散才是常态。但每次看他们仨的时候，又总是忍不住有一丝丝意难平啊。: 感慨人生散才是常态,但每次看他们仨时又忍不住有一丝丝意难平。
有的下嫁给龟奴的算好的了很多都是搭一个草棚子，铺一张草席做一做下苦力的脚夫、车夫、码头搬运工的生意，攒不下来钱染一身病中年就死在马路边上。21世纪了，我连龟奴都不如: 下嫁龟奴的生意经:草棚做脚夫、车夫、码头搬运工,攒不下来钱染一身病,死在马路边。
以为是20来岁的小姑娘: 误认20岁姑娘
有家了我的家在28岁[送花花]: 我的家在28岁[送花花]
问下大家，护士改行做什么比较好？: 护士改行做什么比较好?
听说只有高中生喜欢这种类型[照相机]: 高中生喜欢照相机
几岁啊白敬亭？？？？也太可爱了: 可爱白敬亭
全世界都知道你有双胞胎女儿了[开学季]: 双胞胎女儿开学季
楼下早餐店老板直接面条都不做了，就上方便面，只要头天晚上煮上一锅高汤，第二天开门就可以直接开干，多省事。桂林: 方便面早餐,桂林早餐店。
没有执法权威，就是这样，唉: 执法权威,执法权威。
社恐是这样的在外面站了一刻钟他给我拽进去了: 在外面站了一刻钟,恐恐被拽进去了。
张碧晨什么鬼？我的背，不签谢谢佳佳的视频: 张碧晨不签感谢视频
同事之间不可以互相打听它: 禁止同事间互相打听
杨过给姑娘接骨，闭眼不敢看她赤身，怎料姑娘害羞脸红: 杨过接骨后害羞脸红
答应我永远不要做第二选择: 不要做第二选择
女物主40年前，有人出价80万都没卖现在着急买婚房就全靠它了，但出价低了还是不卖: 出价80万婚房仍不卖
分享俺的一张坠漂亮的照片吧！: 晒坠漂亮照片
大学生在教学楼里放什么都不要惊讶: 大学生在教学楼里放什么都不要惊讶
很好很好，没车的话再也不来了秦皇岛阿那亚: 秦皇岛阿那亚车很好
每天5点起来追浪，快乐的运动真的让人胖不起来热量全消耗在海里了: 追浪减肥
今天对西红柿鸡蛋有点偏爱。蜜蜂们中午吃什么？: 蜜蜂偏爱西红柿鸡蛋
今天没穿安全裤出来，草坪上虫虫好多: 草坪虫虫多
距离我搬来成都已经2个月了，然而我得家还没有彻底收拾完，昨天还看到这么个小东西，我可真开心: 搬来成都2个月,收拾小东西开心。
生产工具决定生产效率大小散的日常: 工具决定生产效率
韩信这把不摆浑身难受: 信信浑身难受
邓稼先1986年的照片嘴角却有擦不干净的血迹: 杨稼先1986年照片曝光
一瓶飞天茅台大概950克左右，14瓶也13了，是个狠人呀，正常收多少税？: 13瓶飞天茅台要缴多少税?
我，又不抽烟又没男朋友的，只能蹲在一边: 蹲在一边抽烟
喜欢的男生发现了我的朋友圈有他的名字: 男生发现朋友圈有他的名字
刚出生的双胞胎，一大一小形成鲜明对比 3月24日，广东。刚出生的双胞胎宝宝，一大一小，形成了鲜明的对比。: 新生双胞胎形成鲜明对比
20世纪60年代，毛主席在北京香山，坐着休息时拍的一张照片！致敬伟人: 毛主席在香山拍摄的照片
今天是愚人节我可以骗走你的心吗: 骗子愚人节骗走你的心。
以前学校门口卖小鸡小鸭，现在一元3只卖小蝌蚪，这一网可以卖多少钱？: 学校门口卖小鸡小鸭,一元3只卖小<unk>。
瘦了22斤，4分路人变6分美女了: 瘦了22斤,路人变美女。
张继科我现在16岁，我说张继科是清白的，我一直相信他，从未怀疑: 张继科:张继科是清白的,我一直相信他。
做了一条裙子关晓彤@关晓彤: 女孩穿裙子
有谁吃过红糖豆腐脑的吗？: 探讨红糖豆腐脑问题
今天请个假王老板帮我照看下店王鹤棣@王鹤棣: 假王老板帮照看下王鹤棣
的什么时候我敢直接这样出门: 敢不敢直接出门
普普通通眼镜女但很耐看[666]: 普眼镜女耐看
6年了她依旧买不起车: 买不起车,她仍买不起车。
多久没自己玩了？[微风][微风][微风]: 休闲度假,享受微风。
厦门的海很蓝很蓝，男生会不会很闷呀: 海蓝很蓝,男生会不会很闷?
搞离婚庆祝为何不避开小孩？网友但愿她这不是一时的快乐。: 离婚庆祝为何不避开小孩?
51岁大叔利用神仙水，在半年内侵犯上百名女性，并拍摄了418条侵犯视频，神仙水到底是什么神奇药水，竟让人如此欲罢不能！近年来，诈骗手段越来越高级了，这无疑给众多老人和女性同胞们带来很多的伤害，也给民警带来了更大的难题。同时，随着互联网的发展，聊天工具的诞生在人与人之间搭载了沟通的桥梁，让越来越多的陌生人有了彼此了解的机会，然而，有谁是真的了解对方吗？赵女士就是因为觉得了解对方，所以才对他保持信任，最终导致自己失了身，那对方是如何让她卸下防备的呢？赵女士大学毕业以后，由于在家里那个小县城不好找工作，所以就选择来到江苏打工。在这里，她人生地不熟的，也没有个依靠，心灵极其脆弱。再加上工作的压力让她快喘不过气来了。这时候，一个叫石墨花生的网友闯入了她的世界，两个人相谈甚欢。久而久之，赵女士养成了每天都和他吐槽工作上不满意的习惯，而每次这个网友都会耐心的开导她，鼓励她坚强的面对突如其来的一切。在聊天中，赵女士得知石墨花生是个五十多岁的男子，他也在江苏打工，两个人住的地方距离也不远，刚来的时候也是四处碰壁，好在现在稳定下来了。难得在异乡遇到一个知心朋友，赵女士并不介意他的年龄，反倒觉得他说的话跟他的年龄不符。况且出门在外，多一个朋友就多一条路嘛。很快，两个人约定要见一面，以后就算是真正的朋友了。刚一见面，两个人就有一种相见恨晚的感觉，聊的热火朝天的。聊天中，石墨花生不经意间拿出一瓶水递给了赵女士，赵女士想都没想就喝了下去，还觉得自己能够在外地交上这样一个见多识广的朋友真是太荣幸了。然而她不知道的是，接下来的人生将会因为石墨花生的出现而毁于一旦。赵女士喝了这瓶水不久后便晕倒在地，等到她醒来的时候竟然发现自己光着身子躺在自家床上，这一下子给自己搞蒙了。她努力回想自己是怎么回到家的，却怎么也想不起来，但心里觉得一定有事。于是她挣扎着起身，拖着疲惫的身子给警察打了电话。警察接到报案后，立即察觉到这不是一起简单的案件。于是立即起身前往赵女士家询问具体情况，顺便查看一下赵女士的身体情况。来到赵女士家之后，警察看着赵女士有气无力的样子，赶忙把她送到医院做检查，没想到在赵女士的血液中竟然检测出新型毒品的成分。赵女士瞬间慌了神，连忙辩解道自己绝对没有吸毒，一定是被人动了手脚。此时她隐隐约约想到自己昏迷之前和石墨花生见过面，而不省人事就是在喝了他递给自己的水之后。这个石墨花生立即引起了警察的注意，随后赵女士便一五一十的交代了两个人从认识到见面的整个过程。警察听了后觉得石墨花生有极大的作案嫌疑，于是立即对他进行拉网式排查，最终在一个出租屋内找到了他。面对警察的询问，起初他并不承认，直到警察从他车上找到了神仙水，再加上赵女士的指控，他才无奈的交代了犯罪事实。石墨花生姓胡，是个无业游民，所谓他说的现在站稳了脚跟，其实就是找到了一种来钱比较快的违法手段。一次偶然的机会，胡某在酒吧认识了一个贩卖毒品的人，由于他被洗脑说这个来钱特别快，而且很多人防范意识低，轻而易举就被骗了，尤其是女性。胡某说他经常扮演成知心大叔的形象，先和年轻小姑娘培养好感情，安抚她们受伤的心灵，随后把她们约出去，不经意间把这瓶神仙水递给她们，她们肯定会喝的。殊不知，这瓶神仙水里有一种新型毒品的成分，无色无味，一般没有人能察觉出来，等到她昏迷过去，你就可以为所欲为了。无论是劫财还是劫色，就看你的胆量了。而胡某的可恨之处是，警察在胡先生的手机里竟发现了近半年来他利用神仙水侵犯的所有女性的视频，足足有418条！简直太可恶了，就让他等着法律的制裁吧！想想每年因为抓捕毒贩而饱受折磨以及那些牺牲在禁毒一线的警察，都让人恨不得将贩毒者碎尸万段！作者辰洋编辑世界: 男子侵犯女子身段,警方介入调查。
就胖且不减武汉街道口: 胖且不减,武汉街道口
因为是爸爸妈妈的小公主所以23岁喜提: 23岁小公主喜提
毛岸英的个人简历，永远的001号战士，青山处处埋忠骨，何须马革裹尸还。: 杨岸英简历曝光
大妈因电梯门关得太快被夹，竟直接掌掴无辜女孩。物业已道歉。网友仔细看，电梯门是自动关的，小女孩最后按的是开门键，大妈不分青红皂白打人，实在太过份了。: 大妈掌掴无辜女孩
在现如今社会，且不论颜值如何，单是干净就已经打败了很大一部分！北京荣华国际: 北京荣华国际:单是干净打败了很大一部分
当年整的这种东西，现在看来还真尴尬: 遭遇年整尴尬
第二次大战时，美军飞虎队员牺牲前的最后一口烟！致敬飞虎队的英雄们！感谢飞虎队为我们中国人的牺牲和付出！永远不会忘记他们的恩情！驼峰航线后来飞机不用导航，只要跟着雪山上的失事的飞机碎片就能到达目的地: 致敬飞虎队英雄,驼峰航线不用导航,跟着失事飞机碎片即可到达目的地。
去海底捞吃火锅服务员给了我一个玩具还挺好玩的火锅也不吃了在那里搞来搞去: 海底捞吃火锅服务员给我玩具
换一个，换一个，换一个慕了专员: 换一个慕了专员
嗯我化淡妆的脸真的好点幼态、，: 评价化淡妆的脸
那年今日系列，三人愚人节发博，怀念那个时候的三人啊！: 三人愚人节发博,怀念当年的三人
白天和晚上价格相差一倍，不能理解: 不能理解天价和晚上价格相差
又烫啦又烫啦和上次一样哒: 烫啦又烫啦,和上次一样。
初次见面阿姨给了见面礼见过父母我们领证之后订婚本天秤这几天可太缺觉了: 见面礼后订婚,天秤缺觉
萝莉与大叔的禁忌之恋: 萝莉与大叔的禁忌之恋
火遍全网的盒状鼻，符合你的审美吗？: 质疑全网盒状鼻
朋友们，我拿到驾照了！这不得单发一条微博！: 拿到驾照单发微博
你坐火车时最反感什么行为: 坐火车最反感什么行为
前几天看到人说奔跑吧兄弟可以改成奔跑吧姐妹了: 奔跑吧兄弟可以改成姐妹了
在哪里跌倒就在哪里烧烤: 跌倒在烧烤场
书里掉出一张旧照我妈说这是她曾经的爱人——怎么和我老婆长得一模一样[奋斗]: 掉出旧照,发现是前爱人和老婆一模一样。
浪漫不死！是谁还没有蜜雪冰城的玫瑰花！: 浪漫不死,是谁没有蜜雪冰城的玫瑰花?
清晨第一缕阳光，着实被美到了。: 清晨第一缕阳光美到
的手应该有它自己单独的粉丝，就像她的腿一样: 提议有自己单独的粉丝
名场面片段，对不起，不能陪你到最后，你是否也曾被感动过？影片今日18点起在全国艺联率先开画，4月11日全国上映。: 电影《对不起,不能陪你到最后》在全国艺联率先开画,4月11日全国上映。
前两天我给男朋友口的时候他让我给他舔菊花，他不说话但是把屁股抬了起来，就是让我给他舔，这个和勾八不一样，接受不了啊。男的被舔菊花会舒服么？他不会在外面跟男的也玩吧？菊花被舔时可能会有一定的刺激感，至于是否在外面跟男的玩，尚不清楚。不过想要提醒一点的是，直接用嘴舌头去舔菊花，可能会引起粪口传播的传染病。常见粪口传播途径的传染病包括甲型病毒性肝炎、戊型病毒性肝炎及可以明显引起腹泻的传染病（比如诺如病毒胃肠炎、伤寒、霍乱等）。伴侣间的杏行为应当是双方自愿且是都能接受的，对于自己不能接受的一些行为，完全可以拒绝的。: 舔菊花可能引起传染病,伴侣间的杏行为可以接受。
我只想告诉大家，别相信男人那张嘴，虽然有时候还挺舒服。: 不要相信男人那张嘴
导演在给磊磊示范怎么扒肩带，磊磊伸手把导演手给拉下来了！导演笑这还保护上了: 磊磊示范扒肩带
学校的花开啦北京中国传媒大学: 北京中国传媒大学校园花开
1还是2帮孩子选选吧[干饭人]: 建议2帮孩子选干饭人
养一只鼬是什么体验？当短尾鼬和收养自己的小姐姐熟悉之后，一举一动也太热情太可爱了[哇]精选: 体验养短尾鼬,热情热情可爱。
夫夫拍的，他每次都会把我拍的很小: 摄影师记录夫夫拍摄生活
只想说李沁很聪明，衣服的胸口做了点小处理，确实大方得体: 李沁大方得体
留下自己的长度大小吧: 留下自己的长度
阿姨今年41，还想尝尝爱情的苦。: 阿姨期待爱情
老婆的手怎么这么小一只啊啊啊我手已经算女生里小的了现在才有真实感: 老婆的手小一只,有真实感。
洗完澡想骑大马了（长沙）: 洗完澡想骑大马
上岸了为什么他妈的上热门了: 上热门因她妈
