在油菜花地里是不是更刺激！广州: 广州油菜花田刺激
上次小马去动物农场被驴踢了一脚，我嘲笑了她好久，结果这次我被马踩了。: 小马被驴踢脚,被马踩。
白鹿赵露思俩人机场偶遇，太漂亮了: 赵露思机场偶遇漂亮
湖州没什么好玩的如果你要来玩可以来玩我的感情: 邀请你来德州玩感情
深圳天桥常态。。。深圳专员: 深圳专员天桥常态
山花烂漫时，惬意不过如此唐诗逸: 欣赏花花烂漫的唐诗
坂本雄一，3月31任命，4月6日就没了。: 坂本雄一任命失利
都来沾沾这位友友的喜气！: 沾沾友友的喜气
我注册了微博，请大家多多关照。: 注册微博,请多多关照
台北宁夏夜市的蛋包虾仁汤: 宁夏夜市的蛋包虾仁汤
近日云南昭通，一名孩子，过度沉迷玩手机，母亲劝阻无效，没收手机，男孩情绪失控，对母亲拳打脚踢，网友家长得了多么心寒！: 男孩过度沉迷手机,对母亲拳打脚踢。
呵呵，中午十二点睡下两点被吐醒，，，: 午睡被吐醒
很多花花路上还碰到了圆圆猫咪[锦鲤附体]: 碰到了圆圆猫咪[锦鲤附体]
为什么我的眼里常含泪水，因为我对这片土地爱得深沉！今天的大好河山，是无数个先辈们流血牺牲换来的。人民英雄永垂不朽！: 热爱这片土地,人民英雄永垂不朽。
我的外卖正在被骑手攻击: 外卖员遭骑手攻击
现在很流行这种经营模式的把方便面搭配十足的浇头进行重新组合，同时配上直播带货: 流行经营模式,方便面搭配浇头,直播带货。
爸爸和儿子打篮球，打到儿子哭着找妈妈: 爸爸和儿子打篮球,儿子哭着找妈妈
四块钱一个的包子，天天在学校吃[哆啦梦害怕]: 学生吃包子,哆啦梦害怕
谁侧方停车技术好？来报个到长沙: 侧方停车技术哪家强?来长沙报个。
我是会带充电宝的，毕竟外面的共享充电宝太贵了而且充电速度太慢了！: 共享充电宝携带注意事项
说说你高考后做的最疯狂的事情吧！！: 高考后做的最疯狂的事情
用激光来画一个车，这个有点炫啊，实际用途是？: 激光车用途不明
健身有时候运动方法错了会导致事倍功半！: 健身方法错误致事倍功半
一只被消防员从大火中救出的俄罗斯大橘猫，猫一定要找出是谁放的火: 消防员救出橘猫
想了解更多？4月20日1900，折叠系列及平板旗舰新品发布会，敬请期待。: 4月20日新品发布会预告
牵手帮扶国家乡村振兴重点帮扶县，这是我们企业家应尽的社会责任，也是我们的光荣。最后，呼吁全社会企业家朋友们，一起助力乡村振兴，共建美好乡村，共享美好生活！顺祝自己和我亲爱的哥哥生日快乐，感恩在一生最精彩年华努力拼搏的自己，感恩一路走来各位对我们的支持与关心。: 呼吁企业家助力乡村振兴,共建美好乡村。
我也不想疯啊，可是华晨宇竟然下了个腰[送花花][送花花][苦涩]: 华晨宇下腰送花花
男生追人是只会打嘴炮吗？: 男生追人是打嘴炮吗?
一个绝对的技术活，但做出来肯定会有满满的成就感。: 技术活也能有成就感
妈呀黑丝都有喇叭裤了: 妈呀黑丝都有喇叭裤
教练我想打篮球哈哈哈哈哈哈哈9987: 教练想打篮球
网吧看到的能不能捞一下: 期待能捞一下
当我妈发现我谈恋爱叫我要自爱: 谈恋爱叫自爱
近日，河南许昌。女子爱狗被盗半个月，几经反转在狗市中找到报警协商后花550元买回。: 女子爱狗被盗,经协商买回。
老爸给女儿买了一辆车，可女儿怎么也高兴不起来: 父亲为女儿买辆车,女儿高兴不起来
拍的非常漂亮，就是觉得有点费手机全球精选: 费手机全球精选,漂亮漂亮。
春风向暖迫不及待奔向夏天湖人我来了: 期待湖人夏天
引发网友热议。针对日益盛行的盘串之风，北京市鼓楼中医医院康复科主任陈岩提醒长时间、高强度盘串易引发腱鞘炎。陈岩介绍，盘串确实具有稳定情绪、缓解压力的作用。但是儿童、青少年还处于生长发育的阶段，如果长时间进行单一机械互动，容易造成指关节发育不平衡，甚至造成关节肥大性增生等疾病。因此陈岩表示，对于孩子们，我认为还是应谨慎盘串，多选择阳光下的运动来放松身心。五环短视频@五环短视频五环短视频: 陈岩提醒注意盘串稳定情绪,但长期单一机械互动易引发腱鞘炎。
读书时曾遭同学霸凌欺负被抬进垃圾桶里，2010年她上滚石杂志，拍了一张垃圾桶大片。: 女孩被同学霸凌抬进垃圾桶,拍摄垃圾桶大片。
练完后去妈妈家里吃个馍西安: 练后去妈妈家吃馍
夫人挡枪直接死亡，竟让老公当场开膛破肚，取出腹中胎儿。是个狠人！: 夫人枪杀丈夫,开膛破肚取出腹中胎儿。
看似很乖其实喜欢玩掐脖子那一套: 喜欢玩掐脖子那一套
全自动炒菜机，你觉得用处大吗？呢: 全自动炒菜机,你觉得用处大吗?
这是什么原理逗比三好生: 逗比三好生原理
看看细腰3（已授权）: 官方授权细腰3
丫丫终于有点熊样了，丫丫的眼睛也开始有光了，越来越精神了，也胖点了哈哈哈！好开心，丫丫会越来越好的！: 丫丫眼睛有光了,越来越精神。
北京的妖风拍不了一点照: 妖风拍摄不理想
152配183是种怎样的体验？: 2配183,体验怎样的体验?
香皂弄成了买不起的样子: 买不起皂弄
第一季我就是被泡菜国的绿衣狠狠勾中我的心的那时候他们穿着统一的衣服画着最淡的妆鼻姐美绝: 被泡菜国绿衣勾中心,那时候他们穿着统一的衣服,画着最淡的妆鼻姐。
不懂就问，这是在现场解构吗？烙铁真的别太离谱: 烙铁解构遭质疑
坐飞机不要穿鲜艳的衣服啊[哆啦梦害怕]: 坐飞机不要穿鲜艳的衣服
公安部定点帮扶专场直播！锁定快手@快手账号警网优选，今天下午，准时开播！锁定直播间，送周深、张若昀同款警熊，记得提前定好闹钟哦: 公安部定点帮扶专场直播,关注快手账号,送周深、张若昀同款警熊。
近日，广西梧州，两位少年在家中认真练习舞狮动作。少年们神色认真，动作行云流水，默契度拉满！网友小小少年未来可期，希望他们以后能闯出属于他们的一片天地。（广西都市频道）: 广西梧州两少年认真练习舞狮动作,网友希望他们能闯出属于他们的一片天地。
祝福坚强的小安琪，加油！: 祝福坚强的小安琪
今年以来，我国已出现8次沙尘天气过程，4月9日以来的沙尘天气过程达到沙尘暴级别，为今年第二次沙尘暴过程，弱于3月19日至24日的强沙尘暴过程。沙尘频发，我国沙尘是否进入了新的活跃周期？对此，中央气象台首席预报员桂海林表示，看待这个问题，可能要从更大的一个时间尺度去看。实际上，从2000年以来，我国大范围的沙尘暴次数是呈现出减少趋势的，但从近些年来看，有部分年段的沙尘次数比常年同期略偏多。不过，沙尘发生和很多因素有关系，比如地表的植被、积雪、气温、降水以及天气系统的强度等，桂海林说，天气系统的发生具有年际变化特点，但从目前的情况来看，并不意味着我国进入了新的沙尘活跃周期。需要提醒的是，沙尘暴一般会给交通、农牧业以及人体健康带来一些影响，像沙尘粒子在沿途中会携带一些重金属或者一些敏感源，因此一些心血管或者过敏体质的人群，在沙尘期间应该尽量少出门，或者出行时做好防护，戴上口罩、纱巾等。另外，沙尘天气通常伴随大风，这种天气下也要注意加固搭建物或者广告牌，户外高空作业人员要做好安全防护。（记者骆倩雯）: 沙尘天气频发,影响健康,建议减少出门和防护,注意安全防护。
多姿多彩的春天来了。在你的家乡，人们最爱吃的春菜是哪些？最喜欢的春日美景是什么？属于你家乡春天的独特记忆是什么呢？: 春日美景属于你家乡,爱吃春菜和春日美景。
湖北团风县一女局长被曝用公款配置30平方米单间回应家住得远没地方休息 4月10日晚，一则来自湖北省黄冈市自媒体发布的网络爆料视频显示，黄冈市团风县政务服务和大数据管理局局长陈莉，给自己配了一间休息室（单间），床、冰箱、电视等设施公费报销给办公室员工也配了休息室，但内部设施简陋，床是上下铺。湖北省多位纪委人士告诉记者，陈莉的行为违反中央八项规定第八条。陈莉回应称，自己家住得远没地方休息，经常睡办公室。基于此，才想到将局保安房改成休息室，床上用品是自带的，冰箱是食堂搬来的，柜子、桌子、电视是办公室工作人员用公款买的。（记者苏笃）: 湖北女局长被曝用公款配置30平米单间回应家住得远,常睡办公室。
我之前去马来西亚导演一条片子，当地马来协拍团队里有个女孩摄像助理特别牛。我作为中国拍摄组里唯一的女人，满眼欣赏看着马来组里唯一女人的她，全程不停歇12小时干全组最重最累的活，我们有的男摄像扛着费劲的机器镜头脚架，她拿着就走。最后看她还一个人各种抬着超重的设备装车。收工时组里男的都在啧啧惊叹她的体力。所以女孩子们啊，社会一辈子叫你柔弱，告诉你瘦弱温柔才好看，你锻炼健身，他们会说女孩子有肌肉多难看，到了找工作的时候又拒绝你男女体力有别，女人没肌肉，女人干不了这个。所以，很多限制都是强加在我们身上的，要坚信只要女人想干，没有女人不能干的[加油]: 女孩摄像助理在马来协拍团队工作12小时,被称为中国拍摄组唯一女人。
《关于骗子找我推广我让他给我报价这件事》: 《关于骗子找我推广我让他给我报价这件事》
192931说 拍一下我真的不理解，你还记得曾经点赞的微博说果味桃次次拿凶手逃脱是因为玩得好不是因为有剧本吗？这次两天了屁都不敢放一个，我真的想问是什么改变了你，那时候的维护到底算什么？: 拍下凶手逃脱因玩得好吗?
到底是谁发明了调休离婚冷静期和公摊面积的？能不能报上名来让大家认识一下？？？: 离婚冷静期和公摊面积的疑问
起火处为动物保护基地 大约下午1点半左右，浙大紫金港校区边一活动板房发生火情。起火位置为浙大紫金港校区的动物保护基地。起火的地方是有一个学生动物保护者协会，里面有一些学生救助的猫、狗等小动物。一位学校的学生告诉潮新闻记者。记者从消防部门了解到，起火板房内的火已熄灭，无人员被困。刚刚，杭州城西一高校内突发火情，现场火已熄灭: 浙大紫金港校区动物保护基地发生火灾,无人员被困。
五一上班3倍其余四天2倍工资: 涨工资:上班3倍,四天2倍。
我明白你们的从众心理，生怕自己不属于一个庞大的群体，生怕被抛弃，被孤立。不惜说各种脑残的言论，残忍的话。当年日本军国主义煽动仇恨的时候，大多数日本人也是这样被裹挟的！所以才需要大声告诉你们，我坚决反对一切将人按国别、种族、性别、宗教、民族进行区隔、歧视、仇视、剥夺的任何思想和表达！哪怕你们有十万人，百万人，千万人，亿万人指着我的鼻子轮流咒骂我，我也要反对！我的国家是站在人类的立场反法西斯和军国主义的四大盟国，二战后国际秩序的联合缔造者，你们要配得上我的祖国！: 呼吁大声告诉你们,反对将人按国别、种族、性别、宗教进行区隔、歧视、剥夺任何思想和表达。
丰巢也太离谱了吧？原来我记得24小时还是48小时不取开始收费，现在18个小时不取就开始收费了？？凭什么啊谁家按照18个小时过一天啊？真的恶心: 丰巢收费离谱
河南虐待园区动物不是偶然，河南旅游局不管管[弱][弱]: 河南旅游局不管管虐待园区动物
近日，湖北仙桃，90后女孩创作的石头画惊艳网友。水果、动物、人物画像各种内容的画作栩栩如生，以假乱真。网友女孩的画笔仿佛让石头拥有了生命般！（仙桃电视台）: 湖北女孩创作石头画惊艳网友
韩国偷走了我们那么多的文化，就是没有偷调休。: 偷走了我们的文化,没有偷调休。
近日，一种手串玩具深受小学生欢迎，在多个社交平台上流传大量小学生盘手串的视频。南都、视频记者走访广州部分文具店，发现较多文具店有此类手串出售，店主称手串在前段时间销量较好。有学生表示，盘手串在女生中较流行，看到大家都在玩，自己也买来试试。学生家长表示在不影响学习的情况下愿意给孩子尝试的机会。视频: 小学生盘手串玩具受热捧,家长愿意尝试。
内蒙古巴彦淖尔，漫天黄沙席卷而来，遮挡住了视线，却遮挡不住消防车出警的脚步。消防车小心前行，逆风而上。被沙尘暴包裹的每一秒似乎都在吃土，但蓝朋友们毫不退却坚持灭火、救援。这一刻，那抹火焰蓝的身影不算清晰，但依旧让人心安提示沙尘大风天气，应格外注意防火安全，出行时做好防护，减速慢行。: 提示沙尘大风天气,注意防火安全。
韩国生育率078全球垫底爱豆产业面临人才枯竭危机[裂开]: 爱豆产业人才枯竭
老师在山村泥土屋和水牛背上度过了童年，现在他想怀念他们。: 怀念童年,在泥土屋和水牛背上度过的童年。
今年是华特迪士尼公司成立100周年，幸运兔奥斯华首次亮相上海迪士尼度假区！据了解，奥斯华是一只精力充沛、好奇心爆棚的黑色兔子，也是华特迪士尼先生和其团队首批打造的迪士尼朋友之一。你觉得奥斯华可爱吗？: 幸运兔首次亮相上海迪士尼度假区
西安沙尘暴之我的眼镜如果不是看到这层灰，感觉今天的西安就是风大一些，西安处于这一轮沙尘暴的边缘位置，受波及、影响算是小的，我也因此低估了西安沙尘暴天气，户外没有戴口罩，大风呼呼吹，应该吃了不少土。[摊手]: 低估了西安沙尘暴天气,户外未戴口罩,大风呼呼吹。
韩国顺直男组织号房，韩国顺直女果然最恨女人的还是男同韩国爱豆发表恐同言论，中国顺直女楼上说得太对了太清醒了: 韩国顺直女认为男性更恨女人
日本街访节目5年前遇到了一名顶级名校庆应大学的女生，她患癌后辍学选择当陪酒女，住在破旧的小公寓。5年后，她的生活现状曝光，让无数网友佩服感动: 庆应大学女生患癌后辍学当陪酒女,生活现状曝光,感动网友。
平安北京@平安北京平安北京朝阳@平安北京朝阳您好，本人赵梁爱子，实名投诉北京大学@北京大学的某不知名学生疑似因为反对本人对女性权益的支持，在一个共有1454人的群聊中开盒本人个人信息（包含身份证号、手机号、户籍、曾用、小学低年级时的社保卡），严重侵犯了公民个人隐私权益。北京大学作为全国最高学府之一，其学生居然利用的保密功能，肆无忌惮地进行违行为，实在是令人瞠目结舌——希望警方可以第一时间予以处理，让此人受到应有的处分。清於门下茶僮子@清於门下茶僮子@正宗爹味酱@正宗爹味酱若言言和但丁学长谈恋爱@若言言和但丁学长谈恋爱莲城清明@莲城清明烟波人长安@烟波人长安柜子1859@柜子1859茜小姨姨@茜小姨姨牛津朱朱@牛津朱朱正宗爹味酱@正宗爹味酱她们的武术俱乐部@她们的武术俱乐部远离男人幸福晚年@远离男人幸福晚年蒋胜男@蒋胜男屠龙的胭脂井@屠龙的胭脂井: 北大学生利用保密功能侵犯公民个人隐私,令人瞠目结舌。
真的不想再相信这个牌子了，在国内批发了那么多代言人，真以为就可以如此肆无忌惮的侮辱了？娱八婆: 代言品牌涉嫌欺诈,消费者需谨慎。
央视新闻在强西北气流作用下，北方地区大规模沙尘持续向东推进。目前，此次沙尘已对北京空气质量造成明显影响。10日晚间，北京全市10平均浓度持续超过1000微克立方米，空气质量为6级严重污染水平。: 北方沙尘影响北京空气质量
广西德保，53岁的乡村校长黄永勇与妻子黄秀碧坚守乡村30多年。夫妻俩每天6点多起床轮流上课、做饭，现在守护着23个留守孩子。为了安全考虑，孩子们大部分住在学校，他们就像爸爸妈妈一样督促睡觉，给孩子们盖被子、打洗脚水目前，已送出了十几名大学生。黄永勇说，因为舍不得所以放弃过很多调离的机会，希望退休后能有志愿老师继续教他们。大米@大米大米: 乡村校长夫妻坚守乡村30年,为23个留守孩子守护,已送出十几名大学生。
这个话题下，有些人不要来搅浑水，不要站在自以为是的道德制高点指责中国网友。1、那俩颗原子弹不是中国扔的，日本人觉得委屈应该找美国人算账。2、不支持战争的日本人，是被日本军国主义绑架在了战车上，觉得自己不该被原子弹轰炸，他们的矛头应该对准日本军国份子。3、当年日军攻陷南京时，日本老百姓欣喜若狂的庆祝，所以它们不无辜。4、中国是日本侵略战争最大的受害者，我们现在只是玩梗和讲地狱笑话，已经很文明了。最后，再重复一遍原子弹下无冤魂！: 批评中国网友四句话
