成龙大哥生日快乐成龙@成龙: 成龙生日快乐
网友拍到4月7日的丫丫，面对这么多新鲜竹子表现得受宠若惊: 丫丫受竹子宠若惊
把嘴巴闭上，没你的份！: 嘴巴闭上,没有你的份。
为什么要我刷到这个，辣眼睛啊，文案更是，是太小了吗一夜过后被抛弃: 刷到辣眼睛,被抛弃
4月7日，河南郑州。世界卫生日郑州地铁又放惊喜，男生抢10个打开后发现是厕纸。[摊手]不是一人一个吗？他咋抢这么多？: 男生地铁抢厕纸
对于日常怎么在四川生活的，火锅绝缘体男子回应喜欢吃蔬菜，从小就不喜欢吃调味料，和朋友出门大多会选择中餐。你有过敏的食物吗？: 四川火锅绝缘体男子不喜欢调味料,偏爱中餐。
今天是两弹一星元勋孙家栋院士94岁生日。: 孙家栋院士94岁生日
据说当年潜入苏联的人非常容易暴露，因为他们都不会做这套动作！: 潜入苏联的人容易暴露
我刚刚落地厦门机场看到的: 落地厦门机场
为什么我肚肚肉肉这么多，哎呀好烦呀！: 抱怨肚肚肉多的烦心事
介入实操和示意图对比: 实操和示意图对比
代入感太强已经在上了: 代入感强已经上了
喂鸡神器困住鸡头，网友最后那下笑的腮帮子疼。: 喂鸡神器困住鸡头,网友大笑。
民国时期，一位山西的剃头匠，在街头遇到日军后做出的反应: 剃头匠遇到日军反应
朋友说这张莫名有点儿像江疏影？西安: 西安街头出现江疏影
我这两米八大长腿被拍成一米五很烦躁: 两米长腿被拍成米五烦躁
有没有人能跟我闲聊啊就一直聊一直聊那种: 交流平台:闲聊平台
正在认真听医生讲解体检报告的小柴: 小柴认真听医生讲解体检报告
当你拽着我双马尾的时候你会怜香惜玉吗: 拽双马尾时你会怜香惜玉吗?
女孩不能不知道的巨巨巨有用小妙招: 女孩不能不知道的巨巨巨有用小妙招
它怎么能笑成这样哈哈哈哈哈哈哈哈: 怎么笑成这样,哈哈哈哈。
成都新晋网红打卡地，金牛抚琴路紫藤花瀑布。: 成都新晋网红打卡地:紫藤花瀑布
苏科大凌晨4点发考研待录取通知并要求半小时内确认，校方已电话通知考生: 科大凌晨发考研待录取通知,校方已电话通知考生。
江苏常州，朱女士和老公打闹时导致第四掌骨骨折。朱女士介绍，当时伸手想打老公一下，结果老公伸手抓住她的手反向一扭，就听到咔嚓一声，顿时觉得无名指关节很疼，感觉拳峰明显塌陷后去医院检查，拍片发现第四掌骨骨折了，目前需要打两个月的石膏，康复期大概需要一年。朱女士建议夫妻打闹要适度，不要做一些危险的动作。: 夫妻打闹致第四掌骨骨折,建议不要做危险动作。
大连宝马撞人案司机被执行死刑: 宝马撞人案司机被执行死刑
今天，江苏省徐州市中级人民法院一审公开宣判被告人董志民虐待、非法拘禁案，被告人时立忠、桑合妞拐卖妇女案和被告人谭爱庆、霍永渠、霍福得拐卖妇女案。法院判决被告人董志民犯虐待罪，判处有期徒刑六年六个月，犯非法拘禁罪判处有期徒刑三年，数罪并罚，决定执行有期徒刑九年。判决被告人时立忠、桑合妞、谭爱庆、霍永渠、霍福得犯拐卖妇女罪，分别判处有期徒刑十一年、十年、十三年、八年六个月和八年，并处罚金。（总台记者张斌程琴）丰县生育八孩女子事件相关案件一审公开宣判: 徐州宣判一起虐待、非法拘禁和拐卖妇女案,被告人董志民、时立忠、桑合妞、谭爱庆、霍永渠、霍福得分别判处有期徒刑和有期徒刑。
4月8日，广东广州。一网友发文称带患有癌症的妈妈去理发店剪头发，因还价5元被理发师敷衍剪头，理发师还说女的就是麻烦，得癌症是苍天有眼。该网友称自己报警后，民警强制店主关门道歉，但店主敷衍道歉还笑问满意了吗？对此，当地派出所民警称，当天自己没有值班，不清楚此事。: 带患癌妈妈去理发店剪头发,还价5元被敷衍,理发师称女的就是麻烦,民警强制店主关门道歉,店主敷衍道歉。
主诊医生被判有期徒刑十个月 2021年10月5日，宁夏回族自治区中卫市整形诊所执业助理医师李某某应银川市整形医院邀请，在未在当地卫健部门注册执业的情况下，赴整形医院对被害人梁某某实施抽脂手术。3天后，梁某某经送其他医院抢救无效死亡。经鉴定，本案医疗过失行为与患者死亡存在直接因果关系，该医疗事故等级为一级甲等医疗事故。2022年12月8日，金凤区人民法院以被告人李某某犯医疗事故罪，判处其有期徒刑十个月。齐鲁晚报: 宁夏中卫一执业助理医师因医疗事故被判刑十个月。
据多家美媒报道，5日，美国新墨西哥州法明顿市警察在处理一起家暴纠纷报警时，弄错出警地址。警察敲门后多次表明身份，但无人应答，在警察向总部联系并后撤时，52岁的房主持枪打开门，随即引发枪战，房主当场中枪死亡。: 美国警察处理家暴纠纷时弄错出警址,52岁房主持枪引发枪战,房主中枪死亡。
近日，济南市委组织部联合多个单位，向全国青年人才送上一份大礼包。全国各地的在校专科生、本科生、硕士生、博士生，来济南都可以享受优惠。免费乘坐公交地铁千佛山、大明湖、济南植物园景区免费游100家青年驿站低成本入住。: 济南向全国青年人才送大礼包,可免费乘公交、地铁、景区、免费游100家青年驿站。
你们月薪多少，都是怎么生活的？: 月薪多少生活如何?
白色汇入主路连续变道，这车开得可还行！[哆啦梦害怕]专员: 白色汇入主路变道专员
在网上投诉也是寻衅滋事[摊手]: 网上投诉也是寻衅滋事
正核实 4月7日，一名自称是中国电科光电研究院（以下简称研究院）职工的爆料人向大河报@大河报反映，研究院存在强迫职工周末加班的现象，曾有职工被强迫写下周末不请假的保证书。这名爆料人向记者提供了4份上述保证书照片和1张微信群聊天记录截图，同时提供了自己在该研究院的工牌、工资条截图等工作证明。4月7日，记者就此事致电中国电科光电研究院，该院党委办公室一名工作人员回应称，会对此事进行核实。该研究院工会的一名相关负责人在电话中向记者证实，爆料者确系研究院职工，曾多次来反映过问题。（大河报）: 中国电科光电研究院职工被强迫周末加班,爆料人提供4份保证书和微信群聊天记录截图。
真没必要踢过要赔的！: 踢过要赔的!
这是上海还是纽约？！上海纽约大哥: 上海纽约大哥打架
济南深夜外卖小哥，身残志坚，靠自己撑起一个家！感动！: 外卖小哥身残志坚,靠自己撑起家。
同事这人才。 4月7日，广东，00后男孩不满意领导让其加班，怒怼领导有种你炒了我，你不也是打工的，你想讨好领导自己去，拉上我干什么，老子在这里饭都没吃饱过，饼倒是吃了不少，什么狼性文化。: 00后男孩不满领导让其加班,怒斥其狼性文化。
走进产学研城一体化发展的三亚崖州湾科技城，从产业促进中心，到南繁育种基地，感受国家陆海空的高新科技成果，海南无疑在这块高地上继续着新的跨越。这里有我们的星辰大海，更有着奋斗根基的粮食安全。潮平岸阔催人进，风正帆悬向未来。新征程上，三亚崖州湾科技城坚持战略定力，以奔跑者的姿态，全力谱写创新发展的新篇章。: 三亚崖州湾科技城坚持战略定力,全力谱写新篇章。
我国新冠溯源研究情况发布会: 新冠溯源研究情况发布会
台湾街头观察，一些有趣的照片[照相机]（第40期）: 街头观察有趣照片
这种低工资应该是很轻松的工作吧？一个月估计都上不了多少天班的那种，不然怎么会这么低: 低工资工作很轻松
山西临汾，29岁女孩张馨艺留学时患上乳腺癌，不想父母再担心和花钱，她独自扛了几年才被发现。临终前，她请求父亲把眼角膜无偿捐给需要的人，最终帮助2名患者重获光明。父亲张先生说，孩子很善良也很乐观，也是换一种方式把孩子留在人间。大米@大米大米: 女孩患癌后请求父亲无偿捐眼角膜,帮助2名患者获光明。
本来不想跟小屁孩一般见识的，但竟然在我的评论区自称别人进他家大院政审都过不了，还一口一个，那就只好仔细翻翻了，好家伙的，置顶一个日本护照一个政协，而且图五里还说东北能做二等公民，我想知道是给谁做，不会是说九一八以后的东北吧。这有点不像话了，我就有点好奇，想发上来给大家看看，到底是卢瑟口呢，还是真的家里是大院的。要真是大院的，那就得看看到底是谁的好孩子了。指路在此: 小屁孩吐槽大院政审过不了,询问是谁的好孩子。
