永远为落日晚霞而心动: 为落日晚霞而心动
现在的小女生不得了。。专员: 招聘专员:小女生
四月的海边，一不小心和海虹撞了衫: 海边与海虹撞衫
现在的牛仔短裤都这么短吗: 牛仔短裤短吗?
陈翔为女网红庆生，搂抱牵手不避嫌，周围人还起哄让陈翔有个承诺: 陈翔为女网红庆生搂抱牵手
关注并雷朋@雷朋出你的同框照。我们将于4月17日1400，随机抽取位1位幸运粉丝，送出雷朋太阳镜一副 随机抽取5位幸运粉丝，送出成毅明信片一份 微博抽奖平台@微博抽奖平台一键成毅同款潮镜: 随机抽取幸运粉丝,送雷朋太阳镜一副,成毅明信片一份。
抱着人家老婆多开心啊[笑]: 夫妻抱老婆,感叹幸福
一直以为这个段子只有网上才有，直到我遇见了。: 网上寻找真爱
发工资了很硬气[团圆兔]: 工资硬气,[团圆兔]
八戒说车祝痞幼分手快乐: 六戒说车祝痞幼分手快乐
醋坛子里的一个宝贝，据说有人为了寻它，跑遍了整个山西: 醋坛子宝贝寻找,跑遍山西。
嗯？不是除掉调休就只放了一天吗？还是请三天假连休九天比较合适: 调休与三天假是否合适?
上次发的拍照姿势大全忘发了嘻嘻: 拍照姿势大全
芜湖好久不见洗洗完浅发个素颜和我的崽晚安: 芜湖好久不见,发素颜和我的崽晚安。
拍动作戏嘛，难免的事还是难免发生。: 拍摄动作电影注意事项
今年五一从4月29号到5月3号连休五天，4月23日（周日）和5月6日（周六）补班。你们五一有什么安排？: 五一安排:连休五天,补班23日。
公交车上遇到生理期的女孩子: 公交上遇到生理期女孩
女大学生失恋后崩溃大哭，他追了我两年，谈一个礼拜就分手近日，某高校宿舍，有一名女生坐在床上崩溃大哭，跟室友发泄自己心中的不满，他追了我两年，才谈一个礼拜就要分手。据了解，女子是大三学生，刚来到学校没有多久，就被一名帅气的男学长疯狂追求，对其嘘寒问暖，并且经常在学习上提供帮助。不管学长如何献殷勤，女生都没有为之动容，始终保持一定的距离，但也没有拒绝对方的追求，只是告诉对方两个人先处着看看。一来二去就拖了两年，男生也没有放弃追求，而是加倍对女生好，最终女生败下阵来，答应跟他谈朋友，两个人正式确立了恋爱关系。本以为能够谈一段甜甜的恋爱，结果却遭逢了意外，女生跟男友刚在一起一个礼拜，结果对方就提分手，马上又跟另一名女生在一起了。女子经受不住这个打击，在宿舍里崩溃大哭，一个劲地和室友吐槽，他追了我两年多，谈一个礼拜就分手，哪有他这样的人啊？看到女生哭得梨花带雨，室友也不知道怎么安慰她，整个宿舍就她一个人最先恋爱，也没有什么经验，就劝他去找男朋友复合。女子马上化身恋爱大师，他都跟别人在一起了，你们还叫我去求复合，那我的脸该往哪放啊，我也放不下这个脸面去求和，我就是有点难过，他为什么一个礼拜就不要我了？据女生室友（林同学）描述，那个男生以前很喜欢她的，经常都跟着他后面转，培养跟她共同的爱好，辛辛苦苦地追了她两年多。他们两个人确定恋爱关系，室友还回来给我们发糖，后来两个人又约着一起去旅游，回来后没两天，她就跟我们说男生要和她分手。她在那里越说越伤心，后来就忍不住哭起来了，我们也不知道说啥好，但就是感觉有点奇怪，男生追了她两年怎么会一个礼拜就放弃了。后来我们也只能劝她看开点，男朋友没了以后再找就是了，可能因为那个男生是她的初恋，所以她才会如此难过吧，但也没有任何办法。看到这名女生的经历，也确实是让人觉得纳闷，被人追了两年，好不容易被对方感动了，结果却只抽到了一个礼拜的恋爱体验卡。男生会那么快移情别恋，估计也是早有预谋的，明面上追她两年，实际上她可能就是人家池塘里的一条鱼，对方随时都有备胎。真正的恋爱高手，往往是不会在一棵树上吊死的，几乎都是普遍撒网，最后再进行对比重点收鱼，觉得谁合适能追到就跟谁在一起。校园恋爱多数只局限于校园，很多人在学校里面谈恋爱，毕业后如果不在一个城市工作，很大概率会分手，没有多少人能够熬过异地恋，距离不一定会产生美，但一定会产生隔阂。华哥点评我来说一点，男生是会报复回来的。有的女孩子觉得她考验男孩子狠一点久一点，最后再答应他，就肯定能长长久久，我只能说这只是女孩子一厢情愿，事实是你考验越多越狠，男生以后就会报复得越狠。所以想谈甜甜的恋爱的女孩子，你要学会双向奔赴。。图文来自华哥评论。: 女大学生失恋后提出分手,室友吐槽他追我两年多。
从前喝酒唱歌，那叫档次，现在努力赚钱多陪妻儿，那叫靠谱，做与你年龄匹配的事，这叫责任！陪伴一定是童年最好的礼物，爸爸在成长道路上不能缺席，做不了完美的父母，那就做快乐的父母吧！: 努力赚钱多陪妻儿,这叫责任,陪伴是童年最好的礼物。
女同桌第一次来例假害羞，暖心男孩找老师要红糖！: 男孩向老师要红糖
有时候标语不用太礼貌: 礼貌标语不用太礼貌
法院我未养你小你不养我老 近日，河南安阳。河南高级人民法院公布一起案例，索某与妻子张某离婚时，约定自己抚养五个孩子，由于种种原因，孩子均由张某与继父抚养成人。二十多年后，未再婚的索某已迈入古稀，体弱多病又无生活来源，平时仅有长女给点补贴。索某将五子女诉至法院。最终法院酌定五子女，每月各承担赡养费300元，住院期间轮流照顾并共同支付医药费。西部决策@西部决策西部决策: 离婚后约定自己抚养五子女,未再婚的索某已迈入古稀,无生活来源,原告将五子女诉至法院。
原来痞幼分手可以比霉霉分手热度还高，是不是现在很多年轻人都不知道霉霉是谁了: 痞幼比霉霉分手热度高
原图原图先发这组吧[赢牛奶]: 组图原图曝光
贝琪！复活！！拍璃亚梦的时候突然开始探索这种大码体恤下掩盖的大码身材: 贝琪探索大码身材
出门前剪了刘海这下真的像小学生了！: 剪刘海像小学生
这边蛋炒饭的水平真高！尤其是最后装盘的那一刻！: 边蛋炒饭水平高
男朋友家发现这个手提袋: 朋友家发现手提袋
一枚95后的小幼师有没有初恋的感觉: 95后小幼师寻找初恋
清明节，缅怀教员。[菊花]: 清明节,缅怀教员
周一周二有盼头周四周五不难熬！建议专家建议周三也休息！情感: 周二期待周五,建议周三休息。
抹防晒出去游玩最美女神集中营: 夏季美女神集中营
破坏机能美式搭配中式布鞋: 破坏机能美式搭配中式布鞋。
一些来自上海的库存杨舒予: 杨舒予库存来自上海
我想我还是独立于我们的: 我还是独立于我们的选择
二婚了罗云熙@罗云熙: 婚了罗云熙
当告诉男朋友我有身体缺陷: 告诉男朋友我有身体缺陷
少林寺，一位好像科比布莱恩的禅师。: 少林寺偶遇科比布莱恩的禅师
鲁迅原名鲁智深鲁智深第一次觉得俺充满了文化: 鲁迅原名鲁智深
又看到这个爷爷了，之前拜托他还写了农子名字，哈哈哈哈哈哈[笑]: 爷爷写农子名字,哈哈大笑。
26小时打了130把游戏！虽说结局有点遗憾，但下个赛季我一定不给你们任何机会！: 13小时打了130把游戏,下赛季不给机会。
聽說最近很多人想幫我理財！: 呼吁理<unk>理<unk>
翻到这两张照片这条裤子因为胖了被撑破扔掉了内内两条线裤子侧全裸: 胖裤子侧全裸
据沸点视频@沸点视频报道，4月8日网曝亚航为等外国游客延误3小时，上海飞曼谷的亚洲航空761航班，上百人等两位游客。机上乘客不满向工作人员讨说法，始终没得到正面回应。9日，上海浦东机场客服表示，该航班确实延误，实际起飞时间是10点30分，不清楚延误原因。亚航暂未回应此事。沸点视频@沸点视频沸点视频: 网曝亚航为等外国游客延误3小时,浦东机场客服表示航班确实延误,不清楚原因。
中国人也有自己的申有娜了: 中国人也有申有娜了
消失一个礼拜终于跟两个面基成功啦[送花花]: 消失一个礼拜跟两个面基成功
老板娘我说馄饨只有皮不要肉，你这番操作是想笑死我吗[笑]新乡: 馄饨皮不要肉,老板想笑死新乡
1966年，毛泽东穿上了六五式军装，虽已73岁高龄，但仍然步履矫健、神采奕奕。在他身旁跟着的是护士长吴旭君。: 毛泽东穿六五式军装,身旁跟着护士长。
髙航@髙航谢谢老公宝宝[哇]深圳: <unk>航感谢老公宝宝
我比较好奇她有没有洗手: 她有洗手念头
周雨彤怎么哭了姐姐别哭了啊让人好心疼: 周雨彤心疼姐姐
惊天救援王千源韩雪吵架戏: 惊天救援王千源韩雪吵架戏
人生第二次坐警车希望大家看好自己手机最近又开始有小偷了石家庄: 警车提醒看好手机
天天放你一马[微笑]成放马的了么: 天天放你一马[微笑]
并@转发本条微博，前往评论区分享你被蔡徐坤种草的服饰单品4月14日，微博抽奖平台@微博抽奖平台将随机抽选1位幸运鹅送出潮流单品1件抽奖详情: 微博分享种草单品,抽奖平台参与。
内蒙古赤峰，爸爸抽烟不慎将烟插孩子眼角上。孩子妈妈游女士称，当时在家楼下，孩子爸爸一下车就点了支烟，和自己一起收拾后备箱。原本让孩子和奶奶回家，不曾想孩子又跑了回来，孩子爸爸手一挥不慎烟插进了孩子的眼睛里。当时孩子眼睛紧紧闭着，疼得直哭。去医院检查，医生说不会影响视力但是会留疤。: 爸爸抽烟导致孩子眼角插烟,孩子眼睛紧闭。
新学的广角拍照[耶]: 新广角拍照
建议华晨宇下次公园演唱会别铺草坪了，下过雨还是铺点垫子吧。: 华晨宇公园演唱会别铺草坪
是真的很好看，女的也忍不住回头看看啊。: 回头看很好看
这窗户可以啊[哆啦梦害怕][哆啦梦害怕][哆啦梦害怕]声控的[哆啦梦害怕][哆啦梦害怕][哆啦梦害怕][哆啦梦害怕]交警扣了车都没法开走: 哆啦梦害怕回家,交警扣车未开。
这样的酒店真的很恶心[弱][弱]: 恶心酒店
（总台央视记者武兵）: 总台记者武兵报道
众生皆苦为什么那么想哭啊它还累到要喘气休息: 感叹人生苦,想哭。
4月8日，广西南宁。熊孩子来到一家服装店里，掏出打火机，点燃一条裤子后迅速逃跑。裤子不一会儿就烧得猛烈，旁边的衣服也被连着一起烧起来。猫头鹰视频@猫头鹰视频猫头鹰视频: 熊孩子在店里点燃裤子,引发火灾。
小偶像被推倒的结果是: 推倒偶像?
目击者小孩子也在看心理影响大 4月9日，河南商丘。网曝景区两个工作人员轮番棒打骆驼，打得骆驼惨叫下跪。目击者李女士表示，骆驼嘴巴一下子就被打肿了，还流了血。当时小孩子也在看，大家心情非常不好，对孩子心理影响也大。（沸点视频）沸点视频: 河南商丘景区工作人员棒打骆驼,致骆驼下跪。
一辆电动车引发的血案！恶劣程度不亚于唐山烧烤案，刑拘就对了！车载娱乐: 电动车血案,刑拘对了。车载娱乐。
大家说我像刘亦菲杭州: 说我像刘亦菲杭州
南部战区@南部战区新闻发言人田军里空军大校表示，4月10日，美米利厄斯号导弹驱逐舰未经中国政府批准，非法闯入中国南沙美济礁邻近海域，中国人民解放军南部战区组织海空兵力全程跟监警戒。中国对南海诸岛及其附近海域拥有无可争辩的主权，战区部队时刻保持高度戒备状态，坚决捍卫国家主权安全和南海地区和平稳定。: 南部战区部队保持高度戒备状态,捍卫南海和平稳定。美米利厄斯号导弹驱逐舰非法闯入南沙美济礁附近海域,中国海空兵力跟监警戒。
再不发微博，我感觉我的微博要发霉了: 不发微博,微博发霉。
好了两个月雕的老房子，能换你一个吗？: 雕老房子换你吗?
这熊猫怎么狗里狗气的带你逛站: 熊猫狗气的逛站
吼吼吼！三亚三亚鹿回头高尔夫球会三斤佟鑫: 三亚鹿回头高尔夫球会三斤佟鑫
李一桐这辈子多做点善事能不能下辈子让我谈个长这样的。: 李一桐期待下辈子谈个长
勇气可嘉！但凡我有他一成勇气，小时候都不用被鹅追半条！: 勇气可嘉,但小时候不惧被鹅追半条
沈谋远虑那我就先叫锦超吧@那我就先叫锦超吧夏大脸@夏大脸公主抱吐血花絮来咯另附小七独家采访: 锦超吧花絮,小七独家采访。
任何一段关系提供不了情绪价值给予不了经济支持给不了正面陪伴三点不占一样舍弃才是明智之举徐琳: 徐琳:舍弃情绪价值是明智之举
自带滤镜的夏海是可触碰的蓝泰国皇帝岛，: 可触碰的蓝泰国皇帝岛
是懂仪式感的白鹿@白鹿: 仪式感白鹿
原来这就是学霸的世界[哆啦梦害怕]: 学霸的世界,让人害怕。
月嫂吃饭去了，兰林汉7点爬起来哄小猴。非常会哄，小猴一句话都跟不上趟。: 兰林汉哄小猴
赤安你说我够不够想你。: 安安说我够不够想你
你能来告诉我走后门是什么样的感觉吗？[微笑]廊坊嘉通名苑小区: 找到走后门感觉,廊坊嘉通名苑小区。
早上被三轮的臭脚丫子蹬醒一醒来就看到了这种画面: 被臭脚丫子蹬醒
三轴六驱五把锁王者来袭4月18日上海车展71号馆展台等你来: 五驱五把锁王者亮相4月18日上海车展
项链掉得为什么这么合适: 项链掉得为什么这么合适
啊啊啊啊啊啊啊啊啊啊啊啊啊啊: 表达对电影的情感。
没有人反对吧[送花花]: 反对送花花
哈哈哈。今天婚礼的纪念日。: 今天是婚礼纪念日
做了一条裙子景甜@景甜: 裙子被景甜看到
内部资料，果然套路满满: 内部资料套路满满
工作室给杨幂胸前打码引热议工作室近日发了杨幂的一个视频，竟然在她的胸前打码了，难道是说她太暴露，怕她走光吗？这个视频是杨幂参加微博之夜的时候拍的，杨幂穿着这套礼服好几个小时，如果会走光，早就走光了。杨幂以前穿过的暴露的礼服太多了，所以不用打码，打码之后反而会吸引网友的注意。杨幂在微博之夜走秀时用左手捏着裙子也是未解之谜，为何要那么做呢？对此你什么看梁曼: 杨幂胸前打码引关注
1998年的女性自卫防狼插图: 女性自卫防狼插图
金星女儿出门穿太少，金星怒骂你咋不穿开裆裤呢？细雨蒙蒙: 金星骂女儿穿太少开裆裤
吸收天地之精华[耶]: 吸收天地之精华
吃了一天，藕粉只受了一点皮外伤。: 藕粉受外伤
男生看女生女生看男生: 男生与女生互看
据星视频@星视频报道4月9日，河南信阳。女子听到楼上有人大喊小孩落水了，于是她四处寻找落水孩子。随后，不会游泳的她仍选择跳湖救人，正当女子没有力气时，恰好赶来另一名热心女士，两人一同将孩子拖上岸。众人立即对溺水的孩子进行心肺复苏，并拨打120。女子表示，自己并不会游泳，当时周围就只有她一个人。正处生理期的她，将孩子救上来后回家泡热水澡。所幸，这名孩子成功脱险。星视频: 女子跳湖救落水孩子,众人施救。
标准的东方美人喜欢眼镜女生吗？（北京）: 东方美人喜欢眼镜女生吗?
在发生过战斗的地方拍照: 在战斗的地方拍照
今年首个700万！关注转发，抽三个小可爱送上文创礼品一份，感谢每一个你: 转发文创礼品,获700万奖励。
又是一天夜班，给主任打下手: 夜班中暴打主任
安徽一男子大骂剖腹产妻子3小时？官方当事人已出院，将做好关怀工作: 男子大骂剖腹产妻3小时官方当事人已出院
猛犸新闻@猛犸新闻猛犸新闻: 猛<unk>新闻报道
在中国视频网站上，大量在发达国家的华人，都喜欢干一件事，就是用他们一天的工资，到超市买一堆食物，多到能吃一周，证明在国外生活有多好。这属于信息误导。生活质量不仅仅是食物，是包括衣食住行教医等等，食，只是其中很小一部分，你说生活质量好，得把住房开支，出行开支，读书开支，医疗开支，理发开支都得列一下。生活高质量不是简单的有食物，更不是简单的有肉食，在中国工作一天，也能到超市买不少食物，只是肉食的价格相对贵，但蔬果便宜。发达国家本来就应该超市物价便宜，要不然算个鬼的发达国家，他们人工贵就从来不提，你一天工资理个发多少钱？这个所占比例拿来也对比下呀。拿着日薪去超市买一堆东西，不能理解为生活质量好，只能理解为生存起点低，其实这个也还不一定，因为生存就包括吃饭出行住行穿衣，这四样每天的基本开支，都要完整比一下，才是全面的生存比较。: 在发达国家的华人生活高质量,不是简单的有食物,而是生活高质量。每日基本开支完整比一下,生活质量会更优。
4月8日，浙江金华，一位骑手小哥凌晨进店时没注意门和玻璃，一头把门撞倒，店家和骑手都蒙了，以为是抢劫网友这玻璃擦得够干净[笑]: 骑手小哥撞倒店家和骑手,误以为抢劫网友。
4月8日，江西南昌，游客偶遇青岛九中游学，学生们在滕王阁前集体背诵《滕王阁序》，气势磅礴，彰显青春力量！网友这才是读万卷书，行万里路。: 游客偶遇青岛游学,学生集体背诵《滕王阁序》。
职业乞讨请勿施舍这里已经快成为文殊院的打卡点位了成都文殊院: 乞讨者勿施舍,成都文殊院打卡点位
4月7日，江苏南京，有顾客发视频称自己于4月6日在85度店内购买了当日生产的三明治，包装标明保质期为2天，且需冷藏保存，随后自己于次日食用时发现其中番茄存在长毛情况。当事人张先生称自己于6日购买三明治后便将其冷藏保存，次日带到公司食用完其中一个后，发现另一个三明治内番茄长毛，随后拍视频留证，当晚由自己女友到店与店员协商。对此，该店铺负责人回应当时该顾客曾到店协商，并索赔1000元。门店所用食材均按规定配额，每天会销毁当日未卖出食物，不存在食材过期或换标签行为，目前正等待相关部门调查。: 顾客在85度店内购买三明治,食用后发现长毛,店方已协商并索赔1000元。
最近，竹筒奶茶成了奶茶界的新网红，在全国多地爆红，成了不少人旅游打卡的标配。在江苏苏州，当地热门旅游景点平江路上，更是随处可见运用了竹元素的饮品。记者在一家竹筒茶饮店铺门口看到，排队的长龙几乎没有断过。店家告诉记者平常一天能卖600—700杯，节假日能卖到1000多杯。虽然带着竹元素的包装成本要高，一杯的售价普遍达到30元左右，但也并不妨碍商家和消费者们对它的青睐。: 竹筒奶茶成为奶茶界新网红,在全国多地爆红,商家和消费者对它的青睐。
犯罪嫌疑人已被刑拘 4月9日，邵阳县公安局发布警情通报: 犯罪嫌疑人已被刑拘
湖南邵阳一男子街头强吻女孩，遭拒后对其实施暴力，一脚将女孩踹飞。镇政府回应已交公安处理。无论验伤结果如何，视频显示男子已涉嫌强制猥亵，而且在公共场所影响恶劣，应依法追究其刑事责任。: 男子强吻女孩遭拒,一脚将其踹飞。视频显示其涉嫌强制猥亵,应依法追究刑事责任。
这看起来像是视频完整版吧，女孩走了他还想去追。。。: 女孩走了,他想去追
据说，人当场挂了在纽约: 纽约街头出现挂机事件
贵州失联母子已平安找到: 贵州失联母子平安找到
网友这不就是汤泡面皮吗[笑] 近日，江苏苏州。阿姨包馄饨时只用筷子蘸一点点肉包进去，有人看到后顿时被惊到。有网友戏称这一碗馅儿能包三天！也有网友表示这是泡泡馄饨，皮薄馅少，主要是喝汤的。梧桐@梧桐梧桐: 苏州阿姨用筷子蘸肉包馄饨,网友戏称包三天。
记者暗访标价150元1小时实际缩水到半小时 近日有市民报料，西湖手划船明码标价标准收费为150元1小时，1小时起租，但实际上坐船时间只有30分钟左右。今天，记者实地暗访多个西湖手划船停靠点发现，多名西湖船工存在服务时间缩水、拒载等行为。有船工承认实际划船时长三四十分钟，就感受一下有船工面对记者质疑，直接说没有坐一个小时的你不要问问题哪个愿意给你划一小时你找哪个去。你在西湖遭遇过手划船刺客吗？: 记者暗访西湖手划船停靠点,发现船工服务时间缩水。
上海大爷抛弃妻女偷渡美国露宿街头32年后回国，欲见妻子分百万房产，最新进展老人已经恢复户口，还用上了低保，女儿还必须要赡养他就是不知道把他弄回国干嘛，简直就是祸害人，这种抛妻弃女一心想在美国发财，那就让他踏踏实实的呆在美国: 老人欲见妻分百万房产,恢复户口,女儿需赡养。
记者从北京市消防救援总队获悉，4月7日凌晨，北京市丰台区一居民家中发生火灾，事故不仅造成该居民家中一名老人身亡，还导致楼上试图逃生的邻居一死一伤。经初步调查，火灾事故系老人家属将电动自行车电池拿回家充电，继而发生爆炸起火所致。北京日报@北京日报北京日报都视频: 北京丰台区一居民家中发生火灾,一老人身亡,邻居试图逃生的邻居一死一伤。
并终身禁业 3月28日，新乡市凤泉区人民法院依法宣判一起教职员工强奸未成年人犯罪案件，同时宣告被告人某终身禁止从事密切接触未成年人的工作。据悉，这是新乡市对性侵未成年人的被告人判决终身禁业的首起案例。庭审查明，被告人某系某学校教师，多次趁给朋友未成年女儿送饭之机，对其实施奸淫。法院认为，被告人某奸淫不满十四周岁幼女，其行为已构成强奸罪。综合被告人犯罪的事实、性质、情节、社会危害程度等，法院依照《中华人民共和国刑法》《中华人民共和国未成年人保护法》相关规定，从重判处被告人某有期徒刑十二年，并发出全市首份禁止从事密切接触未成年人工作的判决。: 新乡一教师强奸未成年人被判终身禁业
抛下妻女黑在美国30多年的老人将住进公立养老院 前不久，75岁的老人刘玉生三十多年的坎坷境遇，引起了不少网友的关注。离乡背井偷渡去美国，三十多年不与家人联络，到了人生的暮年想要落叶归根，刘玉生的家人却不愿接受他，这其中太多是是非非难以评说。但从目前的实际出发，刘玉生属于生活无着的流浪乞讨人员，作为基层政府和社会救助管理部门，有义务保障他的基本生活。因此，上海市杨浦区相关部门着手为75岁的刘玉生补办各种手续，并将安排他住进了公立养老院。4月8日下午两点，杨浦区救助管理站内，刘玉生正在延吉新村街道工作人员的帮助下写下了情况说明。今年75岁的刘玉生，明确表示不要女儿赡养。工作人员问你是她法律上的父亲，她对你有赡养义务，那后续你希望她承担起赡养义务吗？刘玉生回答不要不要。刘玉生1990年偷渡出国，32年里没有与家人联络过，而面对从天而降的父亲、丈夫，刘玉生的家人无法接受，拒绝与他对话。杨浦区救助管理站工作人员胡求军他们家的女婿和我们、街道有沟通，他的表态就是说，老先生到美国去这么多年，对家里也没有尽到一个父亲、一个丈夫的责任，他们现在不太愿意接受他。经过一系列协调，政府出于托底保障职责，将他送入了杨浦区救助管理站。杨浦区救助管理站工作人员胡求军我们这边主要负责刘玉生日常的生活起居，他来的时候，脚上还有一点外伤，我们也给他进行了及时的医治，换了几天的药。另外就是找他谈谈心，把他的诉求和以前的具体情况和街道做一个反馈。另外，由于刘玉生赴美前，已注销了原属延吉新村街道的本地户口。目前，街道加紧与公安部门、救助站联合，帮他在注销地重新恢复户口。方圆媛延吉新村街道救助部门负责人派出所那边，因为他是1990年出国的，情况比较特殊，需要作为一个特殊个案去做落户申请。等刘玉生户口落实后，街道将完成手续办理，为其发放低保，并考虑是否进行长期安置。目前，刘玉生即将被送往杨浦区某公立养老院，做临时安置。刘宣廷上海通茂律师事务所律师刘玉生现在是城市生活无着的流浪乞讨人员，从法律的意义来说，他应该属于临时救助人员。基层的政府部门和社会救助管理部门是有义务对他提供一个临时性住所，维持他正常的生活所需，提供一个相对稳定的救助生活环境。刘玉生事件受到广泛关注，原因在于它的复杂性。于情理来说，三十多年前他抛下未成年的女儿，涉嫌遗弃罪。如今要回归家庭，家人拒绝赡养，合乎人情。但在法律上，子女确实有赡养老人的义务。刘宣廷上海通茂律师事务所律师他和他的妻子之前已经是合法的夫妻关系，在这期间也没有经过协议离婚，也没有经过法定提起诉讼离婚的情形，说明他们双方的夫妻关系还是合法存续的。根据我国民法典的相关规定，他妻子是负有救助抚养义务的。从法律上来说，（遗弃和赡养）是相互独立的。但是确实考虑到情理的角度来说，这样的事情对他的妻女是比较难以接受的。（新闻坊）: 75岁流浪乞讨人员刘玉生被送往公立养老院,并考虑是否进行长期安置,并已着手办理手续。
我捐献了遗体，用另一种方式继续当老师。近日，浙江杭州，55岁的小学老师周红飚因病离世。生前她登记了角膜和遗体捐献，希望再为社会做点事。37年教师生涯中，她带过上千名学生，学生家里有困难，她也会出手相助。如今，周老师成为了一名无语良师，把爱继续留在世间。致敬！浙江日报@浙江日报: 的小学老师周红飚去世,捐献遗体继续当老师。
冲上热搜。甘孜文旅局回应，该厕所不是旅游厕所，而是环保组织绿色江河的。4月9日，绿色江河在其微博回应称，该厕所属于他们创新推出绿币318环保项目。游客通过投放垃圾，手机扫码兑换绿币，支付绿币才能免费上厕所、免费停车。介于人有三急，在厕所使用方面，绿色驿站做了相关规定一是垃圾换绿币的游客多于5人，直接放下垃圾上厕所了二是上厕所的游客实在太多就直接排队上厕所，不用垃圾换绿币三是没有垃圾也可以上厕所，只是方便时候捡拾一个垃圾换绿币。（中新财经）: 甘孜文旅局回应绿色驿站厕所环保问题
现在邻居来添堵？ 张先生反映，2020年，母亲来西湖边享受生活，在一条街上找到了儿时的感觉，回去后就对那条街上的老房子念念不忘。为了满足母亲的心愿，张先生把房子买了下来，但说是最近发现，邻居背着他做了些改动，让他很不舒服。黄金眼: 母亲在西湖边享受生活,儿子对老房子念念不忘。
神州新闻第一次坐飞机1万多的箱子被摔坏，女子称与航空公司耗时2小时进行协商，航空公司只赔200。4月9日（发布时间）海口（发布地点）简评粗暴装卸惹的祸？: 第一次坐飞机摔坏箱子,航空公司只赔200。
近日，浙江温州外卖小哥张浩在送外卖途中，发现一名女子爬上桥梁的护栏想要跳河轻生。张浩来不及停稳电瓶车，从车上一跃而下，冲到女子身边，使出全身力气将她拉下栏杆。因为忙着救人，张浩派送的外卖撒了一地。民警通过短信和电话，帮助张浩向五位顾客逐一解释。了解事情原委后，顾客纷纷为张浩点赞。（记者王怿文李涛视频来源潮新闻）: 温州外卖小哥救落水女子,民警帮助其派送的外卖撒了一地。
女子花七千元买电动三轮车接孩子上学放学，车内精心布置，冬暖夏凉方便孩子休息: 女子花七千元买电动三轮车接送孩子
关心第1条2025年故宫北院区将全面建成早安————————————点击右上方关注[好喜欢]每天一分钟众览天下事，互联网早报值得拥有！更多精彩，欢迎加入粉丝群俊明和他的朋友们: 关心第1条2025年故宫北院区建成早安,欢迎加入粉丝群俊明。
男子拍下妻子做饭一幕，做顿饭手都要洗秃噜皮了，一顿饭能洗八百次手: 男子为妻做饭洗秃噜皮
酒店停电电梯故障女儿被困，消防队员准备营救被经理阻止，父亲急得崩溃！偏执狂: 父亲因女儿被困电梯急得崩溃
（视频自网友教语文的小吴）: 视频自教语文
冲上热搜。网络视频显示，该事件中的厕所写有绿币厕所字样。有网友认为该厕所为川藏绿色驿站里的绿币厕所。据318川藏绿色驿站的联合实施方之一四川省绿色江河环境保护促进会介绍，川藏绿色驿站是甘孜州政府参照青藏绿色驿站，在318（国道）探索的一种新的垃圾收运模式。在青藏绿色驿站的基础上，增加智能垃圾桶，游客通过投放垃圾，手机扫码兑换绿币，支付绿币免费上厕所、免费停车，在免费不免责、环境保护人人有责的基础上，创新推出绿币318环保项目。绿币318川藏绿色驿站的康定折多山驿和理塘西城门驿在2022年11月建成，并投入运转。（中新财经）: 川藏绿色驿站厕所被指环保项目,厕所写有绿币厕所字样,增加智能垃圾桶和垃圾收运模式。
