特朗普在法庭上做无罪辩护: 特朗普无罪辩护
据油管频道价值预估分析，李子柒油管停更一年多后，每月视频播放量依旧能产生广告收益元。李子柒油管粉丝1740万，上传128个视频，总播放量达292亿次观看。: 李子<unk>油管频道价值预估分析,视频播放量仍可产生广告收益。
这样的男高中生谁看了不迷糊: 男高中生看不懂
早期鸣人试图驯服九尾的珍贵视频: 鸣人试图驯服九尾视频
中国军队负重30多公斤，翻20个山头，下7个悬崖，这是边防哨所的补给之路！纵然艰险万分，但他们一往无前！: 中国边防哨所补给之路
记录一下第一次穿汉服乌鲁木齐: 记录第一次穿汉服乌鲁木齐
圆珠笔上是一名学生精心刻下的小抄，已被学校全部没收。拍摄于2022年西班牙马拉加大学。: 学生刻小抄被没收,拍摄于2022年。
哈哈我美工帮我把人走了，真的毫痕迹: 谢谢美工,帮我把人走了。
毕业答辩稿，照着念就完事了[报税]: 毕业答辩稿念完
要出门时才忙里忙慌的找钥匙: 出门忙找钥匙
横店女演员防晒现状一览: 女演员防晒现状一览
今天六周年，给小毛孩一个位吧: 六周年,给小毛孩一个位
她真买了隔开的座位！！！中间的人还没来: 购买隔开的座位
国外妈妈分享自己两个熊孩子的日常原本还以为是两个小天使，后来[笑]: 国外妈妈分享熊孩子日常
我这个，该不会是星巴克的克吧？: 不会是星巴克的克
两张照片分别摄于2020年和2023年的家长会后，一样的衣服，一样的角度，眼神却完全不一样了[苦涩]: 家长会后的眼神变化
好玩好玩，脑洞也太大了哈哈新月: 新世界玩好玩,脑洞大
奖励男朋友的方法有哪些: 奖励男友的方法
这个溏心卤蛋据说传儿不传女，传内不传外，今天我是偷偷地把它外传给你们，你们做好了别忘记我。视频来源大李小菜桂林: 偷拍溏心卤蛋视频,视频来源大李小菜。
归路路晨出差回家被岳父接受，抱住归晓就要送她回房间太会疼人井柏然谭松韵: 被岳父接受送回房间,疼人井柏然
美嘉还是当年的美嘉，小伙已成大叔啦: 小嘉成美嘉,小伙成大叔
4月2日四川成都，女孩餐馆吃饭，短短十几分钟陆续被人要钱。女孩打包后迅速离开。: 女孩在餐馆被要钱,后迅速离开。
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈反应了半天: 午间反应半天
东方青苍给小兰花化妆是有依据的！: 青青苍给小兰花化妆有依据
林徽因、泰戈尔和徐志摩。: 林徽因、徐志摩和徽因
夏天玩水要这样拍！！！: 夏天玩水要这样拍
国产剧这都能播了吗《归路》里谭松韵摸到井柏然的啥了: 国产剧《归路》谭松韵和井柏然合作
湖南，3月25日。网友分享宝宝三个月时质检的过程。网友这娃怎么是弹簧款的（爱义乌）: 婴儿质检过程曝光
不懂就问是怎样修到这样的？: 如何修到这样?
起来看见82条消息我人是傻的: 误认82条消息
4月3日，江苏，显脉仪照不到婴儿血管，护士靠手指摸索，一针成功！: 护士靠手指成功照婴儿血管
看到灵隐寺请不要无视，所有考试逢考必过[赢牛奶]: 灵隐寺考试必过
望周知当一个女孩被性侵被拍裸照拍视频后，当我们在讨论的时候，请不要说出这种话她这辈子都被毁掉了她以后还怎么找男朋友啊？她以后她怎么嫁人啊她被那么多人看过了，她的清白没有了这种话不是关心，不是同情，只是另一种伤害，这种伤害甚至不亚于被性侵被拍视频本身，甚至更严重，正是因为有那么多人，总是在不停地说如果一个女孩遭遇了这些不好的事，那她的一辈子就都被毁掉了，她才会这么想，正是因为有那么多人，认为如果一个女孩子遭遇了这些，就永远都没脸见人了，她次才会真的觉得自己这辈子都没脸见人，所以，才会有那么多性侵受害者，被裸照威胁的受害者，宁愿选择沉默，选择屈服，也不敢曝光罪犯，所以，才会有那么多受害的女孩，在事情曝光后，无法承受巨大这辈子被毁掉的巨大压力，而选择自杀，结束自己的生命。请永远永远不要做那个再次给这些女孩更严重的伤害的人，我希望越来越多的人，可以告诉这些女孩们你没错错的不是你，是那些坏人脏的不是你，是那些坏人。你很棒，你的一辈子还很长，你以后会有更好的未来。你的一辈子，永远不会被毁掉，真正应该毁掉的，那那些坏人的一生。: 女孩被性侵事件引发关注,呼吁公众不要同情,不要伤害受害者。
自由发挥大赛（禁露点: 禁露大赛(禁露点)
疯狂加班，甚至周末也没得休，这几乎是现在各大央企国企还有私企，甚至包括基层公务员，普遍存在的现象。一边是高校应届毕业生就业难的问题，一边是在职员工疯狂加班的现状，大家不觉得这个现象很奇怪吗？如果工作确实多忙不过来，就多招一点应届生啊。如果实际上没那么多必须要做的事，就别让大家疯狂加班啊。排计划接任务的时候就要以每天八小时每周五天为前提来安排啊，除了抢险救灾，有什么事情必须让大家随时加班呢？工作如果确实多为什么不多招点人呢？社会责任呢？: 公务员疯狂加班现象普遍,应多招应届生。
等全麻的5岁的小姐姐说早知道这样，我应该早点来做手术还是年轻啊！小朋友武汉华中科技大学同济医学院附属协和医院协和眼科刘伟: 5岁小姐姐建议早点手术
美得不似人间，真的像是从天上掉下来的小仙女当年小帅: 看起来像小仙女当年小帅
我可以做你吗爱人？无锡: 可以做你吗爱人?无锡
清纯这东西，肉眼可见无需过滤。（北京大仨): 清纯物品无需过滤,肉眼可见。
用你的三寸不烂之舌毁我十亿精兵？: 三寸不烂毁我十亿精兵?
这动作，半大小伙子做得都费劲，龙叔硬是顶着伤痛也要完成[苦涩]《龙马精神》: 《龙马精神》片段
茶艺满格的女朋友她好茶我爱了: 女友茶茶好,我爱了。
你还敢侧睡吗？即使翻来覆去，你的脸每天也会有57个小时紧贴在枕头上，而当你睡觉时，你头部5公斤的重量不断地作用在你的皮肤上皱纹刻在你的皮肤上，一位整容外科医生告诉我，这些皱纹不会因肉毒素而消失: 睡觉时5公斤的重量在皮肤上刻满皱纹
宫宣的时候就这么拍吧，简单随意又不失美丽: 宫宣时拍摄,美丽随意。
四月快乐！周末快乐！: 周末快乐,周末快乐。
女孩从小就听妈妈的话，但妈妈安排的婚姻却让她受尽了苦头！: 听妈妈的话,婚姻受尽苦头
今天的云是中国形状的哎！: 云是中国形状的,哎!
路人镜头里51岁的陈慧琳，这状态说是31岁也不为过吧[哆啦梦害怕]: 陈慧琳31岁也不为过
4月5日，记者从四川省总工会获悉，对于当前舆论广泛关注的疑似中国电科员工怒怼领导清明节强制安排加班的工作群聊天记录在网上曝光的相关情况，四川省总工会已第一时间启动工作程序，积极跟进协调处置，认真核查相关情况，切实维护职工合法权益。今天凌晨，疑似中国电科员工怒怼领导清明节强制安排加班的相关聊天记录在网络上传播。根据网传聊天记录截屏显示，事情起因为中国电科成都区软件开发事业部的一名员工陈某，因领导强制安排清明节加班而情绪爆发，将自己过去一段时间加班的怨气一并吐出，并引起了部门同事的集体共鸣，纷纷向公司表态请辞。目前，根据聊天记录可追踪到的事态进展，该公司已要求两名涉事领导在工作群向员工公开道歉，但疑似当事人陈某回应已经离职。有媒体致电中国电子科技集团有限公司总部询问相关事宜，一名内部员工表示，他们在新闻媒体上关注到此事，但具体情况并不清楚。待相关工作人员核实清楚后，将进行统一回复。四川省总工会相关负责人表示，根据上述网络曝光的情况，他们正与成都市总工会深入开展调查核实工作，若确实存在违反劳动法的情况，将采取措施，坚决维护职工合法权益。他们还将积极介入涉事企业，敦促企业开展集体协商，聆听职工心声，以和谐的劳动关系为底色促进企业健康发展。同时基于对当事人的保护，希望事件能够不要在网络上持续发酵，化解矛盾才是破题关键。(工人日报客户端): 四川省总工会介入调查中国电科员工因强制安排加班事件。
怎么看待李微敖公开景甜名字: 李微敖公开名字引争议
生平第一次把猥琐这个词用在一只狗身上: 平平首次将猥琐这个词用在狗身上
对不起了妈妈我真的很尴尬: 对不起妈妈,我真的很尴尬。
泰国没变耶还是那么可爱泰国: 泰国未变可爱
今天！我宣布！是我近一年来！最幸福的！一天！焦虑的日子！终于告一段落了: 一年来最幸福的日子,告一段落了。
虞书欣近期最可爱的抖看的人心情好好欣欣有带给人快乐的魔力[送花花]: 虞书欣带来快乐的魔力
要不要一起来下棋（天津）: 不要一起下棋(天津)
婉真的学会了如何相处和我相处了一天: 婉真的学会了如何相处
1924年，北京门头沟的小窑工。: 1924年,北京门头沟小窑工。
不喜欢下雨天给老公出去拍照啦: 雨天给老公拍照
丫丫回国最新进展丫丫从上海入境后会进行相关检疫，北京动物园会派工作人员来接丫丫，上海动物园提供协助支持，@将陪伴网友一起见证丫丫回国。: 丫丫回国检疫进展,北京动物园协助支持。
线上线下互动征集。网友们写给先烈跨越时空的话语，真挚动人。这些网友留言被带到英烈墓前被人记着，他们就永远活着。传递，致敬！: 线上线下互动征集先烈留言
在祭奠先人、寄托哀思之时，有些人我们永远不能忘记，那就是为民族独立解放、为国家繁荣富强作出奉献和牺牲的英雄烈士。为什么和平年代同样需要英雄情怀？如何更好地崇尚英雄、学习英雄，如何继承红色基因，弘扬先烈精神？一起学习: 学习英雄情怀,继承红色基因,弘扬先烈精神。
拍摄者有人治了！ 4月3日，广东，男子等红绿灯时，随意往车外扔垃圾。不料，警车就在后面，特警下车捡起垃圾，扔回男子车内。自贡公安: 男子随意往车外扔垃圾,特警捡起垃圾,扔回车内。
他93岁去世，蹬三轮近20年，为300个贫困孩子捐出35万元助学款，一个冬天，他到天津耀华中学递上饭盒里的500元说我干不动了，以后可能不能再捐了，这是我最后的一笔钱。老师们全哭了。他叫白方礼，一位已经离去的普通老人。今天是清明节，也请记住这位老人。[蜡烛]: 93岁老人捐35万助学款,老师们哭了。
近日，福建泉州，网曝福建农林大学安溪茶学院2023年春招现场，竟有企业招公主。这家企业是安溪五洲佳豪酒店管理有限公司，招聘的岗位有公主、主管等。4日，该校负责招聘会的老师表示审批时并没有该岗位，是企业私自带来的。当天老师现场发现后，马上让其撤销该岗位，目前企业已道歉，正在与学校沟通中。: 福建农林大学安溪茶学院招聘现场惊现企业招聘公主。
网上疯传的中国电科工作群聊天记录由清明节让加班开始，引起的怒气。: 中国电科工作群聊天记录引发清明节怒气
能在死人的悲痛上，产生惊人的创造力，我也真是服了！好吧，厉害！厉害！你们太厉害了！[弱]: 悲痛中的创造力,令人服了。
两年前，95后寿衣模特任赛男因被媒体报道，登上微博热搜第一，受到广泛关注。出圈后除了光环也带来困扰，网友有点赞的，也有说她阴气重的。清明节前夕，她坦言自己曾因害怕和恐慌躲到幕后，但现在想清楚了，决定坚持做自己，回馈一路帮助自己的人们，直播间里大家的理解和支持是最大的动力。: 95后寿衣模特任赛男,坚持做自己,回馈更多人。
启动。玉渊谭天@玉渊谭天: 启动玉渊谭天活动
面对超时加班，打工人终于爆发了！但结局是自己辞职，那两位经理岿然不动。这就是现实。真的勇士，敢于发声。: 经理超时加班致辞职,真勇士敢于发声。
6岁萌娃走丢主动求助警察，爸爸接到电话后愣了几秒，竟然笑出了声。: 萌娃求助警察,笑出声
父亲网吧暴揍网瘾孩子: 父亲网吧暴打网瘾孩子
中国电科成都员工大骂领导截图火遍全网: 成都电科员工大骂领导
近日，杭州，一位爸爸驾车800公里悄悄来到女儿上学的城市，装扮成玩偶为女儿庆生。女儿惊喜万分，事先不知情的妈妈也激动不已。（中青报）: 父亲装扮玩偶为女儿庆生,女儿惊喜万分。
不甘分手发私密视频给前女友朋友并敲诈前女友男子获刑8个月缓刑一年 4月4日，深圳市罗湖区人民检察院发布了一宗案件。郑某在一家旅行社工作，2018年9月，他结识了来旅游的单身女性阿靓，二人发展成了男女朋友。阿靓也将自己的一些朋友介绍给了郑某，方便他从事旅游业务。2019年，二人分手，互相删除微信好友。郑某分手后不甘心，也联系不上阿靓，于是把一段自己与阿靓的性爱视频发给了阿靓的朋友阿欣。愤怒的阿靓马上联系了郑某，郑某提出了要求，拿2万块钱来吧，不然我会把这些视频发给你的各个朋友。为了自己的视频不再外泄，阿靓向他转了2万块。2021年5月，郑某被抓获并认罪认罚，将钱退给了阿靓并恳请阿靓原谅。2021年9月，罗湖区检察院以涉嫌敲诈勒索罪，依法对郑某提起公诉。考虑到认罪认罚、被害人谅解等情节，事后法院以敲诈勒索罪判决郑某有期徒刑8个月，缓刑一年，并处罚金5000元。更多详细内容请查看原文: 分手后发视频敲诈前女友,缓刑一年。
网友这是目前我见到祭祖难度最高的: 祭祖难度最高
难！难！难！对别人来说难不难我不知道，反正以我现在挣得和消费来说，一辈子也挣不到一百万: 挣得和消费一辈子也挣不到一百万
80多岁的老母亲从山东只身一人来到边疆云南麻栗坡县，只为陪伴她牺牲的儿子张相华烈士，泪目向这位英雄的母亲致敬！旅行厨男: 老母亲为陪伴张相华烈士儿子牺牲,致敬旅行厨男。
5年前的自己现在的自己，当初那个颓废的人已经消失不见了呢！精彩视频: 颓废的人消失,曾经的自己,现在自己。
好奇新华书店靠什么在支撑: 新华书店靠什么支撑?
别问青春行不行直达迷笛营是要打仗了吗: 青春行不行,直达迷笛营?
女子酒后走一路喝一路结交不少朋友 4月3日，辽宁。视频拍摄者说，朋友酒后感觉没喝够，走了一路喝了一路，结果还交到不少朋友。网友我一直觉得我是社牛，直到看到这个视频: 女子酒驾结交朋友
女专家不畏生死带免费药进麻风村: 专家不畏生死带免费药进麻风村
一场交通事故，让重庆女孩黄琴的生命永远停留在了23岁。悲痛之际，家人决定捐献她的器官，希望她的生命以另外一种方式延续。4月2日，黄琴完成器官捐献手术，她将为两位器官衰竭患者带去生的希望，并为至少两名失明患者送去光明。（周静圆）黄琴，谢谢你曾来过！: 女孩黄琴捐献器官,为两器官衰竭患者带去生的希望。
愿我们挂念着的老人家都健康长寿，也愿我们心里始终存放好他们给的爱。你和爷爷奶奶、姥姥姥爷之间有什么温馨的回忆？: 祝福爷爷奶奶、姥姥姥爷健康长寿,期待他们的爱。
近日，山东。一小伙回学校抽血时，把护士难住了小伙两条胳膊上成片的文身让护士姐姐疑惑发问你这咋抽啊？小伙表示，这确实难为护士了网友考验技术的时候到了: 小伙抽血难住护士,网友考验技术。
4月1日，河北石家庄，女子喂猴子苹果时手机不慎掉落，当事人手机还没找到，给手机打电话猴子给挂了: 女子喂猴子苹果手机掉落,当事人挂了。
贵州高速回应来了！ 网友这才是真是为卡车司机着想的好领导，真希望全国都像贵州学习，正儿八经的为人民服务！: 贵州高速回应网友称赞
看得血压又飙升了！想死的没死，不该死的死了三个。值得吗？老天爷，你公平吗？: 血压飙升,想死的没死,不该死的三个值得吗?
通过举国机制搞大项目技术攻坚，这不是计划经济，而是统筹和项目管理。一些人一看到举国机制就条件反射开始无脑喷了，他们不知道市场经济模式下的统筹安排。很多人一听举国机制就和计划经济模式挂钩，就认为缺少创新，这是无知者无畏。比如一些人最喜欢跪的美国，就经常搞国家攻关。美国原子弹工程就在美国政府统筹下，动员了10万多人参加这一工程，历时3年，耗资20亿美元，于1945年7月16日成功地进行了世界上第一次核爆炸，并按计划制造出两颗实用的原子弹。在工程执行过程中，负责人格罗夫斯和奥本海默应用了系统工程的思路和方法，大大缩短了工程所耗时间。按市场经济模式，是没有人会给你造原子弹的所以美国政府通过资金投入，牵引业界投入，主要靠分工购买等搞好。美国登月计划也叫阿波罗工程，是美国从1961年到1972年从事的一系列载人登月飞行任务。美国于20世纪60年代至70年代初组织实施的载人登月工程，即阿波罗计划。先不讨论美国是不是真的登月这个问题，但是美国人通过航天投入，搞出、通信卫星、航天飞机等是实实在在的，这些都不是什么市场自发，而是美国政府统筹计划的。计划经济是连企业每个环节都安排，事无巨细都在宏观计划下的细分。但是新举国机制下，主要是国家先对产业链进行分析，然后找出薄弱环节，再对环节进行政府项目投资，要下军令状的，国企、民企和科研院所都可以参与，搞成的拿钱这种模式下走的是项目管理，是当前放之四海而皆准的通用玩法。这也和美国人现在的军工项目一样，搞招标和投资随便说一下，计算机、互联网和半导体等就是美国军工项目需求搞出来的，只不过后来发展到这么大超出所有人预料而已。通过项目统筹，类似有个站在高维的项目经理一样，可以通盘看到我们的优势和劣势，强项和短板，然后对短板进行有效的研发投资，护上马送一程。有些在过去新出产品很难有甲方愿意用，通过项目统筹安排就用了，少了市场对接的时间浪费，一早就锁定需求。而通过举国机制，还可以发动全国资源，让有能力的单位知道需求，让有需求的单位找到供应商，甚至协调一些资源重点投入，这是项目管理的高效率。另一方面，一些高智机构，以前在写什么过评级，现在给大项目攻关也可以评级，而且荣誉更大，类似我们两弹一星元勋，那绝对的吸引力更大。现在我们半导体产业链全面突破就是新的两弹一星，而且主要靠市场经济体制去吸引，有能力有兴趣的单位参与，最终作出有市场竞争力的产品就完成了项目任务，转入下一个大项目。实际上，这些类似一个个军工重点项目一样投资，取之于民、用之于民。: 举国机制下的项目统筹和项目管理,存在存在问题。
企业道歉、学校道歉，这就完了？这个事情的重点不应该是岗位低不低端，而应该是这家光明正大招公主，这不违法麽？建议严查！: 道歉事件重点指向岗位低不低端,光明正大招公主涉嫌违法,建议严查。
如果月入5000，每月存1000，需要84年如果月入，每月存6000，需要14年如果月入，每月存，需要7年你需要攒多少年？: 月入5000需14年,月入6000需7年,攒多少年?
想起昨天刷到张雪峰的一个视频，一位家长咨询如何才能进烟草局工作。眼看着张雪峰都快憋出内伤了，估计他不敢说太直白，公开的秘密都明白。: 张雪峰被家长质疑进烟草局工作
和平时期，公安队伍是牺牲最多的一支队伍。新中国成立以来，全国公安机关共有17万余名民警因公牺牲，其中3700余人被评为烈士2022年，308名民警和179名辅警因公牺牲。致敬，缅怀，奋进！: 公安机关17万民警因公牺牲,其中3700余人被评为烈士,2022年308名民警和179名辅警牺牲。
福建一校园招聘会疑似有公司招酒店公主校方回应后续会加强审核 4月4日，有网友在社交平台爆料称，福建农林大学安溪茶学院2023年校园春招招聘会上，一家名为安溪五洲佳豪酒店管理有限公司的企业疑似公开招聘公主。对此，安溪茶学院就业办郭老师表示，这家企业在审核环节向学校提交的相关岗位中并不包括公主。在招聘会进行时，学校老师发现这家企业私自添加了这一岗位，当时立即要求他们去除这一岗位或退出招聘会，他们选择了去除这一岗位。郭老师还表示，后续学校会加强审核工作，吃一堑长一智。4日，记者致电五洲佳豪酒店，该酒店工作人员称酒店内部主要招收餐饮业服务人员，相关确实在招募公主，并提供了公主招募负责人的私人联系方式。该负责人介绍公主工作主要为倒酒、陪客户喝酒、唱歌，当追问工作过程中是否会出现肢体接触，该负责人表示，喝多了酒难免会动手动脚，这个需要你自己把控。更多详细内容请查看原文: 福建农林大学校园招聘会疑似有公司招公主,校方加强审核。
