结局让人舒服！这精神状态进去不得尿检一下吗？: 精神状态需尿检
我不想上学艺术生兼职模特（厦门）: 不愿上学艺术生兼职模特(厦门)
气温回升，杨柳絮盛飞，不仅给人们的出行带来不变，而且遇到明火极易燃烧并迅速蔓延，由此也引发了火灾事故。漯漯用一组实验来告诉大家，杨柳絮点燃后到底有多可怕！戳视频: 漯漯实验杨柳絮引发火灾事故
男子当街对妻子动手，并且不服警察管教，警察迫不得已将其制服。: 男子当街殴打妻子
不穿好爽啊啊啊啊啊啊！: 穿着好爽,心情好。
没什么难的嘛，第一次拉水果糖就成功了，还挺好玩的呀拉丝糖果: 呀拉丝糖果好吃好玩
过去三个月完完全全没有跟任何男生打交道，上周出现了一个很合拍的男生，可惜时机完全不对，萍水相逢后相忘于江湖。还是觉得稍微被打乱了心态和步调，这两天调整心态重新入定: 遭遇合拍男生,调整心态。
开始准备亲签！这次特地为大家设计了新的签名款式，每个签名都会自带一只小狗！: 亲签新潮流,每个签名都会带一只小狗。
剪了刘海太古早味了很后悔: 后悔剪刘海
不理解就手链刮了一下: 误认为手链刮了
有人能理解广东这种看起来很清淡的米粉吗？看起来清汤寡水，米粉还是脆生生的有点弹牙，里面就只有炸蒜沫烫青菜牛肉片，但是特别好吃，就是很鲜，只要十几块。: 广东清淡的米粉好吃吗?
明天和意外哪个先来？奔驰幸免于难，看完法拉利的遭遇感觉心疼: 奔驰遭遇意外,心疼
附近肉店的听说我养了狗，就给了我一个根巨大的牛骨头，足足有9斤重（小金豆6斤），说可以带回去给小金豆吃这个骨头对半切开的大小差不多是一个小金豆脑子里现在已经有小金豆骑在骨头上狂啃的画面了我觉得下次有必要给看看小金豆的照片，我怀疑她觉得我养的是藏獒: 附近肉店收到9斤重牛骨,小金豆骑在骨头上狂啃。怀疑她认为我养藏獒。
苏州真美下次还来[报税]: 真美下次还来报税
不是一个阶层的人了，中了彩票了: 阶层的人中彩票了
鹅十三穗咯[干饭人][干饭人][干饭人]: 鹅十三穗,干饭人。
公司午休，侧睡那个一定要注意腰椎！有网友说侧睡小姐姐，一定要注意腰椎健康哦平躺健康，不容易有压纹我们偌大的公司，没一个地方给我放床垫: 午休时侧睡有风险,注意腰椎健康。
和小学一起出国的男生还在一起: 小学出国的男生还在一起
碧蓝档案163硬穿155衣服，真的勒死我了: 碧蓝档案163硬穿155衣服勒死我
想让你爸妈开心吗？想就带我回家。岳阳岳阳市南苑小区: 想让爸妈开心吗?岳阳岳阳市南苑小区。
大家好！不好意思没更新微博好久不见了大家好吗？？我很好樱花的季节好好春天: 期待更新微博
妻子瘫痪10年，丈夫为让她站起来故意落水，下秒奇迹发生，真是用心良苦啊！: 丈夫为让妻子站起来故意落水
你老爱笑，我总觉得超级快乐: 喜欢老爱笑,感觉超级快乐。
谁能想到前一天还撒谎说去找朋友半夜十二点线上教我游泳的人，第二天做飞机带着玫瑰花来到我身边果然，主动喜欢的最香: 做飞机送玫瑰,主动喜欢的最香。
你们知道宝宝出生后被医生抱走的神秘10分钟，经历了什么吗？让你逗我笑: 宝宝被医生抱走10分钟,经历了什么?让你逗我笑。
1967年人体冷冻实验真实影像，女子满脸笑容，期待复活的那一刻最初被冷冻的那一刻就冻死了，哪里还有什么复活！: 女子冷冻实验真实影像,期待复活的那一刻。
出门没关窗，是绝望的小脚丫[苦涩]: 出门未关窗的小脚丫[苦涩]
头和尾巴长的一样，以为摸的是头，结果是。。。: 误以为摸头结果是。。。
第一次去男朋友家，心里过不去这个坎！: 第一次去男朋友家,心里过不去这个坎。
东莞，1996盛义电子厂附近石梅村开发廊的女主人: 盛义电子厂附近开发廊的女主人
玩的倒是开心是真没什么照片香港: 泰国游开心,无照片香港。
懂了，所以以后遇到巴克特在身上绑51个枕头就没事了: 遇到巴克特,建议绑51个枕头
刚出生的婴儿长相像一个老头，据了解，小孩儿患有十分罕见的儿童早衰症。（科普新闻汇）: 婴儿长相像老头,患罕见早衰症。
你别说，小米打印出来的照片质感比明信片要好得多: 小米打印照片质感比明信片强
4月12日，广西外国语学院一名学生自曝学校强制要求学前教育专升本的学生到深圳实习，参与流水线工作。视频中，学校在大礼堂召开名为学前教育2024届专升本产教融合宣传发动大会，现场学生情绪激动，称自己是来学校学习的，不同意去流水线。12日记者联系了广西外国语学院，工作人员回应实习属于本科教学培养方案里面的实践实训课程，目的是实现产教融合，学生可以自己选择。记者通过学校官网查询到教育学院院长党总支书记曾于3月29日至31日到深圳博才教育集团走访调研，目的是通过校企合作的方式，让学生从学校到企业无缝对接。: 广西外国语学院强制学生到深圳实习,引发学生情绪激动。
三亚左一03大三在线: 三亚左一、大三在线。
椰子配福寿螺，吃完就上路亮眼: 椰子配福寿螺上路
我最近买了很多这种骚气衣服都是裆那里扣扣子的连体半身但是我矮别人穿露腰我穿裆那里垂下来一坨像挂了只腰还是不露然后就把扣子位置挪了一下扣多一点穿个低腰裤也给露了而且不用掖衣服非常平整感觉打开了新世界[耶]: 入手新款骚气衣服,裆扣扣子的连体半身,打开新世界。
鱼这辈子没有想到在水里会被车撞死: 鱼塘被车撞死,责任不明。
爸爸带娃躺在摩托车上面，下来时直接惊得一身冷汗: 爸爸带娃躺摩托车上
感谢大家的支持，澹台烬入梦版冥夜回上清神域继续守护和平啦，祝大家追剧愉快: 祝大家追剧愉快,澹台烬入梦版冥夜回上清神域。
雯生日快乐[小红花]祝你永远的18岁[音乐][蛋糕]大家来看看我的眼神这样行不刘诗雯@刘诗雯世界乒联@世界乒联国际乒联@国际乒联: 祝刘诗雯生日快乐
致敬老一辈革命者，上下五千年，是第一位真正把广大劳苦大众放在第一位的领袖！: 致敬革命领袖
高启强两次出狱的鲜明对比: 刘启强出狱对比
男生会喜欢这种女生吗？: 男生喜欢这种女生吗?
第二天该事迹会传遍全学校: 事迹会传遍学校
碎片感受到幸福的时候能放慢倍速就好: 碎片感受幸福,能放慢倍速。
如果你是淳贵人，你会如何自救？: 淳贵人自救术
第一次住酒店赠品很多很喜欢拿不完根本就拿不完: 第一次住酒店,拿不完的赠品
权志龙太阳大声同框合照啦！: 权志龙太阳同框合照
好像回到了妈妈的肚子里: 回到了妈妈的肚子里
十年了，希望下个十年还有你们。: 希望下个十年有你们
渣男。教你怎么穿短裙，手机放哪里: 渣男教你怎么穿短裙
哪个省艾滋病最严重各省艾滋病发病率排行: 艾滋病最严重省份排行榜
低调地晒一下我的证。: 低调晒证
女司机健康驾车需要掌握哪些技巧？: 健康驾车技巧介绍
专家称年轻人不生小孩是不对的: 北大教授:年轻人不生小孩不矛盾
坐扭扭车高考的张亮，站起来了瘫痪的小安琪，能骑自行车了独腿少年张庆宏，成了专业运动员排雷英雄杜富国，回到部队，也喜得贵子虽有缺陷，依然执着拼搏被苦痛吻过，仍报之以歌。感谢给我们力量，愿阳光环绕！: 张亮、张庆宏和杜富国的故事。
近日网友发文表示，华中师范大学图书馆文献信息服务岗招聘，税前月薪6000元，要求硕士以上学历，并且是非事业编制类岗位，让人难以理解。你如何看待这个情况？: 华中师范大学图书馆招聘硕士以上学历岗位引争议
专家建议有实力有担当的人多生孩子: 建议有实力有担当的人多生孩子
文青心目中，进藏过程越折腾自己，等级越高是吧？这要是锯下自己头盖骨做成嘎巴拉，让人一路踢着进藏，是不是就可以封文青之王了感动自己之前，建议先了解下能让文青们磕长头进藏的路是怎么修出来的: 建议了解能让文青磕长头进藏的路是怎么修成的。
专家说不生小孩是不对的，是我们不想要孩子吗？是不敢要孩子！工薪阶层从出生到大学毕业培养一个孩子已经不堪重负了，生孩子对于这一群人已经谈娃色变了，如果是男孩还要买房、买车、娶媳妇这笔钱在有些地方可以算得上天文数字了！: 不想要孩子,不想要工薪阶层。
网民4月3日在浙江省政府网站浙江省民呼我为统一平台留言反映，在杭州萧山区湘湖初级中学进行的萧山区高考体检男外科检查中，男生被要求脱去全部衣物，一丝不挂。然而询问上一届学长、西湖区等杭州其他地区的学生、萧山区的女生及上海等其他省市的学生后发现，他们在检查中均会留下贴身内裤，只有我们这一届的萧山区的男生需要脱去内裤。请问这是医生滥用职权，还是要求如此？如果是医生的问题，如何解决？如果是要求如此，为什么其他人不需要？我们被侵犯的个人隐私，需要一个交代。杭州市萧山区卫生健康局4月10日答复称，高招体检外科检查，每日安排两位男外科医师，现场设置一排靠背椅，要求男生入场后脱衣后进行外科检视，检查过程立正站立、上肢前伸握拳曲臂后上举，弯腰、下蹲，正常行走10步左右，穿衣离场。萧山区卫生健康局表示，体检中确实存在男生脱内裤受检的情况，该医院发现后立即改进，予以现场设置屏风，必要者进屏风去内裤裸检。该院向网民致以诚挚的歉意。该医院表示体检工作落实存在欠缺，会对此情况进一步讨论与处理，并做出改进。同时，也希望您能放下心结，集中精力学习，在高考中取得自己理想的成绩，希望理解。男生高考体检被要求脱内裤？杭州萧山卫健局医院致歉，立即改进: 杭州萧山卫健局就男生被要求脱内裤事件致歉并要求改进体检工作。
冷知识全球只有这里有调休，全球也只有这里有买房公摊面积。没关系，我爱中国，生育率会给出答案: 全球只有买房公摊面积,中国生育率问题待解。
在淄博必须让你吃完再走: 淄博规定必须让你吃完再走
震惊全场。网友扔掉双拐的那一刻，他在闪闪发光！人民视频@人民视频人民视频: 网友扔双拐时闪闪发光
西安一男子爱猫成痴养了近两百只猫咪，其中128只布偶猫都叫咪咪，而其他品种的猫咪也有将近50只。这些猫有些是收养的，有些是别人送的。为了照顾这些猫咪，该男子还雇佣了4个管理员，四人轮班24小时照顾猫咪，这就导致该男子每月在猫咪身上要花费数十万元。: 男子爱猫成痴,养近两百只猫咪,每月花费数十万元。
席卷[苦涩]，北方吃土，南方发霉干燥和潮湿你更能接受哪个[裂开]: 北方吃土,南方发霉,你接受哪个[裂开]
阿在学习恶臭引流短视频文化上进步很快: 学习恶臭引流短视频文化,进步迅速。
我为什么要坚持死磕住不公正的判决？为什么尽最大努力让冤案胎死腹中？道理和今天一位网友说的一样因为个例，听起来数量稀少，并不重要。但个例是一扇窗，是一只手，会悄悄掀起厚重幕布的一角，露出零星平时无以得见的真相。不向不公正的个案低头需要每个人的努力。澳大利亚月神公园: 不向不公正的个案低头,需要努力。
看了看，评论基本都是赞同，感觉国人都是明事理的人，好好对待国宝，我们是非常乐意续租的，而且缩短续租年限是正确的，同时完善租借条款，确保国宝健康安全，不能是租出去了，就不管了，毕竟不是把孩子们送给他们了，还要给在外打工的孩子们多一些关注和关爱，千万不要有虐待熊猫的行为，一旦发现，可立刻终止合同收回熊猫，并永远不再租借熊猫给该国。: 呼吁好好对待国宝,缩短租借年限,确保国宝健康安全。
穷人绝后。大户人家多子多孙，旁系子孙沦落成新的穷人。古时候就是这样的，很多人都能找到名人祖先，因为普通人根本传不了这么多代。富不过三代，没有永久的富贵。穷不过五代，穷人最多五代绝后。: 富不过三代,没有永久的富贵,穷人最多五代绝后。
00后网红马若松遭遇车祸身亡，居民称他很阳光。4月10日，众多网友发文悼念宁夏吴忠网红马若松，称其在4月9日的一场车祸中不幸身亡。11日，多名当地居民向媒体确认了这一消息，有居民表示，他是一个很阳光的男孩。当地交警表示，事故还在处理中。事发现场照片显示，一辆摩托车横躺在地面上，车身损毁严重，漏了一地油，地面有一个白色的头盔。据政府消息，马若松作为本土网红，曾参与拍摄了12期警方的反电信诈骗短视频，短视频用同心方言演绎，语言风趣幽默，通俗易懂。: 马若松遇车祸身亡,居民称他很阳光。
4月12日，21岁宁夏网红马若松遭遇车祸身亡冲上热搜引发关注。对此，马若松父亲在社交平台发文回应称，目前还未接到县交通队的处理结果。网上的不实言论和猜测对于刚刚遭受创伤的家人是又一次网暴，我的孩子已经没了，不要给他泼脏水，逝者为大，希望大家能够尊重一下逝世的人。: 马若松父亲回应车祸身亡事件
他拍的视频主要以搞笑为主，带给我们很多欢乐，而且他与消防警察联合拍了许多许多反诈宣传片，而且现在事故还没有定责，请大家嘴下留情: 搞笑反诈宣传片,呼吁嘴下留情。
天天在这明知故问，为什么不生你们不是心知肚明吗？现在已经不是不想生小孩了，结婚都成问题了。专家天天打嘴炮催生，但年轻人已经不是傻子了。: 年轻人不再傻子
今天是魏则西去世七周年的日子。永远不要忘记百度竞价排名医疗广告做的恶。[蜡烛]: 魏则西去世,不要忘记百度竞价排名医疗广告的恶。
孩子们的笑容是最好的力量，跟他们在一起我也找到了更纯粹更简单的快乐，也给了我把亮计划坚持做下去的动力。未来不仅是罕见病，还希望跟有爱的伙伴们一起，帮助到更多需要帮助的人，共同点亮更美好的世界，传递更多的温暖与希望。最后，希望大家每天都能快乐罕罕漫游@罕罕漫游罕见病信息网@罕见病信息网: 期待与有爱的伙伴们一起点亮更美好的世界,希望大家每天都能快乐罕罕漫游。
闲聊西班牙，推广韭菜盒子的微博直播: 推广韭菜盒子子的微博直播
接着上条微博再补充几句。这个专家说，子女是长周期耐用消费品，他的价值超过你购买其他消费品的价值。虽然这话听着有点粗糙，但是道理基本是这么一个道理。简而言之，从经济逻辑角度来讲，本质上属于养儿防老的问题。不过，这个专家只说对了一半。因为目前的养老制度，属于大锅饭型养老制度，即把全社会所有的年轻人都集中起来，让他们每个月交钱，然后把他们交的钱集中到一起，供同一时期所有的老年人支取。在这种情况下，如果有人多生孩子，但有人不生孩子，则相当于生孩子的人在给不生孩子的人养老。对于生孩子的人来讲，他确实是生了一个长周期耐用消费品，如果教育的好的话，可能投资回报率相当高。但是，这个投资回报并不是给了投资者，而是分摊给了一些没投资的人。当过家长的朋友应该知道，生孩子和养孩子非常非常辛苦。如果你想把一个孩子培养成才，更是难上加难。如果你前期花费了巨大的投资付出，最后投资收益却被那些没付出的人分摊走了，谁还愿意投资呢？所以，目前的问题，本质上不是子女是否属于投资回报品的问题，而是整个社会的投资回报逻辑架构，存在很大的问题。当投资回报架构存在很大偏差时，身处其中的个体当然不想自己生孩子，辛苦投资，而是想着去蹭别人的投资红利。如果对此存疑的话，大家可以去问那些坚决不想生孩子的人，说难道你们不怕年老后的养老问题吗？我相信可能得到的答案是，不怕，因为自己有养老保险，大不了请护工。他们会认为，在目前政府主导的大锅饭制度下，政府当然要解决自己的养老问题。如果政府搞延迟退休，他们会非常不满意。如果到时候请不到护工，他们也会非常不满意。但历史证明，大锅饭制度没法长久。最终，大家要打破大锅饭，逐步从公共养老制度，走向个人养老制度。: 养老制度存在投资回报架构,子女不作为,投资回报率低。建议打破大锅饭型养老制度。
一直以来，花季少年自杀的消息隔三差五传出，让大家非常震惊。我有一个12岁的女儿，看到这些新闻，我心里非常难受。看了他们留下的一些遗言，说生活里只有被迫的学习，没有任何乐趣，活着没有任何意义。我理解这种痛苦，他们承受了巨大的外卷压力，内在的支撑却是零。人类的进化告诉我们，为了减少耗能，大脑会让只看近处的眼睛变成近视，省去睫状肌调节焦距的麻烦因为教育上的急功近利，大脑会让人们短视，迷失方向，彻底失去远见。我很遗憾——家长没有帮助孩子找到自我，陷入了盲目的外卷我更痛心这些花季少年，还没来得及启动内驱的引擎，就在外卷的洪流中丧生最近读了一本书《像树一样自由》，每个人都应该做一棵树，这个比喻我非常认同。因为树有根，知道自己要长成什么样子。它在泥里扎根，努力生长。不像浮萍，随波逐流，不知道自己是谁，也不知道要去往何方。只有知道自己朝什么方向生长，外界的一切才有了意义。阳光雨露、施肥除虫才是滋养，雷电交加、狂风暴雨才是磨练，树的生命才真正拥有了自由。我常鼓励女儿，要为自己的兴趣而读书，为有能力帮助他人而努力，这样我们的学习才有价值和动力。因为我自己就是这样过来的。很多人都知道，我是一个遭遇过医闹伤害，经历过生死的人很多人也纳闷，为什么我没有心理阴影，康复没多久就投入工作，每天忙得不亦乐乎。我说，当你到过银河系的边缘，就不会允许自己的世界只有月亮。因为我始终有一个远大的理想天下无盲，催着我站起来，继续向前走。所谓理想，就是你可能一生都无法实现，但每分每秒都能从身体里产生能量，激发你去努力的那个目标。幸运的是，我从小就是一个目标感很强的孩子。熟悉我的朋友都知道，我很小就想当医生。因为七岁那年我陪妈妈去省城看眼睛，亲眼看到眼科医生用一根长长的针，从妈妈的眼皮下挑出一颗一颗白色的小沙粒，足足有一盘子之多。从那以后，妈妈的眼睛就不疼了，这让我觉得眼科医生非常厉害。我又爱看武侠小说，很多书里都有一位神医，武功再厉害的大侠受伤中毒，都得去找神医来治疗，这更加让我觉得，医生是全世界最厉害的人。所以对我来说，学习虽然辛苦，但并不是苦修，而是修炼。每一天我都离成为医生更近一点，每一天都变得更厉害一点，就像游戏里的打怪升级一样，充满乐趣和成就感。在从北大博士毕业后的十年里，我保持着打怪升级的动力和激情，连续破格提升，37岁就成为了主任医师、教授、博士生导师，早早实现了职业身份的大满贯。回头看时，很难说清，究竟是我有做医生的天赋，还是我从医的理想特别坚定，所以让我走得比同龄人更快、更稳一些。或许我小时候，确实是一棵适合从医的小树苗，又机缘巧合得到了及时的启蒙和滋养，最终顺利地走上了这条道路。每个孩子，都是一棵不一样的小树苗。从出生到8岁左右，孩子的自我意识逐渐明朗，天性、天赋、兴趣逐渐清晰。只有和一起，认清自我，你一切的培养才有方向，不至于拔苗助长。充分尊重孩子的本来面目，让孩子的天赋和兴趣自由发展，你才能拥有一个对世界充满好奇、对学习充满兴趣、自信坚强的孩子。在这里，还想跟家长朋友们分享两点第一，要让孩子明白，父母的爱是无条件的。不能让孩子觉得只有自己做对了，考试得了好成绩，才能像赢得奖励一样赢得父母的爱。这样的孩子一定是不自信的，容易被挫折打垮的第二，尊重孩子的本来面目，不等于完全放任孩子。我们要给他适合的管教和引导，根据他是什么树苗，做定制化的修剪、施肥，既要给他阳光雨露，也要让他经历狂风大雨，增强他的韧性。与其外卷，不如内驱。希望新闻里的悲剧不再上演，也希望所有家长都能明白，让孩子赢在起点的不是成绩，是你的思考和孩子的远见。我是陶勇，为远见点赞。: 13岁花季少年自杀,因学习压力大,渴望成为更好的自己。
居安思危、防范于未然、有备无患这些说话犹如老生常谈，人人懂得怎样说，但真的要做得好做得全面，就要靠大家帮手。香港九龙城的潑水节事件，从种种迹象及视频综合来看，就是一班黄丝死灰復燃的迹象。这些绝对不是一件小事，这些踩底线的行为，只会越来越猖狂，原来越埋身绝对不可纵容。从昨天的视频来说，这些将水泼向工作当中的警务人员，根本就是在袭击警务人。将水向采访当中的记者及器材，根本就是袭击扭打及刑事毁坏。有些人就是喜爱挑战法律，那么我们便应该用法律告诉他们什么才是应该做的。警惕睡火山屈穎妍剛過去的星期日是泰國潑水節，我們在電視新聞看到好多本地泰國人及香港市民，在泰國店舖林立的九龍城拿着水槍四處噴水玩個不亦樂乎。然而，鏡頭背後，原來有幾幕黑暴潑水版，竟然完全沒有人報道及注意。事緣一個網名的人在上載了一段視頻，拍攝內容是潑水節當天，一班叫香港新秩序的團夥，在九龍城潑水活動的現場向警察及記者惡意狙擊的片段。是的，絕對是惡意，影片所見，幾個男人領着一群小孩，拿着大小水槍，追着執勤中維持秩序的警員，直接把水近距離射向他們的頭、臉、手、腳，而且是追着圍攻。他們又向記者及攝影師貼面噴水，還把水槍朝記者衣領、背包內射，更追着他們的攝影器材、咪高峰等工具猛噴水，還得意地說個好惡咁叫我唔好玩嘢，睬佢都傻，越唔畀越要玩。視頻左上角一直有個標題，就是7，由此可見，他們是假潑水，真搞事。香港法律中，有公安條例第17條公眾地方擾亂秩序行為，亦有刑事罪行條例第9條《煽動罪》，裏面提及公眾地方行為不檢引起他人起哄追隨，及令大眾藐視執法機構，其實都是罪。那些片段，有樣貌有頻道有跡可尋，他們不單把自己的罪證放上網，還把事情擺上社交平台對執法者及新聞工作者進行二次凌辱。如果這樣肆無忌憚作惡都沒有代價，將來每一次潑水節、嘉年華、馬拉松他們都可以用玩吓啫來做掩飾，對執法者及他們不喜歡的媒體進行欺凌侮辱。誰敢擔保，他們的水槍下次裝的不是水，而是其他東西？很多人說，黑暴消退了，香港如今太平了，所以大家不應再緊張兮兮。我覺得，大家應該面對現實，暴亂可以一招了，但仇恨可以嗎？黑勢力其實就像睡火山，只是沉寂了、裝睡了，只要有點火頭、有些機會，他們就會捲土重來。正如今次在潑水節惡意狙擊警察及記者的那班人，他們在曾以香港新秩序的牌頭，配以黑社會電影《古惑仔》主題曲，拍下自己四處撩事、蝦蝦霸霸的視頻。這種風氣不管、這種人不教訓，就是丟落睡火山的一把火，再爆，又將一發不可收拾。妍之有理警惕睡火山屈穎妍: 警员枪杀警员,揭露香港警队暴力行径。
