机场航站楼门口偶遇鞠婧祎鞠婧祎这腰比我腿都细本人真的好美！！: 机场偶遇鞠婧祎
人和人的差距，其实远比你想象的小。: 和人的差距其实远比你想象的小
女性凝视: 凝视新闻·凝视
趋势引力: 2014年2月25日早间财经要闻一览
微微一胖很倾城！[兔子][兔子]: 微微一胖很倾城
正在热映。: 正在热映,正在进行中
春节期间也是抑郁症爆发期: 春节期间也是抑郁症爆发期
提前过元宵，小宋老师来给大家出个灯谜！谜面是元宵[元宵]，谜底是: 小宋老师来给大家出个灯谜
，遗物发现隐藏20年的善举】据星视频@星视频报道近日，安徽蚌埠。48岁宋文武老师因脑溢血去世，天南海北的学生们纷纷赶到灵堂前进行吊唁，有的甚至从几千公里外赶来。妻子和亲友不解，大伙知道他生前是个好老师，但没想到会有这么多人。直到最近，妻子徐进芳整理丈夫遗物时，才发现了他作为宋爸的身份。原来宋文武一直用投稿的稿费和班主任津贴资助学生，为了不让同学们有压力，这个秘密他一直没有对外公开。前同事称他在2004年就知道老宋在资助学生，到现在已经坚持了20年。星视频: 【宋文武老师去世
肌肉大哥的最新动态，没看懂[喵喵]: 肌肉大哥最新动态
搞笑幽默: 搞笑新闻:2013年2月25日电视纪录片看点央视新闻联播
《好涨》: 《涨姿势》第43期:涨姿势
《揪了揪衣角》《但擦了擦手》别太好笑: 《但擦了擦手》
，希望大家冬至快乐身体健康。我那时候讲错也没有人纠正我，还一起那么开心，笑死我啦: 冬至快乐身体健康
额头放血疗法[笑]: 额头放血疗法
男子被方向盘绞断手指，向4店索要赔偿4店借你两万其他没门。合资车就是好，配置真好，方向盘都是自动的！可以卖给电影公司用它来拍鬼片比较合适山不转水转，水不转人转，人不转方向盘转。丰田好，丰田妙，丰田还会摆摆摇: 方向盘绞断索赔4店
把工资转给妈妈，她却这样说: 工资转给妈妈
日常碎片: 中国新闻周刊2013年第43期上线
六年啦希望和东哥再走十个六年到老了还在台上给大家说相声相声小奶东上台鞠躬（东哥还是少喝点酒保重身体争取跟我一样长瘦他现在还在睡觉祝金东的包袱跟东哥的呼噜声一样山崩地裂[笑]）: 希望和东哥再走十年
本期庄达菲要一直努力@庄达菲要一直努力和丢火车乐队@丢火车乐队合作舞台《带你去找夜生活》适配度满分听着听着就想跟着蹦起来了，现场燃到让人不禁感叹这不就是现场吗！希望未来看到更多小庄和丢火车乐队的合作舞台。: 小庄和丢火车乐队合作舞台
让一段恋爱更甜蜜的方法！！！[][][]: 恋爱更甜蜜的方法
哈哈哈哈哈库里很激动[笑]: 库里很激动
萌兔闹元宵: 萌兔闹元宵
有船吗: 船上的中国(上)
童心泛滥，人家还是个孩子: 心心泛滥,人家还是个孩子
朱一龙2023前路灿灿: 一龙2023前路灿灿
？独家揭明星级妆前步骤，让皮肤细腻透亮有光泽，打造好原生美底妆基础，戳视频: 明星级妆前步骤
被骗了这么多年原来某知名主播君克瑞雯不会玩瑞雯锐神瑞雯视频中他说的46分指的是，我一个人来某鱼直播，他还要分我4成，因为他当时跟我说的某牙那边不播了，然后权利辅助我这边，然后导观众过来什么的，当时也确实发了朋友圈啥的，某音账号也给我了，但是第二天他还是直播了又找了个人，我这边就一个人直播嘛，然后他还想分4成，本来就几千块钱，然后我跟他说以后做起来给他，现在几千块钱我都生活不了了！: 君克瑞雯不会玩瑞雯锐神瑞雯视频
灯闪烁，汤圆甜，歌声温暖，庆贺团圆！卡布叻周深@卡布叻周深祝大家平安喜乐新一年！: 卡布<unk>周深祝大家平安喜乐新一年
今天上午去最高法院申诉，对申诉难感触颇多。我要专门写一篇批判最高法院刑事申诉212窗口法官的文章，要求当事人自证无罪，这根本不是刑事法官的思维方式。北京最高人民法院人民来访接待室申诉立案大厅: 最高法人民来访接待室申诉立案大厅
祝大家元宵节快乐，团团圆圆[团圆兔]，好运连连！记得吃汤圆噢！: 元宵节快乐
（蚌埠日报封面新闻）封面新闻: 蚌埠日报封面新闻
考古俊凯然后被他乐死是我的命运我了解: 考古俊凯然后被他乐死是我的命运
天啊这个眉眼真的是仙品: 这个眉眼真的是仙品
封建社会里的中国女人们曾经遭遇过什么？在幼女时代，被一根根布条禁锢住双脚，被折磨得筋挛骨折。这就是所谓的三寸金莲，一直到建国前才被彻底废止。以下内容真实又残忍，揭示旧社会中汉族女性的心酸残酷史。高疼预警，文中包含多张真实残忍照片三寸金莲旧社会女性的肉刑，骨损肉烂才能完成: 三寸金莲旧社会女性的肉刑
他是我爸，我很伤心】2月6日，据港媒报道，一名女子坐在旺角街头，身旁摆上一个写着卖身葬父字眼的字牌并索价30万。而她摆放的父亲照片，被网友扒出是《狂飙》导演徐纪周的照片，该图早在2010年就出现在新闻报道上。该女子混杂普通话英语及韩语叫喊，直至路人声称要报警，她才匆匆离开现场。九派新闻: 徐纪周被曝卖身葬父照片
不愧是傅诗淇的女人！都不会自拍[笑][笑]: 傅诗淇不会自拍
杨紫这张杂志拍的咋样: 紫紫这张杂志拍的咋样
现在娘家揪着不放】2月6日，云南昭通。一则新郎的前女友团拉横幅迎接两位新人的视频引发热议。视频显示，横幅标语为我们是陈某前女友团队，今天我们一定把你搞报废。新郎陈先生称，视频中的前女友是真的，以前是自己年轻不懂事，谈了很多女朋友，对不住很多人。现在她们把事情闹得特别大，妻子也翻脸了，娘家揪着不放想让自己给个说法，目前自己在想办法解决这件事情。陈先生也表示大家不要像他一样，免得日后很难抬头做人。昭通: 昭通新郎前女友团拉横幅迎接新人
做作男孩香港: 作男孩香港
旧社会里有个特殊职业奶妈。很多人想不到做为产奶工具的她们究竟会遭遇什么。不但有家难回，有子难养，还要冒着被雇主侮辱利用的风险，甚至遭遇喂完小的喂老的荒唐事儿。点击下方图片了解旧社会对于底层妇女的压迫。旧社会被压迫的奶妈为了赚钱，究竟会遭遇什么？: 旧社会被压迫的奶妈
和女朋友第一次(细节版): 女友第一次(细节版)
祝大家团团圆圆，元宵节快乐: 元宵佳节快乐
家乡美食探店: 家乡美食探店
痛心疾首！河北一女子顺产后第一眼看到自己的孩子，当场气哭了！新生儿畸形成这样还能变回去吗？怀胎十月满心期待，没想天公不作美，原以为会是个漂亮宝宝，生出来后看到的孩子却是这个样子。摊上这样的事不管是哪个女人恐怕都无法淡定。还是第一次见到这种头型的新生儿，这不一活脱脱的大冬瓜吗，这么离谱的头型难道是顺产时被挤压的？若是被挤压的也不至于这么离谱吧？真是替孩子妈捉急，大伙见识过这样的宝宝吗，这还能恢复过来吗？: 新生儿畸形成这样还能变回去吗
这不就是欺负老实人嘛！: 欺负老实人嘛!
】美国计划从2月起与韩国举行使用延伸威慑手段，即涉及核武器使用的兵棋推演和其他演习。朝鲜外务省发言人2日发表谈话称，朝方将按照以正面对抗回答正面对抗的原则，超强回应美国的一切军事企图: 朝鲜外务省:超强回应美国的一切军事企图
大龄剩男真别太急，男人越老越吃香，到时候别人都是二婚了，你还是头婚，她们排队找你。: 剩男别太急
吃夜宵了[赢牛奶]年183白羊: 年夜宵了[赢牛奶]年183白羊
好看的衣服开启一年的好心情: 看衣服开启一年好心情
罗云熙，人群中，罗云熙这颜值真是绝了，三庭五眼，跟周围素人对比十分明显: 组图:#罗云熙#颜值爆表
发发图版: 图看世界·一张图看懂世界
元宵节快乐[兔子]大家都吃了什么馅儿的汤圆呀: 宵节快乐
，50秒高燃混剪，带你感受国之重器的魅力央视军事: 50秒高燃混剪,感受国之重器的魅力
每天一点负能量有效治疗低血压[]: 一点负能量有效治疗低血压
国家捐了就是我捐了，除此之外，我不会给土耳其捐一分钱。: 不给土耳其捐一分钱
树大根深: 树大根深
眨眨眼陈正: 眨眨眼陈正
因为此前彭大爷给社区做事，社区都支付了相应报酬，因此应该用以往双方的交易习惯认定为雇佣关系，但彭大爷自身也负有安全责任，可以减轻社区的部分责任。: 彭大爷给社区做事,社区都支付了相应报酬
和鬼子拼刺刀没有那么多套式，就是一刀刺过去，刺不中，就赶紧从鬼子身边冲过去。要是鬼子先出手，就等他的刺刀刺过来时再躲开，或者根本就不躲，直接反刺过去。大多时候，我们就是这种以命换命的方式弥补刺杀技术不足。在夜战中，我们有一种突击队叫点灯，突击队与超出他们数倍的敌人交火，只为炮兵能准确定位。一仗下来，就剩不下几个人了战斗打响前，老兵们一根接一根的抽烟，新兵们不明白那烟有什么好抽的？一仗下来，到了晚上，阵地上到处都是尸臭味老兵会给新兵烟抽，还不停地唠叨，因为那样才能证明他们还活着。川军打仗最不要命，他们有一句相同的口号国存我死，鬼子最怕喊出这句口号的队伍，因为，鬼子知道，这些人会抱着炸药包，发起无数次的亡命攻击。很多战士，连鬼子的面都见过就死在炮火中了，很多人死得时候，身上没有伤痕，但当抬走他们的遗体时，有些遗体的口鼻，会忽然流出黑色的血。后来我们才知道，这是被炮弹震死的。我是炮兵，人家问我打死过多少鬼子？我真的不知道，我一个口令下去，将近两百发炮弹就打出去了。我们上午打一次，下午再打一次，这几百发炮弹肯定会炸死一些，至于能炸死多少鬼子？我就不知道了。战友们都说炮弹打的太少了，都想不停地打我们团长问让你们去死，你们怕不怕！不怕！不是我一个在吼，大家都在吼，都是十来岁十七八岁的新兵。我们团长又问为什么不怕？我们要保卫我们的国家！我们保卫我们的国家（呜哭泣），我一想起这些事情（哭泣）我的大哥二哥三哥战场上，只要看到我们的旗帜，都会拼命向前冲，哪怕那旗帜已经千疮百孔，我们人可以倒下，绝不会让我们的旗帜倒下。我们相信总有一天，我们的旗帜会插遍中华大地。阵地上，你留一个耳朵，他留一只胳膊，我留一只脚，还有许多残肢断骨，我们合葬在一起，十八年后，又是一条好汉，只要祖国需要，还会拿起枪抗战老兵自述: 解放军报:川军打仗最不要命
兄弟俩各有孩子后堵墙分家防止矛盾: 兄弟俩各有孩子后堵墙分家防止矛盾
李晨官方身高180，蔡徐坤官方身高184，可两人站在一起画面有点诡异，谁能解释这是怎么回事。: 晨晨官方身高180,蔡徐坤官方身高184,可两人站在一起画面有点诡异
别太漂亮了兰: 兰蔻
其实现在一堆家长这样想: 现在一堆家长这样想
南京欢乐谷[送花花]: 欢乐谷[送花花]
元宵节快乐！！！祝大家！新的一年都可以像汤圆一样！白白胖胖: 新的一年都可以像汤圆
深圳嫁温州娘家在深圳所以从老公家开的民宿出嫁到新房民宿真的太出片[哇]欢迎大家来玩有羊驼柯尔鸭世界上最大的鸡梵天鸡猫猫还有我家凡子可以蹦床游泳露营围炉煮茶[平阳岭根山水间]温州平阳岭根山水间民宿温州平阳岭根山水间民宿: 温州平阳岭根山水间民宿
灵魂相投契的我们: 灵魂相投契的我们
受地震影响，土耳其马拉蒂亚省一家疗养院为避免余震伤害，将所有居民撤到外面的空地上。这天气！这穿着！避开了地震，却受伤于寒冷天气。: 避开了地震,却受伤于寒冷天气
大象军事两姐弟在叙利亚伊德利卜乡下26小时后被发现还活着。文明世界正在蓄意破坏叙利亚人民在昨天地震后迫切需要的所有援助任务。现在解除制裁！！: 文明世界正在蓄意破坏叙利亚人民在昨天地震后迫切需要的所有援助任务
医院会有相应处罚[话筒]】据拇指视频@拇指视频报道2月7日，浙江杭州。女子称在医院窗口取药时工作人员手机放在一旁追剧。拍摄者徐女士称，早上9点多去取药她就在追剧，手机一直在放电视剧。对此，医院工作人员回应称，上班时间看手机是不应该的，反馈核实后会有相应处罚。拇指视频: 医院窗口取药时工作人员手机放在一旁追剧
陆毅家的贝儿今年14岁一家子的腿也太逆天了: 毅家贝儿14岁一家子的腿也太逆天了
电影《狙击之王暗杀》爱吃甜品的杨杏好爱，尤其是穿女仆装还有红色吊带: 《狙击之王暗杀》爱吃甜品的杨杏好爱
微博幽默年度大赏: 微博微博年度大赏
虽然知道您回不来了，但是我还是天天这么幻想，万一呢？: 回不来了,但我还是天天这么幻想
我是直男，只给女的看[伤心]: 直男只给女的看[伤心]
关爱流浪动物: 关爱流浪动物
过个元宵: 元宵节,一起吃元宵
生过孩子能接受吗？我谈了一个女朋友，我们恋爱了一年，我去她家正式拜访，没想到她父亲酒后说漏了一句话，后来我调查了一番，发现了女友一个惊天秘密。我很纠结，要不要和她分手。我今年28岁，在一家工厂做货车司机，月薪6500元。我的老家是农村的，家里祖祖辈辈都是农民，小时候因为家里穷，所以我只有初中文化，现在只能靠做苦力来挣钱。一年前，我认识了我的女友小妍，小妍是我们厂里的财务，由于工作的原因我们接触的比较频繁，最后慢慢的产生了感情，所以就在一起了。小妍今年26岁，长的比较漂亮，165的身高加上大大的眼睛，可谓是人见人爱，说实话，我也是被她的美貌深深的吸引了。小妍跟我是一个省的，虽然不是同一个城市，但也能算的上是半个老乡。交往后我才了解到，小妍的家庭条件也不是很好，中专毕业后就出来打工，而且还要供她的弟弟读书，这么多年根本就没有存到什么钱，好在现在她弟弟大学毕业了，也有了自己的工作，这样小妍的压力也就没有那么大了。我和她在一起后，我发现她别的花销倒是不大，就是爱买衣服化妆品，可以说，她的工资基本上都是用在了这方面，就连我给她送礼物，她也全部是要求买的护肤品。我也理解，她这么漂亮，爱保养是肯定的，我应该支持。我跟小妍交往了一年，我提出去她老家拜访一下她的父母，看看他们对我的印象怎么样，如果没有意见的话，再去我家里。我给她父母买了许多礼物，还给她弟弟买了一台最新款的苹果手机，可谓是下了血本了。她的父母见了我都非常高兴，我把手机给了他弟弟，他弟弟高兴的连忙叫上了姐夫。得到了他们的认可，我觉得我这些钱花的比较值得。小妍的父母知道我要来，提前就准备了很多菜。我也打算趁此机会陪着将来的岳父喝上几杯。餐桌上，我拿出了提前准备的五粮液，跟准岳父几杯下肚后，两人都有点飘了，准岳父说话也开始打结了。接下来准岳父说了一句话，我吓呆了，他说你比以前的那个男人优秀多了。听到准岳父这样说，我立马就清醒了过来，我连忙问道叔！你说的那个人指的是谁啊！准岳父知道自己无意间说错了话，眼神开始四处闪躲，他说哦！以前小妍的姑妈给他介绍了一个男朋友，但是小妍没有同意。既然准岳父这样说了，我也不好再继续追问。心想，小妍长的这么漂亮，交过男朋友也不为过，可我想到她父亲的话，当天晚上我想了一夜都睡不着，我觉得我应该了解清楚，就算她我不是他的第一个男人，我也要弄清楚她交过几个男朋友。第二天一早，我趁着她父母出门，我赶紧向小妍问起了这事，我谎称她父亲已经把所以事都告诉我了，我想让你亲口告诉我。果然这招很有效果，小妍听后吞吞吐吐的说既然你都知道了，也没必要再来问我了吧。其实我更本就不知道，只是故意这样套她的话，没想到她还真的有事瞒着我。我连忙追问，我说你们在一起几年？都经历过什么事？小妍说那个男人是我的初恋，那时候我才刚好20出头，太单纯了，根本不懂得社会险恶。我跟他在一起有两年的时间，在一起半年后，我就意外怀孕了，我无知的以为这是真爱，所以才答应他把这个孩子生下来。可是在孩子刚满月的时候，我就发现了他在外面有女人，我一气之下就离开了他，孩子我也留给了他。听了小妍的话，我犹如晴天霹雳，我本想试探一下她交过几个男朋友，可竟然没想到她还生过孩子。我可以接受她不是初女，但是她生过孩子这事，我真的是接受不了。可是我跟她有了深厚的感情，难道我要因为这件事而离开她吗？你们觉得我是继续跟她在一起？还是跟她分手呢？: 我和准岳父恋爱一年
韩国网友们等待播出的中国电视剧: 网友等待播出的中国电视剧
运动搭，舒适好看: 搭搭舒适好看
正确的客观的一针见血的: 正确客观的一针见血的观点
这小哥哥感觉有点无语了。: 小哥哥感觉有点无语
蓝色系和小姐姐的气质好配: 蓝色系和小姐姐的气质好配
你有没有试过把奶油放到平底锅里炒一炒[哆啦梦吃惊][哆啦梦吃惊][哆啦梦吃惊][哆啦梦吃惊][哆啦梦吃惊]: 深夜mo毒——奶油奶油
馬天宇@馬天宇发布最新大理旅游随拍，与夕阳和洱海同框的马老师少年感满满，鹅想尝尝草莓甜不甜: 大理旅游随拍
还记得那一年赵丽颖高调官宣跟我在一起的日子: 还记得那一年赵丽颖高调官宣跟我在一起的日子
】近日，浙江嘉兴，25岁男子郝某酒驾撞车后逃逸，交警队民警很快找上门，郝某家属试图用孩子还小为理由为其辩解。经呼气式酒精检测，郝某体内酒精含量为，已涉嫌醉酒驾驶机动车。目前，案件在进一步办理中。嘉兴公安@嘉兴公安嘉兴公安: 嘉兴25岁男子酒驾撞车后逃逸
成员，两位妹妹好漂亮[哇]: 组图:#香港购物#
谈谈我比较在意的动画，2351动画确实变了一些，返回时活泼了一点，相机返回动画也不卡了，从22换过来能明显感知这些进步。（会有卡顿）冰宇宙: 比较在意的动画2351动画
请问谁有高启强这样的大哥？麻烦介绍认识一下，我想做你嫂子，很温柔的那种: 谁有高启强这样的大哥?
戳我添加微信没有中间商赚差价，顺丰冷链直送次日达你家。各种野生海鲜人均50，你想吃点都有: 顺丰冷链直送次日达
柴碧云演戏为了真实要求真打，于明加拒绝会打蒙的！俩人发生分歧: 柴碧云演戏为了真实要求真打
满江红义愤填膺的群众，已经磨穿了秦桧的脸皮！而王氏，则承受了更多。: 江红义愤填膺的群众已经磨穿秦桧的脸皮
有一说一翟潇闻的生图真的很绝！: 翟潇闻的生图真的很绝!
老网友都认识吧: 网友都认识吧
太神了老师，神态一模一样: 神了老师,神态一模一样
华晨宇王牌对王牌花花王牌对王牌表情包（个人弄的，附带晓彤和腾哥）: 花花王牌对王牌表情包
欧美音乐台: 欧美音乐台
说个你不知道的冷知识，《回家的诱惑》里的品如和洪世贤的结婚照，是拿董洁和潘粤明的照片的，潘粤明该死的回忆在攻击我[苦涩]: 品如和洪世贤的结婚照,潘粤明该死的回忆在攻击我[苦涩]
这个病例，这辈子我应该是碰不到第二例了，很多医生一辈子可能都没碰上这么一例岁的暹罗猫因呕吐不食就诊，触诊检查时发现左肾后和膀胱前各有一表面不平滑团块，超声检查惊掉下巴，这两个团块居然是快发育完全的小猫，问题是这个猫在2岁前生育了3胎后就绝育了，也就是这两个木乃伊胎儿和这个猫共存了将近14年，要不是亲手所做，亲眼所见，怎么也不会相信呀宠物医生董: 暹罗猫2岁前生育3胎后就绝育
如果是真的？俄罗斯有点不够意思。卖给中国每桶7251美元至8367美元之间。卖给其他国家含运费每桶35美元。卖给印度含运费每桶30到35美元。这差的也太多了，如果这个数据是真的，那俄罗斯有点不够意思。: 俄罗斯卖中国每桶7251美元至8367美元
找个愿意照顾漏屎患者的护工好难！有人应聘吗？4万一个月！: 找个愿意照顾漏屎患者的护工好难!
，22年10月8日在日本上映，前几天被电影旬报评选为2023年日本十佳电影第三名: 2023年日本十佳电影第三名
我男朋友真的口无遮拦他兄弟的事全部都告诉我什么他兄弟的初恋为了女人哭了多少次然后我告诉过他我的超级多秘密我对他都有防人之心: 男友真的口无遮拦他兄弟的事全部告诉我什么他兄弟的初恋
闹个元宵，节日快乐: 闹个元宵,节日快乐
胡歌老婆黄曦宁近照流出，一头短发特别干练，胡歌的眼光不错。: 黄曦宁近照流出
人类无法互相理解的瞬间: 无法互相理解的瞬间
怦然心动的中国制造: 怦然心动的中国制造
全新演绎《终极任务》版首演返图夜之真理由我定义盗亦有道你无处逃你只管对我顶礼膜拜无需知晓！: 《终极任务》返图夜之真理由
，电视剧: 电影《归来》第43期:归来
六点六点六彪彪别凶人家嘛[心动超崽]: 点六六彪彪别凶人家嘛
阿瑟王健身老王: 瑟瑟王健身老王
刘芸郑钧以前没办法跟人睡在一张床上，他是到了要熟睡时要去一个单独的卧室，自己睡。但他自从跟我谈恋爱开始，他就跟我睡一张大床上，啥事儿都没有。张云龙你把门锁上了？陈乔恩硬把他留下来。刘芸说可能是遇到一个人后，那个人的磁场跟你同频，治愈你以前的一些习惯。刘芸这话是想表达自己在郑钧面前很与众不同，告诉大家郑钧有多爱她，爱到可以为她打破原则为了老婆而打破之前所有！！嗯: 郑钧爱到可以为她打破原则
过年期间大家是不是吃了不少大鱼大肉？今天姑姑来带各位给身体减负啦秘诀就是地地道道的广式靓汤！煲汤其实一点也不难，想先分享给大家的是一款有健脾开胃润肺止咳功效的靓汤，适合全家老小一起喝起来！: 健脾开胃润肺止咳的广式靓汤
绘画素材: 绘画素材:绘画作品(二)
网友评选《狂飙》演技排行，你认同吗？: 评选《狂飙》演技排行
生日快樂惠英紅@惠英紅[蛋糕]見證你度過了意義非凡的一年，漫步光影之路，感動與驚喜並存，新的一歲，惠英红願你健康幸福，笑容常在，未來的日子一起加油: 惠英<unk>
给对象做的，女朋友这反应我太爱了: 对象做的女朋友这反应我太爱了
一个九宫格马上就要装不下了: 九宫格马上就要装不下了
希望我能高分过线，信男信女愿一生荤素搭配。: 信男信女愿一生荤素搭配
【中苏为抢夺那辆62坦克，发生过激烈的炮战】1969年4月2日到28日，中苏围绕一辆受伤的62坦克，爆发了激烈的争夺战，我军遭苏军火炮6000多发炮弹轰击，共牺牲42人，而前三次战斗只牺牲29人。同时苏军也遭我军炮兵的连续轰击。当时我军在珍宝岛战区部署了较为强大的炮兵力量，共有六个炮兵营，包括一个85加农炮营，三个122榴弹炮营，两个122加农炮营，都是沈阳军区直属炮兵师的火力。其中主要参战的是85加农炮，在3月15和17日二次战斗中，85加农炮兵营就消耗弹药3196发。此外我军还有三个高炮营（一个陆军37高炮营一个空军57高炮营一个空军100高炮营），高炮主要用于掩护我前指和步兵炮兵阵地的对空安全。苏军将多种重型火炮用于珍宝岛作战，包括40管122毫米冰雹火箭炮，152加榴炮，160迫击炮，单位火力强度大于我方，但因其隶属关系复杂，指挥手段落后，火力运用呆板，多次炮击均未对我构成较大威协。后来我方将冰面炸开，将62坦克沉入乌苏里江，然后派潜水员挂钢缆，从江底将坦克拖回我方。1969年5月8日，沈阳军区（抚顺）坦克大修厂的坦修工人奋战三昼夜，将我军在中苏珍宝岛战役中缴获的62坦克抢修完毕，运往北京公开展出。: 【1969年4月2日,中苏为抢夺那辆62坦克,发生过激烈的炮战
投稿隔着屏幕都被熏到了: 熏!熏!屏幕都被熏到了
现在油炸的她还不能吃】1月25日，河北石家庄。一位5个月的女宝宝看到爸爸吃麻团，望眼欲穿。孩子爸爸张先生称，孩子看到他吃东西馋得直张嘴，她现在能简单吃点水果，但是油炸的咸的甜的，现在还都不能吃。@: 5个月女宝宝看到爸爸吃麻团望眼欲穿
【狗狗身上被铁丝勒出血肉，女子发社交媒体求助才一天好心人就来了】2月3日，山东烟台，狗狗身上被铁丝勒出血肉，女子发社交媒体求助才一天好心人就来了。网友不爱，请不要伤害。: 狗狗身上被铁丝勒出血肉 女子发社交媒体求助才一天好心人就来了
最讨厌学校这种花里胡哨的。专员: 讨厌学校这种花里胡哨的
等到了，然而。。。。[苦涩]: 深夜mo毒——苦涩
芒果播放量冲破3亿！[哇]快抓住假期的小尾巴，再来速通一波四季城[666][开学季][赢牛奶]祝大家在新的学期里，继续勇往直前乘风破浪，和羊狼们一起收获欣喜的好成绩呀！: 芒果播放量破3亿
世纪大和解: 世纪世纪和解
收到美鞋一双: 收到美鞋一双
今天换片海域继续浮潜。出海两趟，第一趟妹妹闹着回去，加上大姚晕船。回去后我和矮文再次出海这里的鱼群比昨天那边漂亮些。但是今天这里比较深，有很多喜欢贴着海底游的鱼看不清楚。: 换片海域继续浮潜
还有好多东西要继续学习呀英国伦敦: 继续学习呀英国伦敦
一招一式都是来源于经验你说是吗？: 来源于经验你说是吗
@！！喜羊羊你们如何接受和狼成为好朋友这件事的？喜为了建立信任我带了小伙伴们去**************喜羊羊与灰太狼: 喜羊羊与灰太狼
