夕阳和宝宝[送花花]: 夕阳和宝宝[送花花]
人和人的差距，其实远比你想象的小。: 人的差距其实远比你想象的小
突然看见十几年前妈妈的空间: 看见十几年前妈妈的空间
只要手速够快，穷就追不上我。: 手速够快,穷就追不上我。
男朋友毕业我给他送花，没想到他也给我准备了一束花。: 朋友送花,准备束花
没被录用，可能介意我年龄大 近日，北京一女子吐槽自己应聘工资6000元的工作岗位，且面试了六轮还未被确定一事引发关注，有不少网友表示，八成是被用来冲业绩了。4月6日，九派新闻联系上李女士，她称直到最后也没被录用，猜测公司可能介意自己年龄大、已婚未育。当时在招聘平台上，看到那家公司招新媒体文案策划，月薪六千到一万五，我就去了。她说，结果去面试后，公司人事才跟我说这个岗位的工资为六千。她表示，前四轮面试都在一个星期之内完成，每次都是不同的人来面试，也不是什么重要岗位，每次都要做自我介绍，走一套完整的流程。而且公司的福利待遇都放在最后说，就连五险一金我都不确定有没有。（九派新闻）: 女子吐槽应聘工资6000元,面试六轮未确定,八成被用来冲业绩,九派新闻猜测公司可能介意我年龄大、已婚未育。
想起村上春树的一句话我一点也没做好二十岁的准备，挺纳闷的，就像谁从背后推给我一样。我以为我二十多岁，会去看山河大海，落日余晖。可事实上是，我还在找寻我自己。: 村上春树的话让我挺纳闷,仍在找寻自己。
蝴蝶乒乓暂停销售有张继科肖像产品: 张继科肖像产品暂停销售
4月了，还可以骗一个月。: 月饼可骗一个月
我的高中为什么没有这样的肌肉同学西贡皇后: 高中生无肌肉同学
糟了大家都知道你和我一起晒过太阳了。: 你和我一起晒过太阳了吗?
不来给我发发消息吗[666][666][666][666]: 寻求新消息
致命一击！最后时刻比尔强突抛投失准，加福德神兵天降机警压哨补篮绝杀活塞！: 致命一击,加福德神兵补篮绝杀活塞。
印度少数村落女孩将鼻子上割开口子塞上木塞！原本就不漂亮的人变得更丑了还贼难受！纠正科普一下阿帕塔尼族属于藏南地区的的，是中国的一个民族并不是视频里说的印度的，改正一下这种陋习已经废除了，大家正常讨论不要攻击无辜的人这个视频只能说明自古以来对女性都不那么友好，造成了女人各种问题比如裹脚让女人穿上跑不快的高跟鞋，足不出户让女人缺少锻炼而遭到男人的殴打，男的凭什么比女的更强壮，女人难道不可以比男的强壮？不强壮怎么工作！往往是越强壮的人越懒越暴力且不干正事！这个视频除了震惊三观我无话可说，看见了就感觉不适了！这个视频也说明了身体健康会严重影响心理健康！: 印度女孩将鼻子上割开口子,表明中国民族对女性不友好。视频揭示了这种陋习,严重影响身体健康,呼吁不要攻击无辜的人。
第一次穿这样出门好害羞哦广州: 害羞的广州人
拍了个美杜莎岀浴图[春游家族]: 美杜莎<unk>浴图曝光
特别小一只华晨宇杭州白马湖景区: 华晨宇现身杭州白马湖
老照片 1999年，北京。上世纪，某看守所内两名法警正在押解着一位面容姣好、身材丰腴的女子接受审判。相信大家都不难看出，镜头中这个姑娘其实很漂亮。她就是租别墅开妓院，三个月疯狂接客六百多次，日均进账五万的大学生刘春洋。: 20世纪北京法警押解美女开妓院,日均进账五万。
近日，浙江衢州，女子直播时随手摆弄三脚架，不慎将手指牢牢卡住拔不出来了，主播直播时卡手，直播间差点挤爆有木有。消防员赶赴，都忍不住调侃这是救援过年龄最大的卡手指，救援人员使用老虎钳小心剪切，帮女子脱困。整个过程直播间都没带关的，小姐姐也是相当敬业了: 女子被卡手指,主播直播中救援成功。小姐姐敬业。
健身行业的神棍越来越多了，无奈又无语: 健身行业神棍越来越少
我擦黑马情侣现在都有摄影师拿单反跟拍了: 摄影师跟拍擦黑马情侣
话说这个一百八有点夸张了（很难不在意啊啊啊啊啊: 夸张一百八
受不了眼睛尿尿了我发完言存知道我是粉丝后就一直一直在瞅我这边可惜我的手机烂的很我真该死啊: 受不了眼睛尿,手机烂到难以想象。
臭崽45斤了妈妈抱不动啦: 45斤臭崽抱不动
4月5日，江苏南京，一女子围观老公钓鱼，看他总是钓不到就想先回家，没想到正要走，老公一甩杆，鱼钩就甩到了她脸上。她立即到医院请医生帮忙将鱼钩取出，并打了破伤风针。网友表示每次看别人钓鱼都跑得远远的，就是害怕鱼钩甩脸上去。南京: 女子围观老公钓鱼,结果被鱼钩甩脸。
晚上不回你信息的时候都在喝酒。回信息就是在赖酒。: 喝酒回信息赖酒
不是情侣，普通夫妻。: 情侣、普通夫妻的区别
只想和真诚的人相遇（天津大三）: 想和真诚的人相遇(天津大三)
？ 以眼睛长在屁股上的日本妖怪尻目为主题的恐怖游戏已登陆平台，售价16，暂无中文。在森林中找到你失踪的女友，同时躲避尻目的追杀。杉果娘: 日本妖怪尻目游戏登陆平台,售价16元,无中文中文版本。
别看到大鱼就想下去捞！！！: 看到大鱼,想下去捞
石头在艺术家的手里也是柔软的白巴草: 艺术家手中的白巴草
姜汁香菇炒荞麦面，加上点老干妈，绝了晚上吃姜不好，我下午吃[开学季][开学季]: 深夜mo毒姜,下午吃[开学季]
旧社会里有个特殊职业奶妈。很多人想不到做为产奶工具的她们究竟会遭遇什么。不但有家难回，有子难养，还要冒着被雇主侮辱、利用的风险，甚至遭遇喂完小的喂老的荒唐事儿。点击下方图片了解旧社会对于底层妇女的压迫。旧社会被压迫的奶妈为了赚钱，究竟会遭遇什么？: 奶妈产奶遭遇困境
王一博试图公主抱程潇没成功，吐槽说程潇太重了，她怀里的十斤大米不是白拿的: 王一博抱程潇失败,吐槽她怀里的十斤大米不是白拿的。
记者从中国电科成都多家单位获悉，网上有关中国电科陈志龙的信息，均为虚假信息。集团公司所有单位已经开展了多轮次排查，包括劳务派遣和协作人员，均无此人。网上出现的任免文件明显伪造。中国电科相关单位已报案。: 中国电科成都多家单位发现陈志龙信息,相关单位已报案。
主打的就是一个放荡不羁！现代工艺残次品: 放荡不羁的工艺残次品
当全红婵和樊振东坐在一起，哥哥和妹妹的即视感太强了全红婵猛男的运动会: 全红婵与樊振东坐在一起,哥哥和妹妹即视感强。
青山埋忠骨，英烈励后人！松山战役7000娃娃兵，最小9岁，平均年龄15岁。一寸山河一寸血，美好生活来之不易！: 松山战役娃娃兵成长历程
转关，揪10个小可爱送微博定制周边: 微博周边送定制周边
晚上穿这个和你约会好不好: 穿这个约会好不好
起床后的随拍[照相机]: 起床后随拍
看到那么多路透，那我也来参与一下路透，明天如果有会打四川麻将的都给我去报名，明天我们一起在演唱会上做大做强！: 参与路透,报名参加四川麻将演唱会。
有哪些是你谈恋爱后才知道的事？: 恋爱后才知道的事
在牛肉干背后看到的，这商家是懂感恩的: 商家感恩促销牛肉干
感觉不加翅膀在酒店拍照容易被造黄谣: 不加翅膀在酒店拍照会被造黄谣
大哥你玩着太刺激了吧: 哥你玩得太刺激了
小女孩跟我妈戳我脑袋的时候一模一样[苦涩][苦涩]: 女孩戳我脑袋时一模一样
1910年，清末，新娘和她的通房丫头。你们知道什么通房丫头吗？: 了解通房丫头吗?
温馨提示杭州早晚温差很大，晚上要穿厚外套的，白天也要穿类似卫衣的外套，大家可以参考一下。演唱会当天别穿太少了，如果是裙子之类的感觉会有点冷！[心动超崽][流浪地球2]: 杭州温差大,白天需穿外套,演唱会当天别穿太少了。
还有比她更甜的女孩吗！[哇]: 比她更甜的女孩
大鱼迟钝了一下反应过来后一顿活蹦乱跳。有网友戏称常在河边走，总有漏网之鱼。也有网友称这鱼真倒霉，练个仰泳都被你拿捏了！梧桐@梧桐梧桐: 漏网之鱼突然反应,网友戏称常河边走,也有仰泳练习。
我每天都能喂饱你，可你却不能喂饱我: 喂饱你,却不能喂饱我
人间路遥远，有风雨随行。: 路遥远,有风雨随行。
吃点生腌，但我真的忍这家的包装很久了: 生腌包装保存很久
妈妈训孩子被姥爷发现，4月2日山东网友一定是爸爸告状了: 姥爷训孩子被发现,山东网友告状
何时才能找到一个喜欢吃生蚝腰子的男朋友天灵灵地灵灵大连: 寻找喜欢吃生蚝肉的男友
投诉，就上黑猫的微博直播为什么健康产品变成了奢侈品: 微博直播健康产品成奢侈品
当你在我后面的时候，别让我后退，这样你只会越陷越深绮里嘉: 不要后退,越陷越深。
这很难评。你说是吧？: 很难评,你说是吧?
要文斗，不要武斗，武斗不解决问题。所有戴高帽子游街都是武斗，要依法惩办！一一毛主席追思，缅怀！: 呼吁依法惩治武斗,戴高帽子游街都要武斗。
跟清华毕业的女粉线下聚餐，不得不说清华的就是踏实稳重。[兔子]: 清华女粉线下聚餐,踏实稳重。
厦门终究没有私人影院好: 终究没有私人影院
后面更几期大姐姐如何爱看吗？[友幸]: 大姐姐爱看吗?
知名作家马原13岁儿子夭折，发现孩子患病后没有第一时间求医引争议: 作家马原13岁儿子夭折引争议
热情傣文化躁动音乐，哈啤在玩一种很新的泼水音乐节！4月14日，西双版纳景洪泼水广场，我们和吉克隽逸@吉克隽逸携手开启双重破冰盛宴，与你不见不散！: 哈啤泼水音乐节,吉克隽逸联手破冰盛宴,与你不见不散。
居然是真的！为什么？: 真假难解之谜
上岸了发了只有前男友妈妈可见的朋友圈: 前男友妈妈的朋友圈浮出水面
后来的我们真的耿耿于怀了: 感恩回馈,感恩回馈
健身[喵喵][喵喵]: 健身爱好者
佟丽娅亲和没有明星架子像个大姐姐丫丫生图真美: 佟丽娅亲和无明星架子
这是哪个小可爱送我的: 哪个小可爱送我的礼物?
小米好会啊[老师好]: 小米会好会
这大晚上的！吴磊什么时候这么会亲了！打光的大哥笑得我两个大哥都很无奈的样子，果然，不是人人都能当演员，这信念感太强了，这亲亲现场大哥挺亮的啊期待吴磊和赵今麦的在暴雪时分: 期待吴磊和赵今麦的暴雪中亲亲
的三少证件照[团圆兔]: 三少证件照,期待团圆
原来《狂飙》第一集黄瑶就出场了，要拿放大镜再从头看一遍了: 黄瑶首演《狂飙》
大数据真可怕，竟然也被我刷到了: 大数据令人震惊
刘诗诗怕不是有什么雪景症吧[老师好]: 刘诗诗患雪景症
1942年，一个八路军女队员从来不洗脚，却引起了游击队长甄凤山的高度警惕。他半夜潜入女队员的房间，趁她熟睡之时掀开她的被子，所见到的景象让他背脊发寒怎么样？你看出什么端倪了吗？妻子王均放下手中的针线和破了口的衣裳，接过甄凤山手中刻意将火光减亮的油灯，询问他去查探那个女队员有什么结果。张美智她，是个日本特务！甄凤山眼中暗暗有恨。居然让特务混进了队伍，怪不得最近这段时间，日本人像是开了天眼一样，游击队往哪里走，他们就往哪里打，让甄凤山百思不得其解。你看见什么了？王均问他。她的前两个脚趾之间，有很大的缝隙。日本女人从小就要穿那种木头鞋子，靠两个脚趾之间卡住绳子来固定，那缝隙就是常年穿这种鞋子造成的。甄凤山一拳锤在桌子上，火光颤动两下，胸中怒火难平。一想起因为这个女人，队伍最近牺牲了那么兄弟，他就恨不得立刻冲出去毙了她。一旁的王均见他这模样，思索一阵，手抚在甄凤山的拳头上，让他冷静一点。我知道你痛心死去的兄弟们，但我们现在给她定罪还是太贸然了，仅凭这一点还不能证明她就是特务。王均沉稳理智地说要确定她是特务，我们还要有决定性的证据。我有一个办法，试她一试。王均在他身边耳语一阵，甄凤山听罢，连连点头，直呼妙计。第二天，王均和张美智一同做文书工作的时候，无意间透露出队伍今晚将在贝子村宿营的消息。张美智听完眼珠子不怀好意地一转，又装作若无其事地与王均聊天。然而看她嘴上挂着的浅浅得意的笑容，王均知道，鱼上钩了。八路军队伍走在山路上，离要宿营的村子还有十几里路的距离。忽然，走在队伍中段的张美智捂着肚子，说自己肚子疼，申请离队去解手，甄凤山大手一挥让她快去快回。张美智走出不远之后，从隐蔽的口袋中拿出一枚哨子，对着茂密的树林吹响。那哨声像一种怪异的鸟叫，被她吹出奇怪的节奏。不一会儿，树丛中有了动静。灌木里悉悉索索地走出两个日本人，向张美智说了一句日语。而张美智也向那两人说了连串的日语，声音中明显的有贝子二字。在张美智身后不远处，一个更加隐蔽的地方，蹲伏着一名游击队员，那正是甄凤山派去监视张美智的人。见到此情此景，张美智是敌军特务的事确凿无疑。傍晚，八路军像是什么都不知道一样，如往常一般进了村。而日本人，则打算在八路军睡着之后实施偷袭。晚上，村中央小广场的篝火还有一点未熄灭的火光，噗地爆了个火星子，听起来像一声微弱的枪响。日本人脚步鬼祟，弓着腰潜进村子，打算打八路军一个措手不及。才刚准备推开门，远远地射过一枚子弹，当正打在一个日本人的脑门。其他日本人愣了一会才反应过来，大叫道狙击手，是八路军的狙击手！枪如号令，全在房中没睡，严正以待等着日本人的八路军此时从房间里冲了出来，带着震慑人的吼声与日本人缠斗在一起。毫无准备的日本人在这攻势之下才是措手不及的那一个，很快就在八路军的悍勇作战下溃不成军。张美智见此情景，马上明白，是自己的身份暴露了。她趁着前方八路军和日军还在战斗，立刻整理自己搜集来的八路军情报，塞在衣服里准备逃跑。才一开门，就见到王均冷漠的脸，她手持双枪，扣下扳机对准张美智的眉心。你以为你还逃得掉？正当王均要开枪之时，张美智把手中的资料纸张往前一扔，阻挡了王均的视线，随即将她猛推在地，打算遁走。然而她还没有走出几步，身后就传来一声枪响。子弹从张美智的后背贯穿胸口，她用最后一点力气回头，看见的是甄凤山喷吐着怒火的眼神。日本特务张美智就此清除。唉，谁知道呢，一个进步的女大学生，漂亮又有文化，性子还活泼开朗，居然是个混进队伍的敌方特务。王均从地上起来，一边拍着身上的灰，一边看向张美智的尸体感叹。: 甄凤山潜伏抗日队时遇到日本特工,询问张美智是否会杀人。
4月4日，安徽亳州。女子在服装店试衣服，当她从试衣间走出来之后，好朋友立马笑喷了。因为裙子太长了，裙尾拖着地。可是，老板的一顿猛夸，让当场变了一个气氛。穿着内增高的运动休闲鞋，而此时的牛仔裙，长的很离谱，不仅盖住了膝盖，连脚脖子和鞋子都盖住了。甚至，还有一截拖着地。没想到，女老板听到之后，立即说，你看这裙子穿上显得高的很，还不冻脚脖子，脚脖子给你弄的好好的嘛。本以为表达的差不多了，可老板继续猛夸她的裙子，对着女子又说，你到整个亳州都买不着这么好看的裙子。网友表示回家转两圈还能拖地。: 女子裙尾拖着地,老板夸她好看。
她把所有的赌注，押在一台电视机上，最后撞得头破血流: 赌注押在电视机上撞得头破血流
刘亦菲在路人视角下的生图真的[送花花]: 刘亦菲路人视角生图真
）二审庭审结束，将择期宣判。: 二审庭审结束择期宣判
如果不是出于关心，谁会和你说这些: 关心不是出于关心
咱就是说吃了一顿好的不辜负休息的日子: 吃好不辜负休息的日子
和老闺蜜一起怀孕当然要拍照记录一下啦哈哈！终于熬到满屏大肚皮的时候哈哈期待两只小崽儿见面喽: 老闺蜜怀孕,拍照记录,期待见面。
李星云怎么和我一样帅: 李星云:我一样帅
油渣里还能压出这么多油？压完后就变成了油渣饼。。。: 油渣饼,能压出油渣。
我现在在马桶上放声大哭很但很真实的情绪释放。: 真实的释放在马桶上大哭
泡泡给大家表演吐舌头: 泡泡表演吐舌表演
每次结束后他都喜欢再摸摸我的腿感慨它们怎么那么好看: 抚摸腿感慨好看
当我弟弟工作了而我还在上学: 弟弟工作,仍在上学。
老公不在家偷偷穿灰丝: 老公不在家穿灰丝
罗云熙白鹿《长月烬明》吻戏花絮就是说，这是我能看的吗[开学季]长月烬明是懂放花絮的，主打的就是一个反转！: 《长月烬明》吻戏花絮
羊老师甜蜜恋爱碎片恒温贮存箱恋爱碎片不知道放哪里吗？放我这: 恋爱碎片去向不明
晚安打工人什么时候才可以实现穿自由是真的不喜欢穿内衣！！回家第一件事脱内衣！: 呼吁实现穿自由,脱内衣。
我很容易陷入想证明对方到底爱不爱我的怪圈。很奇怪，有时候是能感受到来自对方喜欢的，可总质疑他是真的喜欢我吗他会喜欢我多久他会不会已经开始不喜欢我了。接着就完全乱套，他爱我的表现我很难再看到，眼里全是那些没有让我感到被爱的细枝末节。但你知道的，大家都是普通人，怎么可能会有人能把每个细节做到位。带着所谓不被爱的证据，便开始猜忌和自怨自艾，把一件件小事放大到无可救药的地步，开始在心里谋划分手。矛盾愈演愈烈，感情在不自觉中朝着自己希望的方向发展，最后两个人身心疲惫，选择分开。然后自己还故作轻松的想看吧，他果然不是真的爱我，否则怎么会这么轻易就离开我。但殊不知爱也是有底线的。归根结底还是不太自信吧，总觉得没人会真的一直爱自己。从小到大得到的爱太少了，所以总觉得爱是奢侈品。既然是这么珍贵的东西，那我真的能拥有它吗？我会拥有多久呢？对方愿意给我多久呢？但要相信呀，你已经是很好的人了，对方喜欢你就是因为你足够让他心动，他才愿意把如此珍贵的爱交给你。哪怕全世界都觉得你不配，但只要他愿意，你就是值得的。下次再遇到喜欢你的人，先不要着急把他往外推。没有人天生会爱人，我们一起学习，一起爱与被爱，好吗。: 爱不爱我的怪圈,猜忌和自怨自艾,最终选择分手。
四川省总工会员工因加班怼领导事发去年，不属于中国电科成都所员工，不在成都[摊手]所以，这事儿发生在去年不在成都不属于中国电科，违法没？: 四川省总工会员工因加班怼领导,不属于中国电科成都所员工。
刚酒店给我打电话说我有双高跟鞋忘在房间了我说不要了扔掉就行了: 高跟鞋忘在房间,不要扔
秦岚邓家佳《灿烂的转身》软饭男抛弃前任，以为找了富家千金可以飞黄腾达，没想到下场实惨！: 邓家佳软饭男抛弃前任,惨遭富家千金抛弃。
商家插签方便计价 近日，四川成都。顾客吐槽吃串串时一个鸡爪上插14根签。有网友认为此举方便计算，也有网友认为这么取签再食用太麻烦了。对此商家回应称一根签子3毛，单个鸡爪均价在3块左右，插签是为了方便计算价格，如果觉得麻烦可以不吃鸡爪的。: 串串鸡爪插14根签方便计价,商家回应称一根签子3毛。
这手上的纱布包的不是没缘由的[笑]: 纱布包不缘由
三生友幸船戏花絮，小狗还保护上了，这样的花絮多来点，爱看爱看: 小狗保护生友船戏花絮
[春游家族]放一分钟，等下删: 放一分钟等下删
啊啊啊啊啊啊啊啊啊捡到了新视角王强站的直直的看到欣欣就蹲下了王强弯腰了不爱香菜: 新视角王强站,欣欣弯腰
低像素小白裙亡妻的回忆录: 像素小白裙亡妻的回忆录
当代年轻人的现状普遍缺爱。: 年轻人缺爱
只有懒男人没有丑男人: 懒男人没有丑男人
就算不上班也不缺钱花: 不上班不缺钱花
王晓晨方没有做出任何回应之前，作为粉丝大家还是不乱猜的好，多关注王晓晨作品，来看看帅气漂亮的王晓晨小姐姐吧！文娱柒: 关注王晓晨作品,关注帅气漂亮小姐姐。
樊振东发文回应房间被非法侵入有保洁人员和监控为证，已报警。: 樊振东回应非法侵入房间事件
只招一个人那就必须是我: 招人必须是我
我说如果该女子真是内奸还用你查相关消息早删光了昨天查了今天又查是找个理由吗都藉口: 内奸女子被查消息删光
这期奔跑吧又让我看到了曙光[哇][哇][送花花][送花花]: 奔跑中的曙光
农业机械，饲料颗粒机生产试机: 农业机械、饲料颗粒机生产试机介绍。
脱贫攻坚结硕果乡村振兴正当时: 脱贫攻坚结硕果,乡村振兴正当时。
有一天你也会被大大方方的偏爱: 被大大方方偏爱
最满意部位大赛（禁露点）: 部位大赛(禁露点)
6日下午，一名福建死者户籍所在村的村干部告诉，他们得到消息后，先通知了死者的大伯，目前还没有告诉他的父母，担心他们承受不住打击。死者今年23岁，是家里的独生子，家人说他一直在外地打工，今年过年也没有回家。现在年轻人常年都在外面，对他的具体情况了解不多。该村干部说。33岁河北死者户籍所在村的一名村民说，死者家里有兄弟三人，他是最小的，家境比较差。5日，当地派出所已经通知了死者家人，目前事发原因不明。他们听说，死者生前可能有一些小额贷款，其家人暂未去湖南。一位广东佛山的女子告诉，轻生的女孩是她弟弟女朋友，是个很好的女生。此前，女孩的情绪一直很正常。3月31日，女孩说离开佛山，回四川老家照顾爸爸。4月4日他们接到相关通知，她和弟弟立刻从佛山驾车到张家界。我弟弟想要一个答案，可惜没有答案。该女子说，她弟弟现在情绪很差。极目视频: 福建死者家属已确认,死者大伯是女孩,其弟弟情绪很差。
公安部门正在调查 4月6日上午，有网友发帖称，江苏苏州常熟市某中学一名初三学生持刀伤害他人。当天上午10时，一知情者向@记者透露，事发地为常熟市实验中学崇文校区，事发在今天早晨，女生好像拿了把匕首，被伤害男生疑似去世，具体为何发生矛盾尚不清楚。事发地是否在上述学校学生伤情如何根据该知情者提供信息，上午11时，记者尝试联系到常熟市实验中学崇文校区，工作人员表示具体情况还不是很清楚，目前公安人员正在了解具体情况，还在调查中。记者随即尝试联系该学校所属的常熟市公安局虹桥派出所，接线人员称不清楚事件经过。（记者杨晓妍）: 苏州一中学初三学生持刀伤害他人,警方介入调查。
宝鸡市多部门回应目前在法院审判阶段，已介入调查 4月5日，陕西省宝鸡市一女子在抖音发布短视频，实名举报宝鸡市养生协会主席曹某某，向自己父亲原宝鸡市保障房公司董事长顿某某，行贿1900万元一事，引发网友关注。4月6日上午，海报新闻记者联系到顿静净，她表示，经过宝鸡市陈仓区相关部门审查，认定其父亲顿某某受贿1900万元，已于本月3日在宝鸡市陈仓区法院进行了公开审理。我正跟律师沟通后续事宜。对此，宝鸡市陈仓区纪检委工作人员称，目前案件已经在法院进行审理，暂不接受采访。宝鸡市委网信办工作人员表示，已监测到此事，目前正在处理。宝鸡市网络安全应急指挥中心工作人员则回应，昨天在网上看到这一信息，已让涉事单位核查相关情况，也把线索转交给纪委了，但目前还没有收到核查反馈情况。@宝鸡: 女子举报宝鸡市养生协会主席行贿1900万元,涉事单位已介入调查。
工会介入员工痛批领导安排加班事件: 工会介入员工痛批加班事件
赠予合同纠纷一案判决书显示，根据审理查明的情况，翟欣欣与苏享茂相识至协议离婚仅110余天，期间收受苏享茂赠与的车辆、物品、款价值超过300万元，婚恋过程具有明显的经济特征。翟欣欣在离婚中为取得高额补偿，对苏享茂实施了胁迫，未顾及到苏享茂赠与其财产、希望与其共同生活、维系感情的初衷以及苏享茂受胁迫下的主观感受和客观经济情况，是造成苏享茂自杀的重要因素。翟欣欣与苏享茂婚恋，以增加自身财产为目的受赠取得的大额婚前婚后财产，均属可撤销范围。根据此份判决，翟欣欣需退还苏享茂家属价值约108万元的特斯拉汽车一辆退还价值30余万的卡蒂尔钻戒和项链退还转账共计186万余元。根据离婚后财产纠纷一案判决书显示，翟欣欣在离婚过程中采取胁迫手段，使苏享茂陷于恐惧而作出非自愿意思表示，符合可撤销行为法律特征。红星视频: 离婚案判决书显示苏享茂曾胁迫翟欣欣退还百万特斯拉车辆和价值30余万的卡蒂尔钻戒,符合自愿撤销行为特征。
重庆姐弟坠亡案今日二审: 重庆姐弟坠亡案二审二审
因为你做的太难吃了 近日，浙江温州，9岁男孩劝妈妈别勉强自己做那么多菜，因为你做的菜太难吃了。据孩子妈妈冷女士介绍儿子爱吃浙江菜和面食，也吃点辣，我是江西人，不太会做温州这边的菜，我也觉得自己做的菜不好吃，但是舍不得倒掉，只能慢慢一个个吃掉，我老公厨艺比我好，平常家里来客人，都是他做饭。温州: 9岁男孩劝妈妈别勉强自己做菜,因为浙江菜太难吃了。
老人不慎从楼梯上摔倒，头部流血不止，武警出手相救，网友不赞网红不赞星，只赞人民子弟兵: 老人摔倒武警相救
4月6日，备受关注的重庆姐弟被生父扔下15楼坠亡一案二审开庭。2020年11月2日下午，重庆市南岸区锦江华府小区一男一女将两名小孩从高楼坠下，致两名幼童死亡。2020年11月10日，重庆市公安局南岸区分局将张波、叶诚尘抓获归案。2021年12月28日，重庆市第五中级人民法院依法对被告人张波、叶诚尘故意杀人及刑事附带民事诉讼一案进行一审公开宣判，以故意杀人罪判处张波、叶诚尘死刑，剥夺政治权利终身。的微博直播: 重庆姐弟被生父扔下15楼坠亡案二审开庭,张波、叶诚尘被判处死刑。
